algo,target,budget,mean_beta
ALO,easy,300,0.0833333333333333
ALO,easy,500,0.0833333333333333
ALO,easy,800,0.0833333333333333
ALO,easy,1000,0.0833333333333333
BA,easy,300,0.0833333333333333
BA,easy,500,0.0833333333333333
BA,easy,800,0.0833333333333333
BA,easy,1000,0.0833333333333333
FA,easy,300,0.0833333333333333
FA,easy,500,0.0833333333333333
FA,easy,800,0.0833333333333333
FA,easy,1000,0.0833333333333333
GWO,easy,300,0.0833333333333333
GWO,easy,500,0.0833333333333333
GWO,easy,800,0.08416666666666663
GWO,easy,1000,0.08749999999999997
MFO,easy,300,0.0833333333333333
MFO,easy,500,0.0833333333333333
MFO,easy,800,0.0833333333333333
MFO,easy,1000,0.0833333333333333
WOA,easy,300,0.0833333333333333
WOA,easy,500,0.0833333333333333
WOA,easy,800,0.0833333333333333
WOA,easy,1000,0.0833333333333333
ALO,med,300,0.0833333333333333
ALO,med,500,0.0833333333333333
ALO,med,800,0.0833333333333333
ALO,med,1000,0.0833333333333333
BA,med,300,0.0833333333333333
BA,med,500,0.0833333333333333
BA,med,800,0.0833333333333333
BA,med,1000,0.0833333333333333
FA,med,300,0.0833333333333333
FA,med,500,0.0833333333333333
FA,med,800,0.0833333333333333
FA,med,1000,0.0833333333333333
GWO,med,300,0.0833333333333333
GWO,med,500,0.08999999999999997
GWO,med,800,0.1208333333333333
GWO,med,1000,0.1333333333333333
MFO,med,300,0.0833333333333333
MFO,med,500,0.0833333333333333
MFO,med,800,0.0833333333333333
MFO,med,1000,0.0833333333333333
WOA,med,300,0.0833333333333333
WOA,med,500,0.0833333333333333
WOA,med,800,0.0833333333333333
WOA,med,1000,0.08416666666666664
ALO,hard,300,0.0833333333333333
ALO,hard,500,0.0833333333333333
ALO,hard,800,0.0833333333333333
ALO,hard,1000,0.0833333333333333
BA,hard,300,0.0833333333333333
BA,hard,500,0.0833333333333333
BA,hard,800,0.0833333333333333
BA,hard,1000,0.0833333333333333
FA,hard,300,0.0833333333333333
FA,hard,500,0.0833333333333333
FA,hard,800,0.0833333333333333
FA,hard,1000,0.0833333333333333
GWO,hard,300,0.10249999999999997
GWO,hard,500,0.16166666666666665
GWO,hard,800,0.21166666666666664
GWO,hard,1000,0.2333333333333333
MFO,hard,300,0.0833333333333333
MFO,hard,500,0.0833333333333333
MFO,hard,800,0.0833333333333333
MFO,hard,1000,0.0833333333333333
WOA,hard,300,0.0833333333333333
WOA,hard,500,0.0833333333333333
WOA,hard,800,0.09249999999999997
WOA,hard,1000,0.11916666666666664
