,ALO,BA,ES_1P1,ES_MULAMBDA,FA,GWO,MFO,PSO_GBEST,PSO_RING,WOA
ALO,0.0,2.9589642272781282,9.957924162436091,8.358771454144247,5.9697032122759115,10.5228881251745,8.224033083139226,10.605282504291019,10.290202282053295,10.137772855533614
BA,2.9589642272781282,0.0,7.79098910068292,5.801232526802502,3.756117365876031,8.241234600967703,5.855535840901658,8.208646775040068,7.803775677368504,7.768233938535271
ES_1P1,9.957924162436091,7.79098910068292,0.0,3.3650110285744774,4.318218405973792,1.0437304312208011,2.462308346143469,1.670569724391338,2.3258659953168688,1.4664857854331363
ES_MULAMBDA,8.358771454144247,5.801232526802502,3.3650110285744774,0.0,3.1709459651368563,3.285283221740839,1.9079909352353734,2.880103295270578,2.310204939124821,2.553709803144595
FA,5.9697032122759115,3.756117365876031,4.318218405973792,3.1709459651368563,0.0,4.785135750090209,2.394261305928136,4.880623549080383,4.585795334160175,4.417586142873003
GWO,10.5228881251745,8.241234600967703,1.0437304312208011,3.285283221740839,4.785135750090209,0.0,2.6485445438578012,0.9822265609326309,1.7207839374143685,0.8959720568785529
MFO,8.224033083139226,5.855535840901658,2.462308346143469,1.9079909352353734,2.394261305928136,2.6485445438578012,0.0,2.6399702922043753,2.334469689812457,2.200471632712929
PSO_GBEST,10.605282504291019,8.208646775040068,1.670569724391338,2.880103295270578,4.880623549080383,0.9822265609326309,2.6399702922043753,0.0,0.9760708037114689,0.569384018750525
PSO_RING,10.290202282053295,7.803775677368504,2.3258659953168688,2.310204939124821,4.585795334160175,1.7207839374143685,2.334469689812457,0.9760708037114689,0.0,0.9743745524605771
WOA,10.137772855533614,7.768233938535271,1.4664857854331363,2.553709803144595,4.417586142873003,0.8959720568785529,2.200471632712929,0.569384018750525,0.9743745524605771,0.0
