,ALO,BA,ES_1P1,ES_MULAMBDA,FA,GWO,MFO,PSO_GBEST,PSO_RING,WOA
ALO,0.0,2.686311511438722,15.92255258227248,4.58659279620937,0.5771933022703047,9.935566647326144,3.3107441075427024,13.237856928956736,12.181164132680362,9.988846386766843
BA,2.686311511438722,0.0,14.817467490907113,2.283760463563752,2.886226910800444,8.932838731443379,2.62317990595157,11.671042316850523,10.326919343924068,8.354434661428792
ES_1P1,15.92255258227248,14.817467490907113,0.0,14.252099977786086,15.877894197517673,10.486099492257306,14.272486174758248,9.020241605103008,11.06998227136414,9.604946396563486
ES_MULAMBDA,4.58659279620937,2.283760463563752,14.252099977786086,0.0,4.723425547268805,8.42762873786216,2.9790946545394714,10.859697813409998,9.44381571011195,7.554013455491898
FA,0.5771933022703047,2.886226910800444,15.877894197517673,4.723425547268805,0.0,9.855884709724071,3.17873868116866,13.211339143684457,12.179961773997464,9.958962441676864
GWO,9.935566647326144,8.932838731443379,10.486099492257306,8.42762873786216,9.855884709724071,0.0,7.932213812037302,9.791625848797212,8.919047245926015,5.3908527583408015
MFO,3.3107441075427024,2.62317990595157,14.272486174758248,2.9790946545394714,3.17873868116866,7.932213812037302,0.0,11.218190013930716,10.128557441866791,7.711097027232731
PSO_GBEST,13.237856928956736,11.671042316850523,9.020241605103008,10.859697813409998,13.211339143684457,9.791625848797212,11.218190013930716,0.0,5.63085458055304,5.917886224878518
PSO_RING,12.181164132680362,10.326919343924068,11.06998227136414,9.44381571011195,12.179961773997464,8.919047245926015,10.128557441866791,5.63085458055304,0.0,4.641295352622833
WOA,9.988846386766843,8.354434661428792,9.604946396563486,7.554013455491898,9.958962441676864,5.3908527583408015,7.711097027232731,5.917886224878518,4.641295352622833,0.0
