algo_variant,budget,fitness
ALO,200,0.014446110368778011
ALO,300,0.0015569696859292158
ALO,500,0.005878498440663865
ALO,800,0.0042773591077401975
ALO,1000,0.009749396167401664
ALO,1500,0.03256525192149965
ALO,2000,0.06442329155364575
ALO,3500,0.1964223257990564
ALO,5000,0.29510124036937957
ALO,8000,0.4489009105606037
ALO,12000,0.5592871082793038
ALO,15000,0.6113010725276321
ALO,20000,0.6747873710363087
BA,200,0.027884791490079722
BA,300,0.026679191353103166
BA,500,0.06073766538229242
BA,800,0.10322051926078786
BA,1000,0.13682771124580997
BA,1500,0.2319390834709518
BA,2000,0.2995194648323801
BA,3500,0.43935003467703343
BA,5000,0.5560215019490293
BA,8000,0.6716458686720554
BA,12000,0.7087526251945929
BA,15000,0.7393528564942916
BA,20000,0.7438666060857243
ES_1P1,200,0.7367930838408928
ES_1P1,300,0.8494859363592586
ES_1P1,500,0.9043234361256751
ES_1P1,800,0.9096325647505606
ES_1P1,1000,0.9088349692028981
ES_1P1,1500,0.9074252407353162
ES_1P1,2000,0.9115433077034408
ES_1P1,3500,0.9103779715650623
ES_1P1,5000,0.9121989177730604
ES_1P1,8000,0.9111954710469132
ES_1P1,12000,0.911763415352908
ES_1P1,15000,0.9097804177361566
ES_1P1,20000,0.9110246670582153
ES_MULAMBDA,200,0.3024622593750225
ES_MULAMBDA,300,0.3976280508803468
ES_MULAMBDA,500,0.5468595566209092
ES_MULAMBDA,800,0.6068608842509456
ES_MULAMBDA,1000,0.6293590683833183
ES_MULAMBDA,1500,0.6749555416137711
ES_MULAMBDA,2000,0.7120601443751908
ES_MULAMBDA,3500,0.8016550019705492
ES_MULAMBDA,5000,0.8627965186949506
ES_MULAMBDA,8000,0.9377429063817847
ES_MULAMBDA,12000,0.9731435749981789
ES_MULAMBDA,15000,0.9796198220725404
ES_MULAMBDA,20000,0.9797828797748193
FA,200,0.2638087959499556
FA,300,0.39724104896686135
FA,500,0.47461796574884285
FA,800,0.5507225274902865
FA,1000,0.573357941306132
FA,1500,0.6201183259503987
FA,2000,0.6469950844165575
FA,3500,0.6936393657349468
FA,5000,0.7187436935243469
FA,8000,0.7457642387782546
FA,12000,0.7720578736985789
FA,15000,0.7833664291606042
FA,20000,0.7986293422948374
GWO,200,0.6437930395797076
GWO,300,0.8263478993785436
GWO,500,0.9336159564926131
GWO,800,0.9573237996124422
GWO,1000,0.9604283378307542
GWO,1500,0.9699647216975303
GWO,2000,0.9662020212271664
GWO,3500,0.9663328840304265
GWO,5000,0.9640920486648425
GWO,8000,0.9589200580989067
GWO,12000,0.9538502096294507
GWO,15000,0.9523674048896668
GWO,20000,0.9469848286941382
MFO,200,0.3215947879199908
MFO,300,0.5374311235663962
MFO,500,0.6711104951836288
MFO,800,0.7564981242376295
MFO,1000,0.7860465050822384
MFO,1500,0.8183002682862163
MFO,2000,0.8350594381866334
MFO,3500,0.8498006847319399
MFO,5000,0.8594503202961443
MFO,8000,0.8737010087044429
MFO,12000,0.8743367505701383
MFO,15000,0.8752762540914543
MFO,20000,0.8819661959354418
PSO_GBEST,200,0.5813610540082205
PSO_GBEST,300,0.7268285574202498
PSO_GBEST,500,0.8338066496445596
PSO_GBEST,800,0.9171990439601168
PSO_GBEST,1000,0.9421020872862055
PSO_GBEST,1500,0.9644918625732238
PSO_GBEST,2000,0.9725635389352973
PSO_GBEST,3500,0.9893512740118755
PSO_GBEST,5000,0.9915364446673737
PSO_GBEST,8000,0.9933595875971278
PSO_GBEST,12000,0.9918531665180119
PSO_GBEST,15000,0.9912936463551734
PSO_GBEST,20000,0.9942451250257326
PSO_RING,200,0.41076964600389065
PSO_RING,300,0.6041383571149823
PSO_RING,500,0.7455333467335632
PSO_RING,800,0.8564555628487248
PSO_RING,1000,0.9009010166347241
PSO_RING,1500,0.9558625162074293
PSO_RING,2000,0.9756298516250388
PSO_RING,3500,0.9911621779965372
PSO_RING,5000,0.9974026069241329
PSO_RING,8000,0.9998218008466367
PSO_RING,12000,1.0
PSO_RING,15000,1.0
PSO_RING,20000,1.0
WOA,200,0.5344162490685848
WOA,300,0.7384283147979033
WOA,500,0.8294911847882535
WOA,800,0.8825397626131214
WOA,1000,0.8990739595203104
WOA,1500,0.9215318582799811
WOA,2000,0.9269097920913781
WOA,3500,0.9454992988903065
WOA,5000,0.9583099950350704
WOA,8000,0.9658937104450626
WOA,12000,0.9688103387411763
WOA,15000,0.974564711834844
WOA,20000,0.9764187611613039
