algo_variant,headroom_mean,headroom_p05,headroom_p95
PSO_GBEST,0.7484056451612903,0.7349462365591398,0.7612903225806452
PSO_RING,0.67657421875,0.665625,0.6875
WOA,0.5791057291666666,0.5651041666666667,0.5932291666666667
ES_MULAMBDA,0.57290234375,0.5609375,0.5838541666666667
ES_1P1,0.5315346774193549,0.5193548387096775,0.5446236559139785
MFO,0.3662,0.351015625,0.3807291666666667
BA,0.36553854166666666,0.3541666666666667,0.3765625
GWO,0.334915625,0.296875,0.36979166666666663
ALO,0.18792890625,0.1765625,0.20052083333333334
FA,0.15517239583333334,0.14114583333333333,0.16770833333333335
