problem,instance_id,algo_variant,budget,best,fitness_score
Ackley,3,ALO,200,5.983885573975348,0.0
Ackley,3,ALO,300,6.257135767097377,0.0
Ackley,3,ALO,500,6.174565403013985,0.0
Ackley,3,ALO,800,5.937450525607707,0.0
Ackley,3,ALO,1000,5.944753269462483,0.0
Ackley,3,ALO,1500,5.898852711907867,0.0
Ackley,3,ALO,2000,5.671481413425977,0.03393720720542104
Ackley,3,ALO,3500,4.963177908558358,0.15458746209892926
Ackley,3,ALO,5000,5.070443213911527,0.13631621771971558
Ackley,3,ALO,8000,4.611268438541152,0.21453064600983018
Ackley,3,ALO,12000,4.2696563058241095,0.27271981294714365
Ackley,3,ALO,15000,3.990285773348037,0.320306935870209
Ackley,3,ALO,20000,4.337281061663484,0.2612008186557675
Ackley,3,BA,200,6.378907455973709,0.0
Ackley,3,BA,300,5.836329248506505,0.005857530648087028
Ackley,3,BA,500,5.755310280070993,0.01965805418888278
Ackley,3,BA,800,5.657268470716409,0.03635819644084304
Ackley,3,BA,1000,5.184444976312171,0.1168975058293692
Ackley,3,BA,1500,5.24227011517355,0.10704774835261943
Ackley,3,BA,2000,4.851329374724608,0.17363939961408992
Ackley,3,BA,3500,4.422300831406678,0.24671881084412917
Ackley,3,BA,5000,4.290384943063953,0.26918896021325867
Ackley,3,BA,8000,4.35526216155362,0.25813797303930264
Ackley,3,BA,12000,4.17881954929359,0.28819266851511804
Ackley,3,BA,15000,3.9900218305188,0.3203518950852995
Ackley,3,BA,20000,4.104912019234983,0.3007818513708306
Ackley,3,ES_1P1,200,2.1456690173628816,0.6345133181074962
Ackley,3,ES_1P1,300,0.9645433043018253,0.8357026633003126
Ackley,3,ES_1P1,500,0.2912842373804265,0.9503835557076062
Ackley,3,ES_1P1,800,0.20568976170953063,0.964963457171033
Ackley,3,ES_1P1,1000,0.5394547530156057,0.9081109483257835
Ackley,3,ES_1P1,1500,0.2584357863591632,0.9559788604905651
Ackley,3,ES_1P1,2000,0.21949649816237976,0.9626116598682722
Ackley,3,ES_1P1,3500,0.39630724249575316,0.9324942578998612
Ackley,3,ES_1P1,5000,0.16462236331094654,0.9719587523383617
Ackley,3,ES_1P1,8000,0.341433121392091,0.9418413480281975
Ackley,3,ES_1P1,12000,0.5385754338476051,0.9082607288662199
Ackley,3,ES_1P1,15000,0.5832837777638759,0.9006452461638255
Ackley,3,ES_1P1,20000,0.1321024141654636,0.9774981011154933
Ackley,3,ES_MULAMBDA,200,4.8154779113653206,0.17974622834340936
Ackley,3,ES_MULAMBDA,300,4.711102161770288,0.19752527462342928
Ackley,3,ES_MULAMBDA,500,3.6774387446665306,0.37359634287399746
Ackley,3,ES_MULAMBDA,800,3.562876159823033,0.39311058354574224
Ackley,3,ES_MULAMBDA,1000,3.488185922943089,0.4058330902899465
Ackley,3,ES_MULAMBDA,1500,3.241674004416008,0.44782317730799504
Ackley,3,ES_MULAMBDA,2000,3.0130894455298436,0.4867595726594346
Ackley,3,ES_MULAMBDA,3500,2.310311575740523,0.6064686077565369
Ackley,3,ES_MULAMBDA,5000,1.5758886616815677,0.7315679630073721
Ackley,3,ES_MULAMBDA,8000,0.5654342980795865,0.9036856719965742
Ackley,3,ES_MULAMBDA,12000,0.11027201618428978,0.9812166244077755
Ackley,3,ES_MULAMBDA,15000,0.037426612826783216,0.9936248878464072
Ackley,3,ES_MULAMBDA,20000,0.00801339827854718,0.9986350449444515
Ackley,3,FA,200,5.085381874242246,0.1337716119620389
Ackley,3,FA,300,4.479386855876271,0.23699495185461206
Ackley,3,FA,500,4.293956162537456,0.26858064959952055
Ackley,3,FA,800,4.001602318636873,0.31837931012188325
Ackley,3,FA,1000,3.8807436651979788,0.33896600388138143
Ackley,3,FA,1500,3.698590534696931,0.3699934115866551
Ackley,3,FA,2000,3.6013993670063806,0.38654865813658457
Ackley,3,FA,3500,3.4122191656070413,0.4187730356284076
Ackley,3,FA,5000,3.133677103661909,0.4662190394125123
Ackley,3,FA,8000,3.035286665413826,0.4829785660450028
Ackley,3,FA,12000,2.8692554101287167,0.5112598227842045
Ackley,3,FA,15000,2.8332485051909604,0.5173931289570697
Ackley,3,FA,20000,2.6182612937543563,0.5540133936888088
Ackley,3,GWO,200,1.6647224224010395,0.7164362916259686
Ackley,3,GWO,300,0.7420181152244838,0.873606924112103
Ackley,3,GWO,500,0.3480996039256742,0.9407057997619634
Ackley,3,GWO,800,0.22912321160281318,0.9609718749139508
Ackley,3,GWO,1000,0.08103575756057475,0.9861966393743018
Ackley,3,GWO,1500,0.11548994068830222,0.9803278190904252
Ackley,3,GWO,2000,0.03984043229997174,0.9932137252124436
Ackley,3,GWO,3500,0.07644027533345453,0.9869794197759945
Ackley,3,GWO,5000,0.12573266922305237,0.9785831040070888
Ackley,3,GWO,8000,0.0640101065792228,0.9890967367428894
Ackley,3,GWO,12000,0.17099248333896208,0.9708736855558305
Ackley,3,GWO,15000,0.2260698662268547,0.9614919724362073
Ackley,3,GWO,20000,0.3336600062438956,0.9431653967128382
Ackley,3,MFO,200,4.794415444450089,0.18333394460422858
Ackley,3,MFO,300,4.094053419006371,0.3026314721567869
Ackley,3,MFO,500,3.156834927940938,0.46227440638042516
Ackley,3,MFO,800,2.4404142268812152,0.5843073196723003
Ackley,3,MFO,1000,2.5201047534044276,0.570733078867971
Ackley,3,MFO,1500,2.0512153479601514,0.6506022675631344
Ackley,3,MFO,2000,1.904320857606904,0.675623826233642
Ackley,3,MFO,3500,2.278893787035925,0.6118202178916703
Ackley,3,MFO,5000,2.221731641940364,0.6215570430360384
Ackley,3,MFO,8000,1.4016282234510933,0.761250953626331
Ackley,3,MFO,12000,1.8803798488746089,0.6797018645125843
