algo_variant,easy,hard,med
ALO,0.22083333333333333,0.05260416666666667,0.0734375
BA,0.396875,0.21458333333333332,0.24375
ES_1P1,0.6994623655913978,0.3704301075268817,0.5403225806451614
ES_MULAMBDA,0.6067708333333334,0.22083333333333333,0.3572916666666667
FA,0.18854166666666666,0.03125,0.03125
GWO,0.509375,0.12395833333333334,0.2765625
MFO,0.403125,0.06354166666666666,0.12760416666666666
PSO_GBEST,0.7940860215053764,0.4526881720430108,0.5134408602150538
PSO_RING,0.71875,0.5239583333333333,0.6359375
WOA,0.6453125,0.3411458333333333,0.42291666666666666
