algo,nn1,d1,nn2,d2,nn3,d3
ALO,BA,2.9589642272781282,FA,5.9697032122759115,MFO,8.224033083139226
BA,ALO,2.9589642272781282,FA,3.756117365876031,ES_MULAMBDA,5.801232526802502
ES_1P1,GWO,1.0437304312208011,WOA,1.4664857854331363,PSO_GBEST,1.670569724391338
ES_MULAMBDA,MFO,1.9079909352353734,PSO_RING,2.310204939124821,WOA,2.553709803144595
FA,MFO,2.394261305928136,ES_MULAMBDA,3.1709459651368563,BA,3.756117365876031
GWO,WOA,0.8959720568785529,PSO_GBEST,0.9822265609326309,ES_1P1,1.0437304312208011
MFO,ES_MULAMBDA,1.9079909352353734,WOA,2.200471632712929,PSO_RING,2.334469689812457
PSO_GBEST,WOA,0.569384018750525,PSO_RING,0.9760708037114689,GWO,0.9822265609326309
PSO_RING,WOA,0.9743745524605771,PSO_GBEST,0.9760708037114689,GWO,1.7207839374143685
WOA,PSO_GBEST,0.569384018750525,GWO,0.8959720568785529,PSO_RING,0.9743745524605771
