algo,nn1,d1,nn2,d2,nn3,d3
ALO,FA,0.5771933022703047,BA,2.686311511438722,MFO,3.3107441075427024
BA,ES_MULAMBDA,2.283760463563752,MFO,2.62317990595157,ALO,2.686311511438722
ES_1P1,PSO_GBEST,9.020241605103008,WOA,9.604946396563486,GWO,10.486099492257306
ES_MULAMBDA,BA,2.283760463563752,MFO,2.9790946545394714,ALO,4.58659279620937
FA,ALO,0.5771933022703047,BA,2.886226910800444,MFO,3.17873868116866
GWO,WOA,5.3908527583408015,MFO,7.932213812037302,ES_MULAMBDA,8.42762873786216
MFO,BA,2.62317990595157,ES_MULAMBDA,2.9790946545394714,FA,3.17873868116866
PSO_GBEST,PSO_RING,5.63085458055304,WOA,5.917886224878518,ES_1P1,9.020241605103008
PSO_RING,WOA,4.641295352622833,PSO_GBEST,5.63085458055304,GWO,8.919047245926015
WOA,PSO_RING,4.641295352622833,GWO,5.3908527583408015,PSO_GBEST,5.917886224878518
