algo_u,algo_v,dist_mean,dist_p95
ALO,BA,2.841942981748644,2.9589642272781282
ALO,ES_1P1,9.894739652500661,9.957924162436091
ALO,ES_MULAMBDA,8.297193283210392,8.358771454144247
ALO,FA,5.888718894954665,5.9697032122759115
ALO,GWO,10.436494712841478,10.5228881251745
ALO,MFO,8.161289164995999,8.224033083139226
ALO,PSO_GBEST,10.556426116902276,10.605282504291019
ALO,PSO_RING,10.240811017766488,10.290202282053295
ALO,WOA,10.089677418657942,10.137772855533614
BA,ES_1P1,7.716597986818855,7.79098910068292
BA,ES_MULAMBDA,5.711030909563962,5.801232526802502
BA,FA,3.6464012186244137,3.756117365876031
BA,GWO,8.142800790226763,8.241234600967703
BA,MFO,5.776217086084191,5.855535840901658
BA,PSO_GBEST,8.143024655173104,8.208646775040068
BA,PSO_RING,7.727182389536307,7.803775677368504
BA,WOA,7.697702299221844,7.768233938535271
ES_1P1,ES_MULAMBDA,3.3076773024045094,3.3650110285744774
ES_1P1,FA,4.231280859480795,4.318218405973792
ES_1P1,GWO,0.8991720298510453,1.0437304312208011
ES_1P1,MFO,2.405008693318419,2.462308346143469
ES_1P1,PSO_GBEST,1.608557343848669,1.670569724391338
ES_1P1,PSO_RING,2.273130648734904,2.3258659953168688
ES_1P1,WOA,1.3967548795368117,1.4664857854331363
ES_MULAMBDA,FA,3.0867396555482856,3.1709459651368563
ES_MULAMBDA,GWO,3.231247357768149,3.285283221740839
ES_MULAMBDA,MFO,1.8506150000479575,1.9079909352353734
ES_MULAMBDA,PSO_GBEST,2.834473212528266,2.880103295270578
ES_MULAMBDA,PSO_RING,2.271520447359484,2.310204939124821
ES_MULAMBDA,WOA,2.49992172394055,2.553709803144595
FA,GWO,4.6670034666739575,4.785135750090209
FA,MFO,2.3156917166702655,2.394261305928136
FA,PSO_GBEST,4.800516113182253,4.880623549080383
FA,PSO_RING,4.514994374712509,4.585795334160175
FA,WOA,4.336851547799235,4.417586142873003
GWO,MFO,2.544358290137608,2.6485445438578012
GWO,PSO_GBEST,0.8639038005045501,0.9822265609326309
GWO,PSO_RING,1.6352011246896714,1.7207839374143685
GWO,WOA,0.8277766931519267,0.8959720568785529
MFO,PSO_GBEST,2.5856195888637354,2.6399702922043753
MFO,PSO_RING,2.2774961665429068,2.334469689812457
MFO,WOA,2.1346400821628713,2.200471632712929
PSO_GBEST,PSO_RING,0.9266376881682299,0.9760708037114689
PSO_GBEST,WOA,0.5190562431275231,0.569384018750525
PSO_RING,WOA,0.92738318725716,0.9743745524605771
