algo_variant,budget,target,beta_mean
ALO,200,easy,0.0328125
ALO,200,hard,0.03125
ALO,200,med,0.03125
ALO,300,easy,0.03177083333333333
ALO,300,hard,0.03125
ALO,300,med,0.03125
ALO,500,easy,0.03177083333333333
ALO,500,hard,0.03125
ALO,500,med,0.03125
ALO,800,easy,0.034375
ALO,800,hard,0.03125
ALO,800,med,0.03125
ALO,1000,easy,0.03333333333333333
ALO,1000,hard,0.03125
ALO,1000,med,0.03125
ALO,1500,easy,0.034895833333333334
ALO,1500,hard,0.03125
ALO,1500,med,0.03125
ALO,2000,easy,0.034895833333333334
ALO,2000,hard,0.03125
ALO,2000,med,0.03125
ALO,3500,easy,0.03958333333333333
ALO,3500,hard,0.03125
ALO,3500,med,0.03125
ALO,5000,easy,0.04375
ALO,5000,hard,0.03125
ALO,5000,med,0.03125
ALO,8000,easy,0.07760416666666667
ALO,8000,hard,0.03125
ALO,8000,med,0.03125
ALO,12000,easy,0.13541666666666666
ALO,12000,hard,0.03333333333333333
ALO,12000,med,0.03697916666666667
ALO,15000,easy,0.17239583333333333
ALO,15000,hard,0.03854166666666667
ALO,15000,med,0.05
ALO,20000,easy,0.22083333333333333
ALO,20000,hard,0.05260416666666667
ALO,20000,med,0.0734375
BA,200,easy,0.03125
BA,200,hard,0.03125
BA,200,med,0.03125
BA,300,easy,0.034375
BA,300,hard,0.03125
BA,300,med,0.03125
BA,500,easy,0.03333333333333333
BA,500,hard,0.03125
BA,500,med,0.03125
BA,800,easy,0.03802083333333333
BA,800,hard,0.03125
BA,800,med,0.03125
BA,1000,easy,0.03958333333333333
BA,1000,hard,0.03125
BA,1000,med,0.03125
BA,1500,easy,0.04010416666666667
BA,1500,hard,0.03125
BA,1500,med,0.03125
BA,2000,easy,0.0453125
BA,2000,hard,0.03125
BA,2000,med,0.03125
BA,3500,easy,0.07395833333333333
BA,3500,hard,0.03229166666666667
BA,3500,med,0.03333333333333333
BA,5000,easy,0.12239583333333333
BA,5000,hard,0.034895833333333334
BA,5000,med,0.036458333333333336
BA,8000,easy,0.22916666666666666
BA,8000,hard,0.05677083333333333
BA,8000,med,0.07447916666666667
BA,12000,easy,0.3
BA,12000,hard,0.1046875
BA,12000,med,0.13541666666666666
BA,15000,easy,0.365625
BA,15000,hard,0.17239583333333333
BA,15000,med,0.203125
BA,20000,easy,0.396875
BA,20000,hard,0.21458333333333332
BA,20000,med,0.24375
ES_1P1,200,easy,0.1704301075268817
ES_1P1,200,hard,0.0161290322580645
ES_1P1,200,med,0.0161290322580645
ES_1P1,300,easy,0.39247311827956993
ES_1P1,300,hard,0.0161290322580645
ES_1P1,300,med,0.033333333333333305
ES_1P1,500,easy,0.5403225806451614
ES_1P1,500,hard,0.18817204301075266
ES_1P1,500,med,0.23548387096774193
ES_1P1,800,easy,0.5451612903225806
ES_1P1,800,hard,0.21989247311827956
ES_1P1,800,med,0.3935483870967742
ES_1P1,1000,easy,0.5494623655913978
ES_1P1,1000,hard,0.36236559139784946
ES_1P1,1000,med,0.38817204301075264
ES_1P1,1500,easy,0.5440860215053764
ES_1P1,1500,hard,0.3591397849462366
ES_1P1,1500,med,0.39408602150537636
ES_1P1,2000,easy,0.5516129032258064
ES_1P1,2000,hard,0.3591397849462366
ES_1P1,2000,med,0.3913978494623656
ES_1P1,3500,easy,0.5505376344086022
ES_1P1,3500,hard,0.3596774193548387
ES_1P1,3500,med,0.39731182795698927
ES_1P1,5000,easy,0.560752688172043
ES_1P1,5000,hard,0.36612903225806454
ES_1P1,5000,med,0.40107526881720434
ES_1P1,8000,easy,0.6725806451612903
ES_1P1,8000,hard,0.3586021505376344
ES_1P1,8000,med,0.3951612903225807
ES_1P1,12000,easy,0.7010752688172043
ES_1P1,12000,hard,0.3688172043010753
ES_1P1,12000,med,0.4053763440860215
ES_1P1,15000,easy,0.6833333333333333
ES_1P1,15000,hard,0.3629032258064516
ES_1P1,15000,med,0.40161290322580645
ES_1P1,20000,easy,0.6994623655913978
ES_1P1,20000,hard,0.3704301075268817
ES_1P1,20000,med,0.5403225806451614
ES_MULAMBDA,200,easy,0.033854166666666664
ES_MULAMBDA,200,hard,0.03125
ES_MULAMBDA,200,med,0.03125
ES_MULAMBDA,300,easy,0.0359375
ES_MULAMBDA,300,hard,0.03125
ES_MULAMBDA,300,med,0.03125
ES_MULAMBDA,500,easy,0.035416666666666666
ES_MULAMBDA,500,hard,0.03125
ES_MULAMBDA,500,med,0.03125
ES_MULAMBDA,800,easy,0.042708333333333334
ES_MULAMBDA,800,hard,0.03125
ES_MULAMBDA,800,med,0.03125
ES_MULAMBDA,1000,easy,0.051041666666666666
ES_MULAMBDA,1000,hard,0.03125
ES_MULAMBDA,1000,med,0.03125
ES_MULAMBDA,1500,easy,0.0671875
ES_MULAMBDA,1500,hard,0.03125
ES_MULAMBDA,1500,med,0.03125
ES_MULAMBDA,2000,easy,0.08489583333333334
ES_MULAMBDA,2000,hard,0.03125
ES_MULAMBDA,2000,med,0.03125
ES_MULAMBDA,3500,easy,0.15260416666666668
ES_MULAMBDA,3500,hard,0.03125
ES_MULAMBDA,3500,med,0.03125
ES_MULAMBDA,5000,easy,0.25729166666666664
ES_MULAMBDA,5000,hard,0.03125
ES_MULAMBDA,5000,med,0.03177083333333333
ES_MULAMBDA,8000,easy,0.4015625
ES_MULAMBDA,8000,hard,0.03125
ES_MULAMBDA,8000,med,0.059375
ES_MULAMBDA,12000,easy,0.47604166666666664
ES_MULAMBDA,12000,hard,0.05416666666666667
ES_MULAMBDA,12000,med,0.22083333333333333
ES_MULAMBDA,15000,easy,0.5822916666666667
ES_MULAMBDA,15000,hard,0.19583333333333333
ES_MULAMBDA,15000,med,0.23333333333333334
ES_MULAMBDA,20000,easy,0.6067708333333334
ES_MULAMBDA,20000,hard,0.22083333333333333
ES_MULAMBDA,20000,med,0.3572916666666667
FA,200,easy,0.03333333333333333
FA,200,hard,0.03125
FA,200,med,0.03125
FA,300,easy,0.03333333333333333
FA,300,hard,0.03125
FA,300,med,0.03125
FA,500,easy,0.03854166666666667
FA,500,hard,0.03125
FA,500,med,0.03125
FA,800,easy,0.0453125
FA,800,hard,0.03125
FA,800,med,0.03125
FA,1000,easy,0.04479166666666667
FA,1000,hard,0.03125
FA,1000,med,0.03125
FA,1500,easy,0.044270833333333336
FA,1500,hard,0.03125
FA,1500,med,0.03125
FA,2000,easy,0.05677083333333333
FA,2000,hard,0.03125
FA,2000,med,0.03125
FA,3500,easy,0.078125
FA,3500,hard,0.03125
FA,3500,med,0.03125
FA,5000,easy,0.0859375
FA,5000,hard,0.03125
FA,5000,med,0.03125
FA,8000,easy,0.11354166666666667
FA,8000,hard,0.03125
FA,8000,med,0.03125
FA,12000,easy,0.15572916666666667
FA,12000,hard,0.03125
FA,12000,med,0.03177083333333333
FA,15000,easy,0.159375
FA,15000,hard,0.03125
FA,15000,med,0.03125
FA,20000,easy,0.18854166666666666
FA,20000,hard,0.03125
FA,20000,med,0.03125
GWO,200,easy,0.17395833333333333
GWO,200,hard,0.03125
GWO,200,med,0.0328125
GWO,300,easy,0.3171875
GWO,300,hard,0.03125
GWO,300,med,0.06770833333333333
GWO,500,easy,0.3885416666666667
GWO,500,hard,0.03802083333333333
GWO,500,med,0.14947916666666666
GWO,800,easy,0.43072916666666666
GWO,800,hard,0.0609375
GWO,800,med,0.18697916666666667
GWO,1000,easy,0.46458333333333335
GWO,1000,hard,0.08020833333333334
GWO,1000,med,0.19427083333333334
GWO,1500,easy,0.51875
GWO,1500,hard,0.13020833333333334
GWO,1500,med,0.20052083333333334
GWO,2000,easy,0.5239583333333333
GWO,2000,hard,0.13541666666666666
GWO,2000,med,0.203125
GWO,3500,easy,0.5359375
GWO,3500,hard,0.1453125
GWO,3500,med,0.19895833333333332
GWO,5000,easy,0.5385416666666667
GWO,5000,hard,0.14322916666666666
GWO,5000,med,0.19947916666666668
GWO,8000,easy,0.5317708333333333
GWO,8000,hard,0.140625
GWO,8000,med,0.24739583333333334
GWO,12000,easy,0.5244791666666667
GWO,12000,hard,0.13072916666666667
GWO,12000,med,0.2755208333333333
GWO,15000,easy,0.5255208333333333
GWO,15000,hard,0.1359375
GWO,15000,med,0.2875
GWO,20000,easy,0.509375
GWO,20000,hard,0.12395833333333334
GWO,20000,med,0.2765625
MFO,200,easy,0.03697916666666667
MFO,200,hard,0.03125
MFO,200,med,0.03125
MFO,300,easy,0.050520833333333334
MFO,300,hard,0.03125
MFO,300,med,0.03125
MFO,500,easy,0.09427083333333333
MFO,500,hard,0.03125
MFO,500,med,0.03125
MFO,800,easy,0.15104166666666666
MFO,800,hard,0.03125
MFO,800,med,0.03333333333333333
MFO,1000,easy,0.1765625
MFO,1000,hard,0.03125
MFO,1000,med,0.034375
MFO,1500,easy,0.2140625
MFO,1500,hard,0.03125
MFO,1500,med,0.03802083333333333
MFO,2000,easy,0.23072916666666668
MFO,2000,hard,0.03229166666666667
MFO,2000,med,0.040625
MFO,3500,easy,0.2869791666666667
MFO,3500,hard,0.03229166666666667
MFO,3500,med,0.04739583333333333
MFO,5000,easy,0.32135416666666666
MFO,5000,hard,0.0359375
MFO,5000,med,0.058333333333333334
MFO,8000,easy,0.35104166666666664
MFO,8000,hard,0.03802083333333333
MFO,8000,med,0.0765625
MFO,12000,easy,0.3807291666666667
MFO,12000,hard,0.04791666666666667
MFO,12000,med,0.096875
MFO,15000,easy,0.3703125
MFO,15000,hard,0.05572916666666667
MFO,15000,med,0.1109375
MFO,20000,easy,0.403125
MFO,20000,hard,0.06354166666666666
MFO,20000,med,0.12760416666666666
PSO_GBEST,200,easy,0.045698924731182776
PSO_GBEST,200,hard,0.0161290322580645
PSO_GBEST,200,med,0.0161290322580645
PSO_GBEST,300,easy,0.12526881720430105
PSO_GBEST,300,hard,0.0161290322580645
