domain,group_type,size_bin,budget_tier,algo,win_count,n_instances,post_mean_p_best,post_p05,post_p95
continuous,ackley,d<=10,B10000,RS,0,2,0.1663627634756146,0.010541169240042112,0.4497023487516016
continuous,ackley,d<=10,B10000,HC,0,2,0.1641749621963322,0.011016085896573139,0.44391758503650897
continuous,ackley,d<=10,B10000,SA,0,2,0.1684307800846056,0.009360420542358763,0.4547420814888866
continuous,ackley,d<=10,B10000,DE,2,2,0.5010314942434481,0.17982955155989971,0.8138103144680452
continuous,ackley,d<=10,B2000,RS,0,2,0.16151377294940322,0.009497115112361471,0.4342494008168917
continuous,ackley,d<=10,B2000,HC,0,2,0.16875073464219342,0.011059179881557352,0.45347934268058
continuous,ackley,d<=10,B2000,SA,2,2,0.5018877762356482,0.19464997984078808,0.8064548761909022
continuous,ackley,d<=10,B2000,DE,0,2,0.16784771617275376,0.0109601839419883,0.4540089893215591
continuous,ackley,d<=5,B10000,RS,0,4,0.1249054019284248,0.006344181170811621,0.34943182395555583
continuous,ackley,d<=5,B10000,HC,0,4,0.1256095276338857,0.007144213260199812,0.35163404552870753
continuous,ackley,d<=5,B10000,SA,1,4,0.25048603804694386,0.05438106823909171,0.5199221819968708
continuous,ackley,d<=5,B10000,DE,3,4,0.4989990323907482,0.22613498674707477,0.7823051509951229
continuous,ackley,d<=5,B2000,RS,0,4,0.12686577039458177,0.0074609418241735155,0.35538903211083833
continuous,ackley,d<=5,B2000,HC,0,4,0.12246314354159221,0.006862244705719735,0.348518936299652
continuous,ackley,d<=5,B2000,SA,0,4,0.12572035921445157,0.007725556693229659,0.3573097306648387
continuous,ackley,d<=5,B2000,DE,4,4,0.624950726849378,0.34134056569502746,0.8745693358881962
continuous,ackley,d>10,B10000,RS,0,1,0.195159912783562,0.012267856668715646,0.5236679981932622
continuous,ackley,d>10,B10000,HC,0,1,0.20370004172850112,0.012602547157349092,0.5342029769898672
continuous,ackley,d>10,B10000,SA,1,1,0.402561808531509,0.0998689987681943,0.761358763218887
continuous,ackley,d>10,B10000,DE,0,1,0.19857823695642834,0.012896217107213802,0.5337233022277558
continuous,ackley,d>10,B2000,RS,0,1,0.20243580157589838,0.013320309167782936,0.5465774394696667
continuous,ackley,d>10,B2000,HC,0,1,0.19845010713822206,0.012302406450089712,0.5155019645287433
continuous,ackley,d>10,B2000,SA,1,1,0.3950381443210066,0.0967444354147378,0.7413050411767466
continuous,ackley,d>10,B2000,DE,0,1,0.20407594696487225,0.01384724413947934,0.5248994102951685
continuous,rastrigin,d<=10,B10000,RS,0,2,0.16590128952270508,0.01009487260456585,0.4551153175981112
continuous,rastrigin,d<=10,B10000,HC,0,2,0.16077838331596556,0.009203325417779984,0.44381626644578626
