func,dim_bin,budget_tier,algo,hit_count_top3,n_instances_in_group
ackley,d<=10,1000xD,PSO_STD,0,20
ackley,d<=10,1000xD,PSO_CONSTR,0,20
ackley,d<=10,1000xD,PSO_RING,19,20
ackley,d<=10,1000xD,DE,20,20
ackley,d<=10,1000xD,GA,0,20
ackley,d<=10,1000xD,ES_ML,7,20
ackley,d<=10,1000xD,GWO,4,20
ackley,d<=10,1000xD,MFO,0,20
ackley,d<=10,1000xD,WOA,0,20
ackley,d<=10,1000xD,FA,0,20
ackley,d<=10,1000xD,BA,0,20
ackley,d<=10,1000xD,ALO,10,20
ackley,d<=10,200xD,PSO_STD,1,20
ackley,d<=10,200xD,PSO_CONSTR,4,20
ackley,d<=10,200xD,PSO_RING,8,20
ackley,d<=10,200xD,DE,0,20
ackley,d<=10,200xD,GA,0,20
ackley,d<=10,200xD,ES_ML,20,20
ackley,d<=10,200xD,GWO,19,20
ackley,d<=10,200xD,MFO,0,20
ackley,d<=10,200xD,WOA,0,20
ackley,d<=10,200xD,FA,0,20
ackley,d<=10,200xD,BA,0,20
ackley,d<=10,200xD,ALO,8,20
ackley,d<=5,1000xD,PSO_STD,7,20
ackley,d<=5,1000xD,PSO_CONSTR,11,20
ackley,d<=5,1000xD,PSO_RING,13,20
ackley,d<=5,1000xD,DE,9,20
ackley,d<=5,1000xD,GA,0,20
ackley,d<=5,1000xD,ES_ML,19,20
ackley,d<=5,1000xD,GWO,0,20
ackley,d<=5,1000xD,MFO,0,20
ackley,d<=5,1000xD,WOA,1,20
ackley,d<=5,1000xD,FA,0,20
ackley,d<=5,1000xD,BA,0,20
ackley,d<=5,1000xD,ALO,0,20
ackley,d<=5,200xD,PSO_STD,6,20
ackley,d<=5,200xD,PSO_CONSTR,9,20
ackley,d<=5,200xD,PSO_RING,1,20
ackley,d<=5,200xD,DE,0,20
ackley,d<=5,200xD,GA,0,20
ackley,d<=5,200xD,ES_ML,18,20
ackley,d<=5,200xD,GWO,18,20
ackley,d<=5,200xD,MFO,0,20
ackley,d<=5,200xD,WOA,8,20
ackley,d<=5,200xD,FA,0,20
ackley,d<=5,200xD,BA,0,20
ackley,d<=5,200xD,ALO,0,20
griewank,d<=10,1000xD,PSO_STD,1,20
griewank,d<=10,1000xD,PSO_CONSTR,3,20
griewank,d<=10,1000xD,PSO_RING,19,20
griewank,d<=10,1000xD,DE,13,20
griewank,d<=10,1000xD,GA,0,20
griewank,d<=10,1000xD,ES_ML,16,20
griewank,d<=10,1000xD,GWO,1,20
griewank,d<=10,1000xD,MFO,0,20
griewank,d<=10,1000xD,WOA,1,20
griewank,d<=10,1000xD,FA,6,20
griewank,d<=10,1000xD,BA,0,20
griewank,d<=10,1000xD,ALO,0,20
griewank,d<=10,200xD,PSO_STD,9,20
griewank,d<=10,200xD,PSO_CONSTR,11,20
griewank,d<=10,200xD,PSO_RING,3,20
griewank,d<=10,200xD,DE,0,20
griewank,d<=10,200xD,GA,0,20
griewank,d<=10,200xD,ES_ML,17,20
griewank,d<=10,200xD,GWO,17,20
griewank,d<=10,200xD,MFO,0,20
griewank,d<=10,200xD,WOA,1,20
griewank,d<=10,200xD,FA,0,20
griewank,d<=10,200xD,BA,0,20
griewank,d<=10,200xD,ALO,2,20
griewank,d<=5,1000xD,PSO_STD,7,20
griewank,d<=5,1000xD,PSO_CONSTR,11,20
griewank,d<=5,1000xD,PSO_RING,20,20
griewank,d<=5,1000xD,DE,7,20
griewank,d<=5,1000xD,GA,1,20
griewank,d<=5,1000xD,ES_ML,6,20
griewank,d<=5,1000xD,GWO,3,20
griewank,d<=5,1000xD,MFO,0,20
griewank,d<=5,1000xD,WOA,5,20
griewank,d<=5,1000xD,FA,0,20
griewank,d<=5,1000xD,BA,0,20
griewank,d<=5,1000xD,ALO,0,20
griewank,d<=5,200xD,PSO_STD,14,20
griewank,d<=5,200xD,PSO_CONSTR,15,20
griewank,d<=5,200xD,PSO_RING,6,20
griewank,d<=5,200xD,DE,0,20
griewank,d<=5,200xD,GA,0,20
griewank,d<=5,200xD,ES_ML,6,20
griewank,d<=5,200xD,GWO,14,20
griewank,d<=5,200xD,MFO,0,20
griewank,d<=5,200xD,WOA,5,20
griewank,d<=5,200xD,FA,0,20
griewank,d<=5,200xD,BA,0,20
griewank,d<=5,200xD,ALO,0,20
rastrigin,d<=10,1000xD,PSO_STD,6,20
rastrigin,d<=10,1000xD,PSO_CONSTR,3,20
rastrigin,d<=10,1000xD,PSO_RING,20,20
rastrigin,d<=10,1000xD,DE,0,20
rastrigin,d<=10,1000xD,GA,0,20
rastrigin,d<=10,1000xD,ES_ML,8,20
rastrigin,d<=10,1000xD,GWO,0,20
rastrigin,d<=10,1000xD,MFO,0,20
rastrigin,d<=10,1000xD,WOA,10,20
rastrigin,d<=10,1000xD,FA,0,20
rastrigin,d<=10,1000xD,BA,0,20
rastrigin,d<=10,1000xD,ALO,13,20
rastrigin,d<=10,200xD,PSO_STD,7,20
rastrigin,d<=10,200xD,PSO_CONSTR,13,20
rastrigin,d<=10,200xD,PSO_RING,0,20
rastrigin,d<=10,200xD,DE,0,20
rastrigin,d<=10,200xD,GA,0,20
rastrigin,d<=10,200xD,ES_ML,20,20
rastrigin,d<=10,200xD,GWO,18,20
rastrigin,d<=10,200xD,MFO,0,20
rastrigin,d<=10,200xD,WOA,2,20
rastrigin,d<=10,200xD,FA,0,20
rastrigin,d<=10,200xD,BA,0,20
rastrigin,d<=10,200xD,ALO,0,20
rastrigin,d<=5,1000xD,PSO_STD,11,20
rastrigin,d<=5,1000xD,PSO_CONSTR,5,20
rastrigin,d<=5,1000xD,PSO_RING,19,20
rastrigin,d<=5,1000xD,DE,4,20
rastrigin,d<=5,1000xD,GA,1,20
rastrigin,d<=5,1000xD,ES_ML,1,20
rastrigin,d<=5,1000xD,GWO,4,20
rastrigin,d<=5,1000xD,MFO,0,20
rastrigin,d<=5,1000xD,WOA,10,20
rastrigin,d<=5,1000xD,FA,0,20
rastrigin,d<=5,1000xD,BA,0,20
rastrigin,d<=5,1000xD,ALO,5,20
rastrigin,d<=5,200xD,PSO_STD,5,20
rastrigin,d<=5,200xD,PSO_CONSTR,13,20
rastrigin,d<=5,200xD,PSO_RING,2,20
rastrigin,d<=5,200xD,DE,0,20
rastrigin,d<=5,200xD,GA,0,20
rastrigin,d<=5,200xD,ES_ML,13,20
rastrigin,d<=5,200xD,GWO,19,20
rastrigin,d<=5,200xD,MFO,0,20
rastrigin,d<=5,200xD,WOA,7,20
rastrigin,d<=5,200xD,FA,0,20
rastrigin,d<=5,200xD,BA,1,20
rastrigin,d<=5,200xD,ALO,0,20
rosenbrock,d<=10,1000xD,PSO_STD,4,20
rosenbrock,d<=10,1000xD,PSO_CONSTR,2,20
rosenbrock,d<=10,1000xD,PSO_RING,14,20
rosenbrock,d<=10,1000xD,DE,19,20
rosenbrock,d<=10,1000xD,GA,0,20
rosenbrock,d<=10,1000xD,ES_ML,13,20
rosenbrock,d<=10,1000xD,GWO,4,20
rosenbrock,d<=10,1000xD,MFO,0,20
rosenbrock,d<=10,1000xD,WOA,1,20
rosenbrock,d<=10,1000xD,FA,0,20
rosenbrock,d<=10,1000xD,BA,0,20
rosenbrock,d<=10,1000xD,ALO,3,20
rosenbrock,d<=10,200xD,PSO_STD,2,20
rosenbrock,d<=10,200xD,PSO_CONSTR,5,20
rosenbrock,d<=10,200xD,PSO_RING,8,20
rosenbrock,d<=10,200xD,DE,0,20
rosenbrock,d<=10,200xD,GA,0,20
rosenbrock,d<=10,200xD,ES_ML,16,20
rosenbrock,d<=10,200xD,GWO,15,20
rosenbrock,d<=10,200xD,MFO,0,20
rosenbrock,d<=10,200xD,WOA,7,20
rosenbrock,d<=10,200xD,FA,0,20
rosenbrock,d<=10,200xD,BA,0,20
rosenbrock,d<=10,200xD,ALO,7,20
rosenbrock,d<=5,1000xD,PSO_STD,10,20
rosenbrock,d<=5,1000xD,PSO_CONSTR,9,20
rosenbrock,d<=5,1000xD,PSO_RING,8,20
rosenbrock,d<=5,1000xD,DE,20,20
rosenbrock,d<=5,1000xD,GA,0,20
rosenbrock,d<=5,1000xD,ES_ML,4,20
rosenbrock,d<=5,1000xD,GWO,5,20
rosenbrock,d<=5,1000xD,MFO,0,20
rosenbrock,d<=5,1000xD,WOA,4,20
rosenbrock,d<=5,1000xD,FA,0,20
rosenbrock,d<=5,1000xD,BA,0,20
rosenbrock,d<=5,1000xD,ALO,0,20
rosenbrock,d<=5,200xD,PSO_STD,9,20
rosenbrock,d<=5,200xD,PSO_CONSTR,13,20
rosenbrock,d<=5,200xD,PSO_RING,0,20
rosenbrock,d<=5,200xD,DE,0,20
rosenbrock,d<=5,200xD,GA,0,20
rosenbrock,d<=5,200xD,ES_ML,14,20
rosenbrock,d<=5,200xD,GWO,14,20
rosenbrock,d<=5,200xD,MFO,0,20
rosenbrock,d<=5,200xD,WOA,10,20
rosenbrock,d<=5,200xD,FA,0,20
rosenbrock,d<=5,200xD,BA,0,20
rosenbrock,d<=5,200xD,ALO,0,20
sphere,d<=10,1000xD,PSO_STD,4,20
sphere,d<=10,1000xD,PSO_CONSTR,7,20
sphere,d<=10,1000xD,PSO_RING,16,20
sphere,d<=10,1000xD,DE,13,20
sphere,d<=10,1000xD,GA,0,20
sphere,d<=10,1000xD,ES_ML,20,20
sphere,d<=10,1000xD,GWO,0,20
sphere,d<=10,1000xD,MFO,0,20
sphere,d<=10,1000xD,WOA,0,20
sphere,d<=10,1000xD,FA,0,20
sphere,d<=10,1000xD,BA,0,20
sphere,d<=10,1000xD,ALO,0,20
