algo,status,total_top1_wins,total_top3_hits,P_PSO_top1,P_PSO_top1_p05,P_PSO_top1_p95,P_PSO_top3,P_PSO_top3_p05,P_PSO_top3_p95,P_PSO_shape_regret,P_PSO_shape_regret_p05,P_PSO_shape_regret_p95,P_PSO_shape_rank,P_PSO_shape_rank_p05,P_PSO_shape_rank_p95,P_PSO_shape_combined,P_PSO_shape_combined_p05,P_PSO_shape_combined_p95
PSO_STD,OK,14,130,0.98175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSO_CONSTR,OK,57,173,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GA,INSUFFICIENT,0,2,0.0525,0.0,1.0,0.04325,0.0,0.0,1.0,1.0,1.0,0.99975,1.0,1.0,0.999875,1.0,1.0
WOA,OK,7,91,0.818,0.0,1.0,0.99975,1.0,1.0,0.755,0.0,1.0,1.0,1.0,1.0,0.8775,0.5,1.0
PSO_RING,OK,69,190,0.99975,1.0,1.0,0.275,0.0,1.0,0.98825,1.0,1.0,0.68175,0.0,1.0,0.835,0.5,1.0
BA,INSUFFICIENT,0,1,0.53325,0.0,1.0,0.727,0.0,1.0,0.112,0.0,1.0,0.97225,1.0,1.0,0.542125,0.5,1.0
MFO,INSUFFICIENT,0,0,0.51625,0.0,1.0,0.68025,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5
GWO,OK,57,180,0.71575,0.0,1.0,0.951,1.0,1.0,0.008,0.0,0.0,0.57675,0.0,1.0,0.292375,0.0,0.5
ALO,OK,8,48,0.796,0.0,1.0,0.403,0.0,1.0,0.00075,0.0,0.0,0.38325,0.0,1.0,0.192,0.0,0.5
FA,OK,1,6,0.54025,0.0,1.0,0.4275,0.0,1.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.00025,0.0,0.0
DE,OK,40,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES_ML,OK,147,271,0.01,0.0,0.0,0.53475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
