algo,status,total_top1_wins,total_top3_hits,P_PSO_global,P_PSO_global_p05,P_PSO_global_p95,P_PSO_local,P_PSO_local_p05,P_PSO_local_p95,P_Evolution,P_Evolution_p05,P_Evolution_p95
PSO_CONSTR,OK,57,173,0.9999999999990357,0.9999999999989999,0.9999999999989999,6.373991999434572e-45,1.975437263038638e-129,1.5708405523993705e-66,3.9023132132983505e-30,8.414401725070328e-72,4.986258530434826e-37
PSO_RING,OK,69,190,1.9518947409597094e-52,1.2681911629308466e-160,1.0710741684047375e-75,0.9999999999990357,0.9999999999989999,0.9999999999989999,8.808287299151188e-35,3.273338392085879e-154,1.717254767572127e-58
PSO_STD,OK,14,130,0.9999984046123083,0.9999999999989999,0.9999999999989999,5.624789378672616e-12,4.502908104443161e-106,3.0654755660136907e-37,1.5953811021997412e-06,7.155092135173158e-50,1.1935973168509017e-19
WOA,OK,7,91,0.9744961760614396,0.9996370710385672,0.9999999999989999,0.010286837645469308,2.2569251446852056e-93,1.1508405605753944e-12,0.015216986292119877,8.078355073568408e-42,1.1326138456565796e-05
GWO,OK,57,180,0.980680410907106,0.9999998226022443,0.9999999999989999,2.5106672832603133e-05,1.3877346343584113e-126,4.056186002214345e-42,0.019294482419093213,1.2048644634749783e-49,1.2097952178293582e-07
BA,INSUFFICIENT,0,1,0.5039398661422768,7.010225580894839e-30,0.9999999999989999,0.0654913956382743,3.9774990908918e-100,0.9997719552857736,0.4305687382184577,6.487076339117383e-30,0.9999999999989999
GA,INSUFFICIENT,0,2,0.47434817631058046,6.17634740928122e-31,0.9999999999989999,0.07857220550387933,4.439324880680585e-99,0.9999993353776726,0.44707961818455033,9.007270551948702e-30,0.9999999999989999
MFO,INSUFFICIENT,0,0,0.4722618898397913,3.141326982469305e-33,0.9999999999989999,0.0754870362467087,1.2589409746349445e-101,0.9999909158679239,0.4522510739125109,1.979496553127129e-29,0.9999999999989999
ALO,OK,8,48,0.20002285829132985,3.604444776807953e-44,0.9999999999989171,0.292305461868984,2.1876447088125087e-60,0.9999999999989999,0.5076716798387012,2.60220507045024e-27,0.9999999999989999
FA,OK,1,6,0.35680419742692787,2.0428692289717608e-35,0.9999999999989999,0.07838817458123114,6.299082961544618e-98,0.9999981278546087,0.5648076279908539,3.813438709690956e-23,0.9999999999989999
DE,OK,40,108,0.0026338019695211824,1.501767371593483e-85,9.35059748743253e-23,0.26357639428456514,1.0838112026053743e-56,0.9999999999989999,0.7337898037449307,7.425453631266432e-20,0.9999999999989999
ES_ML,OK,147,271,0.03940262812299375,2.354162427868708e-53,0.02074843289244555,0.001955791369757873,5.4639577303413325e-86,3.1902666608879876e-19,0.9586415805062766,0.9653971693637168,0.9999999999989999
