algo,status,total_top1_wins,total_top3_hits,P_PSO_global,P_PSO_global_p05,P_PSO_global_p95,P_PSO_local,P_PSO_local_p05,P_PSO_local_p95,P_Evolution,P_Evolution_p05,P_Evolution_p95
PSO_CONSTR,OK,57,173,0.9999999999990357,0.9999999999989999,0.9999999999989999,2.702399738248106e-37,3.775886432049692e-94,1.3897487682129655e-52,1.1126600082446408e-31,1.019107255933342e-72,5.526981524206428e-39
PSO_RING,OK,69,190,1.9929914628040302e-43,1.804506895546019e-119,1.91598160839099e-61,0.9999999999990357,0.9999999999989999,0.9999999999989999,2.416508671797105e-30,2.7644548675690058e-114,3.439033308662444e-55
PSO_STD,OK,14,130,0.999999601902357,0.9999999999989999,0.9999999999989999,7.738664116990285e-12,4.9691414577490885e-78,1.1940554959534355e-29,3.9808893957550267e-07,3.155556914779136e-53,6.262618457079947e-21
GWO,OK,57,180,0.9646078596577768,0.9958707198006929,0.9999999999989999,0.001308559952734001,7.059764917212184e-87,1.2212436484839421e-27,0.03408358038851892,1.5955173667229562e-39,0.0032693800084612427
WOA,OK,7,91,0.9147702023888725,0.0012425318216408444,0.9999999999989999,0.013293113914789205,4.105044880915977e-67,3.9244059555107005e-08,0.07193668369536287,1.7939537014838796e-30,0.9707057639527882
ALO,OK,8,48,0.08218448820946003,2.9127289343234717e-38,0.9983232602731258,0.1742360118581125,1.3333291204974094e-39,0.9999999990900553,0.7435794999314508,3.766872078194502e-11,0.9999999999989999
DE,OK,40,108,2.441842094042417e-06,4.327879619837441e-73,3.122030669900239e-23,0.1984624536355858,1.3669392411187637e-42,0.9999999999959606,0.8015351045213422,3.039470897898467e-12,0.9999999999989999
GA,INSUFFICIENT,0,2,0.17828827470627465,9.528682571499257e-34,0.9999999996248482,0.017674724224717032,1.261992766873903e-69,7.221828790807473e-08,0.8040370010680293,1.294170793122858e-10,0.9999999999989999
BA,INSUFFICIENT,0,1,0.17772960179838618,7.448974157420068e-34,0.9999999998836857,0.014089210638954889,5.2034174053096376e-70,1.9083066209367885e-09,0.80818118756168,1.1531410810071409e-10,0.9999999999989999
MFO,INSUFFICIENT,0,0,0.15993944422956452,4.2275156989409975e-36,0.9999999991017916,0.01664085855779182,2.159060978170906e-69,6.196755025421646e-09,0.823419697211668,7.775445750411584e-10,0.9999999999989999
FA,OK,1,6,0.09777303534471334,1.0430026701251978e-37,0.9999502631057068,0.013059316659310144,1.0341556549110739e-68,5.157194563564068e-09,0.8891676479950025,2.3014399193634708e-05,0.9999999999989999
ES_ML,OK,147,271,0.03538376703884247,1.6432925896715006e-45,0.012227541309886127,0.0005885101464902586,1.5871474534442632e-61,6.092725929527318e-17,0.9640277228136965,0.9793293168228234,0.9999999999989999
