domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3,ES_1P1,200,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.145669017362882,2.1035618540662875,1.1488041976674208,3.401717536300066
cont,Ackley,3,ES_1P1,200,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.145669017362882,2.1035618540662875,1.1488041976674208,3.401717536300066
cont,Ackley,3,ES_1P1,200,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,2.145669017362882,2.1035618540662875,1.1488041976674208,3.401717536300066
cont,Ackley,3,ES_1P1,300,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.9645433043018253,0.6489626585377057,0.2794575963969419,3.2758870170482877
cont,Ackley,3,ES_1P1,300,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.9645433043018253,0.6489626585377057,0.2794575963969419,3.2758870170482877
cont,Ackley,3,ES_1P1,300,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.9645433043018253,0.6489626585377057,0.2794575963969419,3.2758870170482877
cont,Ackley,3,ES_1P1,500,easy,25,30,0.8125,0.690356484642353,0.9121855328567512,0.29128423738042647,0.05278158805523647,0.03140049497568187,2.323514358551304
cont,Ackley,3,ES_1P1,500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.29128423738042647,0.05278158805523647,0.03140049497568187,2.323514358551304
cont,Ackley,3,ES_1P1,500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.29128423738042647,0.05278158805523647,0.03140049497568187,2.323514358551304
cont,Ackley,3,ES_1P1,800,easy,27,30,0.875,0.7684970248566316,0.9546998269773581,0.20568976170953057,0.0024168719135997385,0.0009674491573901101,2.814369331749291
cont,Ackley,3,ES_1P1,800,med,27,30,0.875,0.7684970248566316,0.9546998269773581,0.20568976170953057,0.0024168719135997385,0.0009674491573901101,2.814369331749291
cont,Ackley,3,ES_1P1,800,hard,1,30,0.0625,0.011585315861443594,0.14409039131834475,0.20568976170953057,0.0024168719135997385,0.0009674491573901101,2.814369331749291
cont,Ackley,3,ES_1P1,1000,easy,22,30,0.71875,0.5823396662557391,0.8393889087436222,0.5394547530156059,0.0003515093250716639,9.019718503155971e-05,2.8143503558808587
cont,Ackley,3,ES_1P1,1000,med,22,30,0.71875,0.5823396662557391,0.8393889087436222,0.5394547530156059,0.0003515093250716639,9.019718503155971e-05,2.8143503558808587
cont,Ackley,3,ES_1P1,1000,hard,22,30,0.71875,0.5823396662557391,0.8393889087436222,0.5394547530156059,0.0003515093250716639,9.019718503155971e-05,2.8143503558808587
cont,Ackley,3,ES_1P1,1500,easy,26,30,0.84375,0.7286288184424853,0.9342195294539822,0.2584357863591631,2.1414670183794726e-06,7.279157263617719e-07,2.8143499807822754
