budget,target,view,algo,cluster,expected_group,anchor_PSO,anchor_ES
300,easy,ABS,GWO,1,PSO,GWO,ALO
300,easy,ABS,MFO,1,PSO,GWO,ALO
300,easy,ABS,WOA,1,PSO,GWO,ALO
300,easy,ABS,FA,1,PSO,GWO,ALO
300,easy,ABS,BA,1,PSO,GWO,ALO
300,easy,ABS,ALO,1,ES,GWO,ALO
300,easy,REL,GWO,1,PSO,GWO,ALO
300,easy,REL,MFO,1,PSO,GWO,ALO
300,easy,REL,WOA,1,PSO,GWO,ALO
300,easy,REL,FA,1,PSO,GWO,ALO
300,easy,REL,BA,1,PSO,GWO,ALO
300,easy,REL,ALO,1,ES,GWO,ALO
300,med,ABS,GWO,1,PSO,GWO,ALO
300,med,ABS,MFO,1,PSO,GWO,ALO
300,med,ABS,WOA,1,PSO,GWO,ALO
300,med,ABS,FA,1,PSO,GWO,ALO
300,med,ABS,BA,1,PSO,GWO,ALO
300,med,ABS,ALO,1,ES,GWO,ALO
300,med,REL,GWO,1,PSO,GWO,ALO
300,med,REL,MFO,1,PSO,GWO,ALO
300,med,REL,WOA,1,PSO,GWO,ALO
300,med,REL,FA,1,PSO,GWO,ALO
300,med,REL,BA,1,PSO,GWO,ALO
300,med,REL,ALO,1,ES,GWO,ALO
300,hard,ABS,GWO,2,PSO,MFO,ALO
300,hard,ABS,MFO,1,PSO,MFO,ALO
300,hard,ABS,WOA,1,PSO,MFO,ALO
300,hard,ABS,FA,1,PSO,MFO,ALO
300,hard,ABS,BA,1,PSO,MFO,ALO
300,hard,ABS,ALO,1,ES,MFO,ALO
300,hard,REL,GWO,2,PSO,MFO,ALO
300,hard,REL,MFO,1,PSO,MFO,ALO
300,hard,REL,WOA,1,PSO,MFO,ALO
300,hard,REL,FA,1,PSO,MFO,ALO
300,hard,REL,BA,1,PSO,MFO,ALO
300,hard,REL,ALO,1,ES,MFO,ALO
500,easy,ABS,GWO,1,PSO,GWO,ALO
500,easy,ABS,MFO,1,PSO,GWO,ALO
500,easy,ABS,WOA,1,PSO,GWO,ALO
500,easy,ABS,FA,1,PSO,GWO,ALO
500,easy,ABS,BA,1,PSO,GWO,ALO
500,easy,ABS,ALO,1,ES,GWO,ALO
500,easy,REL,GWO,1,PSO,GWO,ALO
500,easy,REL,MFO,1,PSO,GWO,ALO
500,easy,REL,WOA,1,PSO,GWO,ALO
500,easy,REL,FA,1,PSO,GWO,ALO
500,easy,REL,BA,1,PSO,GWO,ALO
500,easy,REL,ALO,1,ES,GWO,ALO
500,med,ABS,GWO,2,PSO,MFO,ALO
500,med,ABS,MFO,1,PSO,MFO,ALO
500,med,ABS,WOA,1,PSO,MFO,ALO
500,med,ABS,FA,1,PSO,MFO,ALO
500,med,ABS,BA,1,PSO,MFO,ALO
500,med,ABS,ALO,1,ES,MFO,ALO
500,med,REL,GWO,2,PSO,MFO,ALO
500,med,REL,MFO,1,PSO,MFO,ALO
500,med,REL,WOA,1,PSO,MFO,ALO
500,med,REL,FA,1,PSO,MFO,ALO
500,med,REL,BA,1,PSO,MFO,ALO
500,med,REL,ALO,1,ES,MFO,ALO
500,hard,ABS,GWO,2,PSO,MFO,ALO
500,hard,ABS,MFO,1,PSO,MFO,ALO
500,hard,ABS,WOA,1,PSO,MFO,ALO
500,hard,ABS,FA,1,PSO,MFO,ALO
500,hard,ABS,BA,1,PSO,MFO,ALO
500,hard,ABS,ALO,1,ES,MFO,ALO
500,hard,REL,GWO,2,PSO,MFO,ALO
500,hard,REL,MFO,1,PSO,MFO,ALO
500,hard,REL,WOA,1,PSO,MFO,ALO
500,hard,REL,FA,1,PSO,MFO,ALO
500,hard,REL,BA,1,PSO,MFO,ALO
500,hard,REL,ALO,1,ES,MFO,ALO
800,easy,ABS,GWO,2,PSO,MFO,ALO
800,easy,ABS,MFO,1,PSO,MFO,ALO
800,easy,ABS,WOA,1,PSO,MFO,ALO
800,easy,ABS,FA,1,PSO,MFO,ALO
800,easy,ABS,BA,1,PSO,MFO,ALO
800,easy,ABS,ALO,1,ES,MFO,ALO
800,easy,REL,GWO,2,PSO,MFO,ALO
800,easy,REL,MFO,1,PSO,MFO,ALO
800,easy,REL,WOA,1,PSO,MFO,ALO
800,easy,REL,FA,1,PSO,MFO,ALO
800,easy,REL,BA,1,PSO,MFO,ALO
800,easy,REL,ALO,1,ES,MFO,ALO
800,med,ABS,GWO,2,PSO,MFO,ALO
800,med,ABS,MFO,1,PSO,MFO,ALO
800,med,ABS,WOA,1,PSO,MFO,ALO
800,med,ABS,FA,1,PSO,MFO,ALO
800,med,ABS,BA,1,PSO,MFO,ALO
800,med,ABS,ALO,1,ES,MFO,ALO
800,med,REL,GWO,2,PSO,MFO,ALO
800,med,REL,MFO,1,PSO,MFO,ALO
800,med,REL,WOA,1,PSO,MFO,ALO
800,med,REL,FA,1,PSO,MFO,ALO
800,med,REL,BA,1,PSO,MFO,ALO
800,med,REL,ALO,1,ES,MFO,ALO
800,hard,ABS,GWO,2,PSO,MFO,ALO
800,hard,ABS,MFO,1,PSO,MFO,ALO
800,hard,ABS,WOA,1,PSO,MFO,ALO
800,hard,ABS,FA,1,PSO,MFO,ALO
800,hard,ABS,BA,1,PSO,MFO,ALO
800,hard,ABS,ALO,1,ES,MFO,ALO
800,hard,REL,GWO,2,PSO,MFO,ALO
800,hard,REL,MFO,1,PSO,MFO,ALO
800,hard,REL,WOA,1,PSO,MFO,ALO
800,hard,REL,FA,1,PSO,MFO,ALO
800,hard,REL,BA,1,PSO,MFO,ALO
800,hard,REL,ALO,1,ES,MFO,ALO
1000,easy,ABS,GWO,2,PSO,MFO,ALO
1000,easy,ABS,MFO,1,PSO,MFO,ALO
1000,easy,ABS,WOA,1,PSO,MFO,ALO
1000,easy,ABS,FA,1,PSO,MFO,ALO
1000,easy,ABS,BA,1,PSO,MFO,ALO
1000,easy,ABS,ALO,1,ES,MFO,ALO
1000,easy,REL,GWO,2,PSO,MFO,ALO
1000,easy,REL,MFO,1,PSO,MFO,ALO
1000,easy,REL,WOA,1,PSO,MFO,ALO
1000,easy,REL,FA,1,PSO,MFO,ALO
1000,easy,REL,BA,1,PSO,MFO,ALO
1000,easy,REL,ALO,1,ES,MFO,ALO
1000,med,ABS,GWO,2,PSO,MFO,ALO
1000,med,ABS,MFO,1,PSO,MFO,ALO
1000,med,ABS,WOA,1,PSO,MFO,ALO
1000,med,ABS,FA,1,PSO,MFO,ALO
1000,med,ABS,BA,1,PSO,MFO,ALO
1000,med,ABS,ALO,1,ES,MFO,ALO
1000,med,REL,GWO,2,PSO,MFO,ALO
1000,med,REL,MFO,1,PSO,MFO,ALO
1000,med,REL,WOA,1,PSO,MFO,ALO
1000,med,REL,FA,1,PSO,MFO,ALO
1000,med,REL,BA,1,PSO,MFO,ALO
1000,med,REL,ALO,1,ES,MFO,ALO
1000,hard,ABS,GWO,2,PSO,MFO,ALO
1000,hard,ABS,MFO,1,PSO,MFO,ALO
1000,hard,ABS,WOA,1,PSO,MFO,ALO
1000,hard,ABS,FA,1,PSO,MFO,ALO
1000,hard,ABS,BA,1,PSO,MFO,ALO
1000,hard,ABS,ALO,1,ES,MFO,ALO
1000,hard,REL,GWO,2,PSO,MFO,ALO
1000,hard,REL,MFO,1,PSO,MFO,ALO
1000,hard,REL,WOA,1,PSO,MFO,ALO
1000,hard,REL,FA,1,PSO,MFO,ALO
1000,hard,REL,BA,1,PSO,MFO,ALO
1000,hard,REL,ALO,1,ES,MFO,ALO
