CONT  budget=300    target=easy top5: ALO=0.083, BA=0.083, FA=0.083, GWO=0.083, MFO=0.083
CONT  budget=300    target=med  top5: ALO=0.083, BA=0.083, FA=0.083, GWO=0.083, MFO=0.083
CONT  budget=300    target=hard top5: GWO=0.102, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=500    target=easy top5: ALO=0.083, BA=0.083, FA=0.083, GWO=0.083, MFO=0.083
CONT  budget=500    target=med  top5: GWO=0.090, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=500    target=hard top5: GWO=0.162, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=800    target=easy top5: GWO=0.084, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=800    target=med  top5: GWO=0.121, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=800    target=hard top5: GWO=0.212, WOA=0.092, ALO=0.083, BA=0.083, FA=0.083
CONT  budget=1000   target=easy top5: GWO=0.087, ALO=0.083, BA=0.083, FA=0.083, MFO=0.083
CONT  budget=1000   target=med  top5: GWO=0.133, WOA=0.084, ALO=0.083, BA=0.083, FA=0.083
CONT  budget=1000   target=hard top5: GWO=0.233, WOA=0.119, ALO=0.083, BA=0.083, FA=0.083
