algo_variant,target,budget,fitness_score,fitness_lo,fitness_hi
ALO,easy,300,0.02817976062035477,0.016935953559977644,0.041052318660853945
ALO,easy,500,0.03376012103490166,0.02167145357098306,0.046471535560144765
ALO,easy,800,0.030111485037040128,0.01628183277286971,0.04594869957597747
ALO,easy,1000,0.04083147882723618,0.023601202393722293,0.06042384447826366
ALO,easy,2000,0.07546511453499061,0.05661198139125498,0.09491090868716853
ALO,easy,5000,0.18048425252649425,0.1551352578649286,0.20739361222563513
ALO,easy,10000,0.36891045187909477,0.34796079044997946,0.38915842651476773
ALO,hard,300,0.02817976062035477,0.016935953559977644,0.041052318660853945
ALO,hard,500,0.03376012103490166,0.02167145357098306,0.046471535560144765
ALO,hard,800,0.030111485037040128,0.01628183277286971,0.04594869957597747
ALO,hard,1000,0.04083147882723618,0.023601202393722293,0.06042384447826366
ALO,hard,2000,0.07546511453499061,0.05661198139125498,0.09491090868716853
ALO,hard,5000,0.18048425252649425,0.1551352578649286,0.20739361222563513
ALO,hard,10000,0.36891045187909477,0.34796079044997946,0.38915842651476773
ALO,med,300,0.02817976062035477,0.016935953559977644,0.041052318660853945
ALO,med,500,0.03376012103490166,0.02167145357098306,0.046471535560144765
ALO,med,800,0.030111485037040128,0.01628183277286971,0.04594869957597747
ALO,med,1000,0.04083147882723618,0.023601202393722293,0.06042384447826366
ALO,med,2000,0.07546511453499061,0.05661198139125498,0.09491090868716853
ALO,med,5000,0.18048425252649425,0.1551352578649286,0.20739361222563513
ALO,med,10000,0.36891045187909477,0.34796079044997946,0.38915842651476773
BA,easy,300,0.08731964932411822,0.06198586368577324,0.11330746286554305
BA,easy,500,0.08758763245608239,0.06384235235557499,0.11300609425042418
BA,easy,800,0.12653384718635075,0.09952514472687676,0.1540138344042092
BA,easy,1000,0.13655807169082104,0.11283192816525635,0.1617385441776563
BA,easy,2000,0.25064612589494006,0.22400923774427936,0.27602626211654585
BA,easy,5000,0.4509645791088229,0.43210123475577983,0.46841817867782504
BA,easy,10000,0.5745429798122381,0.5544949227585294,0.5948866136929863
BA,hard,300,0.08731964932411822,0.06198586368577324,0.11330746286554305
BA,hard,500,0.08758763245608239,0.06384235235557499,0.11300609425042418
BA,hard,800,0.12653384718635075,0.09952514472687676,0.1540138344042092
BA,hard,1000,0.13655807169082104,0.11283192816525635,0.1617385441776563
BA,hard,2000,0.25064612589494006,0.22400923774427936,0.27602626211654585
BA,hard,5000,0.4509645791088229,0.43210123475577983,0.46841817867782504
BA,hard,10000,0.5745429798122381,0.5544949227585294,0.5948866136929863
BA,med,300,0.08731964932411822,0.06198586368577324,0.11330746286554305
BA,med,500,0.08758763245608239,0.06384235235557499,0.11300609425042418
BA,med,800,0.12653384718635075,0.09952514472687676,0.1540138344042092
BA,med,1000,0.13655807169082104,0.11283192816525635,0.1617385441776563
BA,med,2000,0.25064612589494006,0.22400923774427936,0.27602626211654585
BA,med,5000,0.4509645791088229,0.43210123475577983,0.46841817867782504
BA,med,10000,0.5745429798122381,0.5544949227585294,0.5948866136929863
ES_1P1,easy,300,0.7745225153702952,0.7593637176294749,0.78908829148665
ES_1P1,easy,500,0.8949624892810929,0.8798502332158961,0.9103246897835308
ES_1P1,easy,800,0.8994560827219027,0.8813876716849566,0.9159749342757773
ES_1P1,easy,1000,0.8909169025546456,0.8754907018043105,0.9068302395326575
ES_1P1,easy,2000,0.9034143487916566,0.8861849436892187,0.9197952488996282
ES_1P1,easy,5000,0.9004578858237766,0.8834671183338031,0.9156809251351978
ES_1P1,easy,10000,0.8990243150035027,0.88234251748183,0.9160726572946085
ES_1P1,hard,300,0.7745225153702952,0.7593637176294749,0.78908829148665
ES_1P1,hard,500,0.8949624892810929,0.8798502332158961,0.9103246897835308
ES_1P1,hard,800,0.8994560827219027,0.8813876716849566,0.9159749342757773
ES_1P1,hard,1000,0.8909169025546456,0.8754907018043105,0.9068302395326575
ES_1P1,hard,2000,0.9034143487916566,0.8861849436892187,0.9197952488996282
ES_1P1,hard,5000,0.9004578858237766,0.8834671183338031,0.9156809251351978
ES_1P1,hard,10000,0.8990243150035027,0.88234251748183,0.9160726572946085
ES_1P1,med,300,0.7745225153702952,0.7593637176294749,0.78908829148665
ES_1P1,med,500,0.8949624892810929,0.8798502332158961,0.9103246897835308
ES_1P1,med,800,0.8994560827219027,0.8813876716849566,0.9159749342757773
ES_1P1,med,1000,0.8909169025546456,0.8754907018043105,0.9068302395326575
ES_1P1,med,2000,0.9034143487916566,0.8861849436892187,0.9197952488996282
ES_1P1,med,5000,0.9004578858237766,0.8834671183338031,0.9156809251351978
ES_1P1,med,10000,0.8990243150035027,0.88234251748183,0.9160726572946085
FA,easy,300,0.09923210181950373,0.07692294450217019,0.122636755497901
FA,easy,500,0.1664745926583906,0.1391568732618954,0.194545243140118
FA,easy,800,0.22888687797542887,0.2111740539032908,0.2452517309004896
FA,easy,1000,0.265409761565745,0.2514940303707803,0.27889960795713425
FA,easy,2000,0.34499173620837326,0.3334511300392725,0.3562080895852528
FA,easy,5000,0.4207821548260626,0.4094947832535243,0.432426100462693
FA,easy,10000,0.48391238400349773,0.47446655530630516,0.4938537593015997
FA,hard,300,0.09923210181950373,0.07692294450217019,0.122636755497901
FA,hard,500,0.1664745926583906,0.1391568732618954,0.194545243140118
FA,hard,800,0.22888687797542887,0.2111740539032908,0.2452517309004896
FA,hard,1000,0.265409761565745,0.2514940303707803,0.27889960795713425
FA,hard,2000,0.34499173620837326,0.3334511300392725,0.3562080895852528
FA,hard,5000,0.4207821548260626,0.4094947832535243,0.432426100462693
FA,hard,10000,0.48391238400349773,0.47446655530630516,0.4938537593015997
FA,med,300,0.09923210181950373,0.07692294450217019,0.122636755497901
FA,med,500,0.1664745926583906,0.1391568732618954,0.194545243140118
FA,med,800,0.22888687797542887,0.2111740539032908,0.2452517309004896
FA,med,1000,0.265409761565745,0.2514940303707803,0.27889960795713425
FA,med,2000,0.34499173620837326,0.3334511300392725,0.3562080895852528
FA,med,5000,0.4207821548260626,0.4094947832535243,0.432426100462693
FA,med,10000,0.48391238400349773,0.47446655530630516,0.4938537593015997
GWO,easy,300,0.7809741097033147,0.7709615509205886,0.7905503732904816
GWO,easy,500,0.8910869595914295,0.879855808965934,0.9022241872962047
GWO,easy,800,0.945686583130551,0.9377689001876571,0.9532333019097714
GWO,easy,1000,0.9672961376593677,0.9594705032008801,0.9751246514279964
GWO,easy,2000,0.978653817155458,0.9721084945057217,0.9846972289483517
GWO,easy,5000,0.9792757774860147,0.9726603586219686,0.9856737268796445
GWO,easy,10000,0.9598101184770108,0.9507795697216377,0.9684329428773003
GWO,hard,300,0.7809741097033147,0.7709615509205886,0.7905503732904816
GWO,hard,500,0.8910869595914295,0.879855808965934,0.9022241872962047
GWO,hard,800,0.945686583130551,0.9377689001876571,0.9532333019097714
GWO,hard,1000,0.9672961376593677,0.9594705032008801,0.9751246514279964
GWO,hard,2000,0.978653817155458,0.9721084945057217,0.9846972289483517
GWO,hard,5000,0.9792757774860147,0.9726603586219686,0.9856737268796445
GWO,hard,10000,0.9598101184770108,0.9507795697216377,0.9684329428773003
GWO,med,300,0.7809741097033147,0.7709615509205886,0.7905503732904816
GWO,med,500,0.8910869595914295,0.879855808965934,0.9022241872962047
GWO,med,800,0.945686583130551,0.9377689001876571,0.9532333019097714
GWO,med,1000,0.9672961376593677,0.9594705032008801,0.9751246514279964
GWO,med,2000,0.978653817155458,0.9721084945057217,0.9846972289483517
GWO,med,5000,0.9792757774860147,0.9726603586219686,0.9856737268796445
GWO,med,10000,0.9598101184770108,0.9507795697216377,0.9684329428773003
MFO,easy,300,0.3581781039078663,0.34091262604064937,0.37489198857073197
MFO,easy,500,0.4917456361908083,0.4758398375670957,0.5069741962112599
MFO,easy,800,0.5706620589021656,0.5557399534591286,0.5849977953901772
MFO,easy,1000,0.6063169303317519,0.5925328371660299,0.6203127322104268
MFO,easy,2000,0.662989394251677,0.6529677487597697,0.6730224114435553
MFO,easy,5000,0.7498537920355465,0.7370676466857431,0.7625943209797763
MFO,easy,10000,0.7859957687554437,0.7749755032555109,0.7967757016587459
MFO,hard,300,0.3581781039078663,0.34091262604064937,0.37489198857073197
MFO,hard,500,0.4917456361908083,0.4758398375670957,0.5069741962112599
MFO,hard,800,0.5706620589021656,0.5557399534591286,0.5849977953901772
MFO,hard,1000,0.6063169303317519,0.5925328371660299,0.6203127322104268
MFO,hard,2000,0.662989394251677,0.6529677487597697,0.6730224114435553
MFO,hard,5000,0.7498537920355465,0.7370676466857431,0.7625943209797763
MFO,hard,10000,0.7859957687554437,0.7749755032555109,0.7967757016587459
MFO,med,300,0.3581781039078663,0.34091262604064937,0.37489198857073197
MFO,med,500,0.4917456361908083,0.4758398375670957,0.5069741962112599
MFO,med,800,0.5706620589021656,0.5557399534591286,0.5849977953901772
MFO,med,1000,0.6063169303317519,0.5925328371660299,0.6203127322104268
MFO,med,2000,0.662989394251677,0.6529677487597697,0.6730224114435553
MFO,med,5000,0.7498537920355465,0.7370676466857431,0.7625943209797763
MFO,med,10000,0.7859957687554437,0.7749755032555109,0.7967757016587459
PSO_GBEST,easy,300,0.5576532863457373,0.5458031275473025,0.5696412907284004
PSO_GBEST,easy,500,0.6801226879387289,0.6700733931479418,0.689602380487506
PSO_GBEST,easy,800,0.8054490805868852,0.794827501218819,0.8154184457046968
PSO_GBEST,easy,1000,0.8449299695223442,0.8333505696251554,0.8556983177637999
PSO_GBEST,easy,2000,0.9627506928691001,0.9577710344158628,0.9676981392731987
PSO_GBEST,easy,5000,0.9918404355853159,0.9876030627507312,0.9956865426278974
PSO_GBEST,easy,10000,0.9928268408241325,0.987882489870384,0.9971274909215817
PSO_GBEST,hard,300,0.5576532863457373,0.5458031275473025,0.5696412907284004
PSO_GBEST,hard,500,0.6801226879387289,0.6700733931479418,0.689602380487506
PSO_GBEST,hard,800,0.8054490805868852,0.794827501218819,0.8154184457046968
PSO_GBEST,hard,1000,0.8449299695223442,0.8333505696251554,0.8556983177637999
PSO_GBEST,hard,2000,0.9627506928691001,0.9577710344158628,0.9676981392731987
PSO_GBEST,hard,5000,0.9918404355853159,0.9876030627507312,0.9956865426278974
PSO_GBEST,hard,10000,0.9928268408241325,0.987882489870384,0.9971274909215817
PSO_GBEST,med,300,0.5576532863457373,0.5458031275473025,0.5696412907284004
PSO_GBEST,med,500,0.6801226879387289,0.6700733931479418,0.689602380487506
PSO_GBEST,med,800,0.8054490805868852,0.794827501218819,0.8154184457046968
PSO_GBEST,med,1000,0.8449299695223442,0.8333505696251554,0.8556983177637999
PSO_GBEST,med,2000,0.9627506928691001,0.9577710344158628,0.9676981392731987
PSO_GBEST,med,5000,0.9918404355853159,0.9876030627507312,0.9956865426278974
PSO_GBEST,med,10000,0.9928268408241325,0.987882489870384,0.9971274909215817
WOA,easy,300,0.49370007868942417,0.478807462643869,0.5085931566173775
WOA,easy,500,0.6522180785052089,0.6376142138506341,0.6669061737862215
WOA,easy,800,0.7577499991222149,0.7441622417212002,0.7701965875842427
WOA,easy,1000,0.7976372727780192,0.7865793851224742,0.8086916015124036
WOA,easy,2000,0.8550503565244689,0.8429591210708894,0.8661507769774877
WOA,easy,5000,0.8696170687374908,0.8564115525146505,0.8816763821700508
WOA,easy,10000,0.8904205302121969,0.8785549024196345,0.9008321387039683
WOA,hard,300,0.49370007868942417,0.478807462643869,0.5085931566173775
WOA,hard,500,0.6522180785052089,0.6376142138506341,0.6669061737862215
WOA,hard,800,0.7577499991222149,0.7441622417212002,0.7701965875842427
WOA,hard,1000,0.7976372727780192,0.7865793851224742,0.8086916015124036
WOA,hard,2000,0.8550503565244689,0.8429591210708894,0.8661507769774877
WOA,hard,5000,0.8696170687374908,0.8564115525146505,0.8816763821700508
WOA,hard,10000,0.8904205302121969,0.8785549024196345,0.9008321387039683
WOA,med,300,0.49370007868942417,0.478807462643869,0.5085931566173775
WOA,med,500,0.6522180785052089,0.6376142138506341,0.6669061737862215
WOA,med,800,0.7577499991222149,0.7441622417212002,0.7701965875842427
WOA,med,1000,0.7976372727780192,0.7865793851224742,0.8086916015124036
WOA,med,2000,0.8550503565244689,0.8429591210708894,0.8661507769774877
WOA,med,5000,0.8696170687374908,0.8564115525146505,0.8816763821700508
WOA,med,10000,0.8904205302121969,0.8785549024196345,0.9008321387039683
