domain,problem,instance_id,shift_seed,algo_variant,budget,rep,seed,evals,best
cont,Rosenbrock,10,2490010,GWO,300,0,915555600000000,300,49.835028959695705
cont,Rosenbrock,10,2490010,GWO,300,1,915883281000000,300,78.71797361092506
cont,Rosenbrock,10,2490010,GWO,300,2,916210962000000,300,150.2280109347854
cont,Rosenbrock,10,2490010,GWO,300,3,916538643000000,300,667.4778212066038
cont,Rosenbrock,10,2490010,GWO,300,4,916866324000000,300,43.30212655767412
cont,Rosenbrock,10,2490010,GWO,300,5,917194005000000,300,158.64425198530725
cont,Rosenbrock,10,2490010,GWO,300,6,917521686000000,300,89.66533634995263
cont,Rosenbrock,10,2490010,GWO,300,7,917849367000000,300,69.40666943096363
cont,Rosenbrock,10,2490010,GWO,300,8,918177048000000,300,134.93879716069998
cont,Rosenbrock,10,2490010,GWO,300,9,918504729000000,300,79.72894801307879
cont,Rosenbrock,10,2490010,GWO,500,0,916735250000000,480,49.88510738396807
cont,Rosenbrock,10,2490010,GWO,500,1,917062931000000,480,89.06179837742829
cont,Rosenbrock,10,2490010,GWO,500,2,917390612000000,480,17.6904235999868
cont,Rosenbrock,10,2490010,GWO,500,3,917718293000000,480,113.826716868886
cont,Rosenbrock,10,2490010,GWO,500,4,918045974000000,480,347.262898359294
cont,Rosenbrock,10,2490010,GWO,500,5,918373655000000,480,54.863235191532524
cont,Rosenbrock,10,2490010,GWO,500,6,918701336000000,480,154.71234863302612
cont,Rosenbrock,10,2490010,GWO,500,7,919029017000000,480,11.578107583007464
cont,Rosenbrock,10,2490010,GWO,500,8,919356698000000,480,254.8911030186153
cont,Rosenbrock,10,2490010,GWO,500,9,919684379000000,480,53.850404749250444
cont,Rosenbrock,10,2490010,GWO,800,0,918504725000000,780,38.275673988383225
cont,Rosenbrock,10,2490010,GWO,800,1,918832406000000,780,57.5853992746001
cont,Rosenbrock,10,2490010,GWO,800,2,919160087000000,780,11.81815103296758
cont,Rosenbrock,10,2490010,GWO,800,3,919487768000000,780,12.378533937383398
cont,Rosenbrock,10,2490010,GWO,800,4,919815449000000,780,20.67005416883621
cont,Rosenbrock,10,2490010,GWO,800,5,920143130000000,780,50.166323023811145
cont,Rosenbrock,10,2490010,GWO,800,6,920470811000000,780,18.110963764696674
cont,Rosenbrock,10,2490010,GWO,800,7,920798492000000,780,160.97946636792588
cont,Rosenbrock,10,2490010,GWO,800,8,921126173000000,780,88.55868967225412
cont,Rosenbrock,10,2490010,GWO,800,9,921453854000000,780,94.41532525214114
cont,Rosenbrock,10,2490010,GWO,1000,0,158366526000000,990,19.528895753331078
cont,Rosenbrock,10,2490010,GWO,1000,1,158694207000000,990,52.02541975274221
cont,Rosenbrock,10,2490010,GWO,1000,2,159021888000000,990,29.522811620904932
cont,Rosenbrock,10,2490010,GWO,1000,3,159349569000000,990,64.628741505748
cont,Rosenbrock,10,2490010,GWO,1000,4,159677250000000,990,44.581744400394356
cont,Rosenbrock,10,2490010,GWO,1000,5,160004931000000,990,85.9782073128432
cont,Rosenbrock,10,2490010,GWO,1000,6,160332612000000,990,37.16996191617108
cont,Rosenbrock,10,2490010,GWO,1000,7,160660293000000,990,62.231746302742856
cont,Rosenbrock,10,2490010,GWO,1000,8,160987974000000,990,78.01346366010081
cont,Rosenbrock,10,2490010,GWO,1000,9,161315655000000,990,17.372409756323968
cont,Rosenbrock,10,2490010,GWO,2000,0,159021887000000,1980,656.0109187625145
cont,Rosenbrock,10,2490010,GWO,2000,1,159349568000000,1980,46.896293906173455
