algo_u,algo_v,dist_mean,dist_p95,epsilon,similar_95
ES_1P1,GWO,0.5283659064012114,0.5936947936709043,0.2992914691851713,False
PSO_GBEST,WOA,0.7870460981106456,0.8352097368830979,0.2992914691851713,False
BA,FA,0.7492223476859347,0.847226626148484,0.2992914691851713,False
GWO,PSO_GBEST,1.1621208355937127,1.2122709116432981,0.2992914691851713,False
ES_1P1,PSO_GBEST,1.197165876740686,1.247314940684999,0.2992914691851713,False
ES_1P1,WOA,1.3432284568071136,1.3930445174204502,0.2992914691851713,False
MFO,WOA,1.3448292402587956,1.403374313264925,0.2992914691851713,False
ALO,BA,1.511437745212353,1.612636623886517,0.2992914691851713,False
GWO,WOA,1.573768196660248,1.6364337161776714,0.2992914691851713,False
ALO,FA,1.631759696808244,1.702016573411407,0.2992914691851713,False
MFO,PSO_GBEST,2.0527828639205126,2.1028479185939424,0.2992914691851713,False
ES_1P1,MFO,2.5123456311109154,2.5765101566680033,0.2992914691851713,False
FA,MFO,2.8022800028123522,2.9025567000716115,0.2992914691851713,False
GWO,MFO,2.8538636952467478,2.9163248159548623,0.2992914691851713,False
BA,MFO,3.077038874515622,3.152903357012653,0.2992914691851713,False
FA,WOA,4.124981926091804,4.207830397823728,0.2992914691851713,False
ALO,MFO,4.377285087205296,4.431545875116009,0.2992914691851713,False
BA,WOA,4.415862982578396,4.506235265507693,0.2992914691851713,False
FA,PSO_GBEST,4.843405212506944,4.922913288545193,0.2992914691851713,False
BA,PSO_GBEST,5.088673052808051,5.175504736624912,0.2992914691851713,False
ES_1P1,FA,5.172747147000212,5.2560811333113415,0.2992914691851713,False
BA,ES_1P1,5.492142838343713,5.582532986445192,0.2992914691851713,False
FA,GWO,5.579565848589078,5.665921249175653,0.2992914691851713,False
ALO,WOA,5.699529192954112,5.749154987862281,0.2992914691851713,False
BA,GWO,5.884363432325861,5.9727408975922875,0.2992914691851713,False
ALO,PSO_GBEST,6.4193861949539475,6.46030583533286,0.2992914691851713,False
ALO,ES_1P1,6.68314882788388,6.7346533999787,0.2992914691851713,False
ALO,GWO,7.114112378661743,7.161969323021392,0.2992914691851713,False
