segment,segment_budgets,algo_variant,label,p_PSO,p_ES,p_FLAT
0,"300,500,800",ALO,FLAT,0.0,0.0,1.0
0,"300,500,800",BA,FLAT,0.0,0.0,1.0
0,"300,500,800",ES_1P1,ES,0.0,1.0,0.0
0,"300,500,800",FA,FLAT,0.0,0.0,1.0
0,"300,500,800",GWO,PSO,1.0,0.0,0.0
0,"300,500,800",MFO,FLAT,0.0,0.0,1.0
0,"300,500,800",PSO_GBEST,PSO,1.0,0.0,0.0
0,"300,500,800",WOA,PSO,0.877,0.0,0.123
1,"1000,2000",ALO,FLAT,0.0,0.0,1.0
1,"1000,2000",BA,FLAT,0.0,0.0,1.0
1,"1000,2000",ES_1P1,ES,0.0,1.0,0.0
1,"1000,2000",FA,FLAT,0.0,0.0,1.0
1,"1000,2000",GWO,PSO,1.0,0.0,0.0
1,"1000,2000",MFO,FLAT,0.0,0.0,1.0
1,"1000,2000",PSO_GBEST,PSO,1.0,0.0,0.0
1,"1000,2000",WOA,PSO,1.0,0.0,0.0
2,"5000,10000",ALO,FLAT,0.0,0.0,1.0
2,"5000,10000",BA,FLAT,0.0,0.0,1.0
2,"5000,10000",ES_1P1,ES,0.0,1.0,0.0
2,"5000,10000",FA,FLAT,0.0,0.0,1.0
2,"5000,10000",GWO,ES,0.0,1.0,0.0
2,"5000,10000",MFO,FLAT,0.0,0.324,0.676
2,"5000,10000",PSO_GBEST,PSO,1.0,0.0,0.0
2,"5000,10000",WOA,ES,0.0,1.0,0.0
