domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,300,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.018700437749058718,0.018117625018983917,0.005746451088191153,0.03440896085188601
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,300,med,2,10,0.25,0.07882004566602895,0.47008679927917624,0.018700437749058718,0.018117625018983917,0.005746451088191153,0.03440896085188601
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,300,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,0.018700437749058718,0.018117625018983917,0.005746451088191153,0.03440896085188601
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,500,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.0004765630360578997,0.0004443185436090643,0.00015188846046350872,0.0012630146607346964
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,500,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.0004765630360578997,0.0004443185436090643,0.00015188846046350872,0.0012630146607346964
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,500,hard,9,10,0.8333333333333334,0.6356405107527575,0.9666807823157701,0.0004765630360578997,0.0004443185436090643,0.00015188846046350872,0.0012630146607346964
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,800,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,1.4710765863960203e-06,1.2367912518080164e-06,3.9734171597149757e-07,2.825522753463171e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,800,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,1.4710765863960203e-06,1.2367912518080164e-06,3.9734171597149757e-07,2.825522753463171e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,800,hard,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,1.4710765863960203e-06,1.2367912518080164e-06,3.9734171597149757e-07,2.825522753463171e-06
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,1000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,2.1397500898927887e-08,1.931562861174853e-08,1.2225672470635743e-08,3.944316946939755e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,1000,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,2.1397500898927887e-08,1.931562861174853e-08,1.2225672470635743e-08,3.944316946939755e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,1000,hard,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,2.1397500898927887e-08,1.931562861174853e-08,1.2225672470635743e-08,3.944316946939755e-08
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,2000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,5.656200528827232e-16,1.2535465692258185e-16,3.339816342212501e-17,4.665820006616732e-15
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,2000,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,5.656200528827232e-16,1.2535465692258185e-16,3.339816342212501e-17,4.665820006616732e-15
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,2000,hard,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,5.656200528827232e-16,1.2535465692258185e-16,3.339816342212501e-17,4.665820006616732e-15
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,5000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,8.372983431482233e-26,7.974070603933163e-26,3.738887686982599e-26,1.1856305511379017e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,5000,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,8.372983431482233e-26,7.974070603933163e-26,3.738887686982599e-26,1.1856305511379017e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,5000,hard,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,8.372983431482233e-26,7.974070603933163e-26,3.738887686982599e-26,1.1856305511379017e-25
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,10000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,6.833259624180412e-26,6.831858727930597e-26,3.515524233593461e-26,8.695177487842457e-26
cont,Interp_Sphere_Rastrigin_lam0.00,0,ES_1P1,10000,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,6.833259624180412e-26,6.831858727930597e-26,3.515524233593461e-26,8.695177487842457e-26
