domain,problem,instance_id,lambda,algo_variant,budget,rep,seed,evals,best
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,0,462836467000000,300,0.20010061384214659
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,1,463164148000000,300,0.369039942541114
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,2,463491829000000,300,0.37143599998706917
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,3,463819510000000,300,0.2538902225398392
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,4,464147191000000,300,0.4371533485492794
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,5,464474872000000,300,0.4667022618474398
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,6,464802553000000,300,0.16192357194369292
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,7,465130234000000,300,0.26409049341247653
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,8,465457915000000,300,0.22272731153312583
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,300,9,465785596000000,300,0.560253637672668
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,0,464016117000000,480,0.19299368216494067
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,1,464343798000000,480,0.23511717514622063
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,2,464671479000000,480,0.20215959675435724
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,3,464999160000000,480,0.0496289624089044
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,4,465326841000000,480,0.08507846953560233
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,5,465654522000000,480,0.16210666750009411
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,6,465982203000000,480,0.19151418572898582
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,7,466309884000000,480,0.1992680496760731
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,8,466637565000000,480,0.12758739680017694
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,500,9,466965246000000,480,0.10388204179403289
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,0,465785592000000,780,0.02226387181052435
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,1,466113273000000,780,0.01872410148074921
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,2,466440954000000,780,0.1257852091201807
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,3,466768635000000,780,0.0378902214387316
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,4,467096316000000,780,0.01101791729918094
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,5,467423997000000,780,0.03683021403567341
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,6,467751678000000,780,0.10341422391527019
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,7,468079359000000,780,0.01243173008871897
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,8,468407040000000,780,0.03622704300082267
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,800,9,468734721000000,780,0.014875097671086615
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,0,938627873000000,990,0.00548557647672303
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,1,938955554000000,990,0.013496863437576875
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,2,939283235000000,990,0.28563724452237954
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,3,939610916000000,990,0.010587624364963046
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,4,939938597000000,990,0.02234822230914058
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,5,940266278000000,990,0.2614982781984289
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,6,940593959000000,990,0.01465143589669949
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,7,940921640000000,990,0.011918870318008557
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,8,941249321000000,990,0.012269718794988805
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,1000,9,941577002000000,990,0.004049514908520426
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,0,939283234000000,1980,0.00034358762125427986
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,1,939610915000000,1980,4.032406020427086e-05
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,2,939938596000000,1980,8.66365421118016e-05
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,3,940266277000000,1980,0.0013075885822375847
