domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3,ALO,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.642586829418219
cont,Ackley,3,ALO,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.642586829418219
cont,Ackley,3,ALO,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.642586829418219
cont,Ackley,3,ALO,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3,ALO,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3,ALO,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3,ALO,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3,ALO,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3,ALO,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3,ALO,10000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.437419533301564,6.4209536172878305,4.3006796637204765,7.999176778872167
cont,Ackley,3,ALO,10000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.437419533301564,6.4209536172878305,4.3006796637204765,7.999176778872167
cont,Ackley,3,ALO,10000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.437419533301564,6.4209536172878305,4.3006796637204765,7.999176778872167
cont,Ackley,3,BA,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.893711723484774,7.1412312150825015,4.684322197806608,8.455190635167005
cont,Ackley,3,BA,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.893711723484774,7.1412312150825015,4.684322197806608,8.455190635167005
cont,Ackley,3,BA,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.893711723484774,7.1412312150825015,4.684322197806608,8.455190635167005
cont,Ackley,3,BA,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.099003668050202,6.303959217350124,3.580175951404382,7.961673743264839
cont,Ackley,3,BA,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.099003668050202,6.303959217350124,3.580175951404382,7.961673743264839
cont,Ackley,3,BA,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.099003668050202,6.303959217350124,3.580175951404382,7.961673743264839
