domain,problem,instance_id,shift_seed,algo_variant,budget,rep,seed,evals,best
cont,Ackley,3,3780003,ALO,12000,0,276070210000000,12000,5.414389640754777
cont,Ackley,3,3780003,ALO,12000,1,276463427000000,12000,6.0386406531279455
cont,Ackley,3,3780003,ALO,12000,2,276856644000000,12000,5.9621499847193355
cont,Ackley,3,3780003,ALO,12000,3,277249861000000,12000,6.171398223450339
cont,Ackley,3,3780003,ALO,12000,4,277643078000000,12000,5.869535215768931
cont,Ackley,3,3780003,ALO,12000,5,278036295000000,12000,6.744796793710302
cont,Ackley,3,3780003,ALO,12000,6,278429512000000,12000,6.9013884204195115
cont,Ackley,3,3780003,ALO,12000,7,278822729000000,12000,5.0742282004353925
cont,Ackley,3,3780003,ALO,12000,8,279215946000000,12000,6.344051346532364
cont,Ackley,3,3780003,ALO,12000,9,279609163000000,12000,5.978298309710951
cont,Ackley,3,3780003,ALO,12000,10,597720947000000,12000,7.620077727800318
cont,Ackley,3,3780003,ALO,12000,11,598114164000000,12000,5.608721251617151
cont,Ackley,3,3780003,ALO,12000,12,598507381000000,12000,4.884101942387613
cont,Ackley,3,3780003,ALO,12000,13,598900598000000,12000,5.38169853627123
cont,Ackley,3,3780003,ALO,12000,14,599293815000000,12000,6.779789411236116
cont,Ackley,3,3780003,ALO,12000,15,599687032000000,12000,6.319029649965469
cont,Ackley,3,3780003,ALO,12000,16,600080249000000,12000,7.215067153366441
cont,Ackley,3,3780003,ALO,12000,17,600473466000000,12000,7.564916194696547
cont,Ackley,3,3780003,ALO,12000,18,600866683000000,12000,6.430285224327594
cont,Ackley,3,3780003,ALO,12000,19,601259900000000,12000,6.219608353386619
cont,Ackley,3,3780003,ALO,12000,20,598179700000000,12000,4.720557865113779
cont,Ackley,3,3780003,ALO,12000,21,598572917000000,12000,6.299280984469476
cont,Ackley,3,3780003,ALO,12000,22,598966134000000,12000,6.759322874770998
cont,Ackley,3,3780003,ALO,12000,23,599359351000000,12000,6.56208787475266
cont,Ackley,3,3780003,ALO,12000,24,599752568000000,12000,6.452021586010151
cont,Ackley,3,3780003,ALO,12000,25,600145785000000,12000,4.871133529301417
cont,Ackley,3,3780003,ALO,12000,26,600539002000000,12000,5.365960821051029
cont,Ackley,3,3780003,ALO,12000,27,600932219000000,12000,7.055238842202517
cont,Ackley,3,3780003,ALO,12000,28,601325436000000,12000,5.328955631927705
cont,Ackley,3,3780003,ALO,12000,29,601718653000000,12000,6.380178734283586
cont,Ackley,3,3780003,ALO,15000,0,278232901000000,15000,6.280111201446612
cont,Ackley,3,3780003,ALO,15000,1,278626118000000,15000,6.866824136169267
cont,Ackley,3,3780003,ALO,15000,2,279019335000000,15000,6.943985740046129
cont,Ackley,3,3780003,ALO,15000,3,279412552000000,15000,5.091860319351184
cont,Ackley,3,3780003,ALO,15000,4,279805769000000,15000,6.423037625507057
cont,Ackley,3,3780003,ALO,15000,5,280198986000000,15000,5.978266437773623
cont,Ackley,3,3780003,ALO,15000,6,280592203000000,15000,6.756619554899656
cont,Ackley,3,3780003,ALO,15000,7,280985420000000,15000,6.559537575425537
cont,Ackley,3,3780003,ALO,15000,8,281378637000000,15000,6.351848448557874
cont,Ackley,3,3780003,ALO,15000,9,281771854000000,15000,4.19836932504068
cont,Ackley,3,3780003,ALO,15000,10,600080246000000,15000,5.381781502372178
cont,Ackley,3,3780003,ALO,15000,11,600473463000000,15000,4.546721877265373
cont,Ackley,3,3780003,ALO,15000,12,600866680000000,15000,6.322117522926362
cont,Ackley,3,3780003,ALO,15000,13,601259897000000,15000,5.898702477858553
cont,Ackley,3,3780003,ALO,15000,14,601653114000000,15000,6.559606306105447
cont,Ackley,3,3780003,ALO,15000,15,602046331000000,15000,4.883950544096148
cont,Ackley,3,3780003,ALO,15000,16,602439548000000,15000,7.241100891228827
cont,Ackley,3,3780003,ALO,15000,17,602832765000000,15000,5.1912073522610775
cont,Ackley,3,3780003,ALO,15000,18,603225982000000,15000,5.381698485807476
cont,Ackley,3,3780003,ALO,15000,19,603619199000000,15000,5.562479591022562
cont,Ackley,3,3780003,ALO,15000,20,600538999000000,15000,6.491399772660621
cont,Ackley,3,3780003,ALO,15000,21,600932216000000,15000,5.978298208147262
cont,Ackley,3,3780003,ALO,15000,22,601325433000000,15000,4.884101870336142
cont,Ackley,3,3780003,ALO,15000,23,601718650000000,15000,4.789937896648027
cont,Ackley,3,3780003,ALO,15000,24,602111867000000,15000,5.562479621744689
cont,Ackley,3,3780003,ALO,15000,25,602505084000000,15000,6.283538166191853
cont,Ackley,3,3780003,ALO,15000,26,602898301000000,15000,5.734535910054326
cont,Ackley,3,3780003,ALO,15000,27,603291518000000,15000,6.8375207532018205
cont,Ackley,3,3780003,ALO,15000,28,603684735000000,15000,4.662243941342204
cont,Ackley,3,3780003,ALO,15000,29,604077952000000,15000,4.475313550048053
cont,Ackley,3,3780003,BA,12000,0,426200666000000,12000,5.473321151212367
cont,Ackley,3,3780003,BA,12000,1,426593883000000,12000,5.6495480275468495
cont,Ackley,3,3780003,BA,12000,2,426987100000000,12000,4.298445895640786
cont,Ackley,3,3780003,BA,12000,3,427380317000000,12000,5.817601428636674
cont,Ackley,3,3780003,BA,12000,4,427773534000000,12000,5.562486178000199
cont,Ackley,3,3780003,BA,12000,5,428166751000000,12000,6.422350518832818
cont,Ackley,3,3780003,BA,12000,6,428559968000000,12000,4.298450199525632
cont,Ackley,3,3780003,BA,12000,7,428953185000000,12000,4.88399597574379
cont,Ackley,3,3780003,BA,12000,8,429346402000000,12000,5.473248640345094
cont,Ackley,3,3780003,BA,12000,9,429739619000000,12000,7.511673961546791
cont,Ackley,3,3780003,BA,12000,10,833310347000000,12000,4.167038790991519
cont,Ackley,3,3780003,BA,12000,11,833703564000000,12000,6.820092169745921
cont,Ackley,3,3780003,BA,12000,12,834096781000000,12000,5.978173357323435
cont,Ackley,3,3780003,BA,12000,13,834489998000000,12000,7.511639121650431
cont,Ackley,3,3780003,BA,12000,14,834883215000000,12000,6.280051991528392
cont,Ackley,3,3780003,BA,12000,15,835276432000000,12000,4.167127588271406
cont,Ackley,3,3780003,BA,12000,16,835669649000000,12000,6.351853453433581
cont,Ackley,3,3780003,BA,12000,17,836062866000000,12000,5.8176041583036024
cont,Ackley,3,3780003,BA,12000,18,836456083000000,12000,5.473371676140516
cont,Ackley,3,3780003,BA,12000,19,836849300000000,12000,8.008718365535334
cont,Ackley,3,3780003,BA,12000,20,833769100000000,12000,6.882619904058666
cont,Ackley,3,3780003,BA,12000,21,834162317000000,12000,5.898848931487041
cont,Ackley,3,3780003,BA,12000,22,834555534000000,12000,6.882534384926686
cont,Ackley,3,3780003,BA,12000,23,834948751000000,12000,4.8841075237237455
cont,Ackley,3,3780003,BA,12000,24,835341968000000,12000,6.132157397138155
cont,Ackley,3,3780003,BA,12000,25,835735185000000,12000,5.473323260558402
cont,Ackley,3,3780003,BA,12000,26,836128402000000,12000,4.989515870771498
cont,Ackley,3,3780003,BA,12000,27,836521619000000,12000,5.191239782369866
cont,Ackley,3,3780003,BA,12000,28,836914836000000,12000,5.898806992646268
cont,Ackley,3,3780003,BA,12000,29,837308053000000,12000,6.132238688880236
cont,Ackley,3,3780003,BA,15000,0,428363357000000,15000,7.667292825665816
cont,Ackley,3,3780003,BA,15000,1,428756574000000,15000,6.055968165916443
cont,Ackley,3,3780003,BA,15000,2,429149791000000,15000,5.091866192746185
cont,Ackley,3,3780003,BA,15000,3,429543008000000,15000,7.004546249327463
cont,Ackley,3,3780003,BA,15000,4,429936225000000,15000,4.662448978795194
cont,Ackley,3,3780003,BA,15000,5,430329442000000,15000,6.132129846163664
cont,Ackley,3,3780003,BA,15000,6,430722659000000,15000,6.055927648068806
cont,Ackley,3,3780003,BA,15000,7,431115876000000,15000,5.2875152464793125
cont,Ackley,3,3780003,BA,15000,8,431509093000000,15000,6.756560386874158
cont,Ackley,3,3780003,BA,15000,9,431902310000000,15000,6.692006875448218
cont,Ackley,3,3780003,BA,15000,10,835669646000000,15000,3.574244384411323
cont,Ackley,3,3780003,BA,15000,11,836062863000000,15000,7.767835634755123
cont,Ackley,3,3780003,BA,15000,12,836456080000000,15000,3.4041634286640066
cont,Ackley,3,3780003,BA,15000,13,836849297000000,15000,5.381701576554843
cont,Ackley,3,3780003,BA,15000,14,837242514000000,15000,5.649531814012388
cont,Ackley,3,3780003,BA,15000,15,837635731000000,15000,4.5454527757560825
cont,Ackley,3,3780003,BA,15000,16,838028948000000,15000,6.491581036249247
cont,Ackley,3,3780003,BA,15000,17,838422165000000,15000,7.767831700099361
cont,Ackley,3,3780003,BA,15000,18,838815382000000,15000,7.180930031557384
cont,Ackley,3,3780003,BA,15000,19,839208599000000,15000,3.2223893474955365
cont,Ackley,3,3780003,BA,15000,20,836128399000000,15000,4.774948413250776
cont,Ackley,3,3780003,BA,15000,21,836521616000000,15000,6.756565250107585
cont,Ackley,3,3780003,BA,15000,22,836914833000000,15000,4.8841070087947465
cont,Ackley,3,3780003,BA,15000,23,837308050000000,15000,6.882620198288041
