algo,rung,score,seconds,params_json,pop,sigma0
ES_1P1,rung1,1.5761176577122527,1.005425214767456,"{""pop"": 49, ""sigma0"": 0.06089650753099327}",49,0.06089650753099327
ES_1P1,rung1,1.552323771593166,1.0333890914916992,"{""pop"": 10, ""sigma0"": 0.06252942353113106}",10,0.06252942353113106
ES_1P1,rung1,0.7986502401784445,1.0202040672302246,"{""pop"": 24, ""sigma0"": 0.00275255456915135}",24,0.00275255456915135
ES_1P1,rung1,1.6197181558787266,1.016197919845581,"{""pop"": 34, ""sigma0"": 0.3876412440361495}",34,0.3876412440361495
ES_1P1,rung1,1.7018543641546642,1.014599323272705,"{""pop"": 31, ""sigma0"": 0.23404906153173893}",31,0.23404906153173893
ES_1P1,rung1,1.6617218543592913,1.0157833099365234,"{""pop"": 26, ""sigma0"": 0.22220866248725754}",26,0.22220866248725754
ES_1P1,rung1,1.6810054884112562,1.0211288928985596,"{""pop"": 28, ""sigma0"": 0.8080264626013103}",28,0.8080264626013103
ES_1P1,rung1,0.7290833401486709,0.9991719722747803,"{""pop"": 52, ""sigma0"": 0.0015097826599839803}",52,0.0015097826599839803
ES_1P1,rung1,0.958550986810949,1.0042715072631836,"{""pop"": 43, ""sigma0"": 0.007007576497959239}",43,0.007007576497959239
ES_1P1,rung1,1.345894192409922,1.023927927017212,"{""pop"": 19, ""sigma0"": 0.02133473595244745}",19,0.02133473595244745
ES_1P1,rung1,1.4428811945518234,0.9934759140014648,"{""pop"": 58, ""sigma0"": 2.1612553514263735}",58,2.1612553514263735
ES_1P1,rung1,1.5989490201079293,1.012995958328247,"{""pop"": 23, ""sigma0"": 0.06774802422975114}",23,0.06774802422975114
ES_1P1,rung1,1.3734932436997593,1.0095221996307373,"{""pop"": 40, ""sigma0"": 0.028847920061738048}",40,0.028847920061738048
ES_1P1,rung1,0.9912541146857026,1.015214443206787,"{""pop"": 24, ""sigma0"": 0.008080129335321241}",24,0.008080129335321241
ES_1P1,rung1,1.022739150823691,1.0289292335510254,"{""pop"": 24, ""sigma0"": 0.007101325090124412}",24,0.007101325090124412
ES_1P1,rung1,0.8056149259094363,1.0034260749816895,"{""pop"": 53, ""sigma0"": 0.003135965344074931}",53,0.003135965344074931
ES_1P1,rung1,1.5614816620669913,0.9979336261749268,"{""pop"": 46, ""sigma0"": 0.039904621513287115}",46,0.039904621513287115
ES_1P1,rung1,0.9170892406877624,1.0024774074554443,"{""pop"": 53, ""sigma0"": 0.007484099269132688}",53,0.007484099269132688
ES_1P1,rung1,1.6731365009662091,1.0340545177459717,"{""pop"": 11, ""sigma0"": 0.890907775747297}",11,0.890907775747297
ES_1P1,rung1,1.6528914839420747,1.0070807933807373,"{""pop"": 54, ""sigma0"": 0.3423226968787563}",54,0.3423226968787563
ES_1P1,rung1,1.489318381468779,1.0243918895721436,"{""pop"": 11, ""sigma0"": 0.027308586498287227}",11,0.027308586498287227
