algo,rung,score,seconds,params_json,pop,a0
GWO,rung1,0.7730713268462992,2.1845571994781494,"{""a0"": 1.757188591931135, ""pop"": 34}",34,1.757188591931135
GWO,rung1,0.5612178700247866,1.9633104801177979,"{""a0"": 1.9456991936154142, ""pop"": 76}",76,1.9456991936154142
GWO,rung1,0.40976926010517223,1.9329233169555664,"{""a0"": 2.5002385267689657, ""pop"": 80}",80,2.5002385267689657
GWO,rung1,0.5176090813927241,1.9864075183868408,"{""a0"": 2.639145284665319, ""pop"": 72}",72,2.639145284665319
GWO,rung1,0.7103715966568779,2.2656681537628174,"{""a0"": 2.478275603098385, ""pop"": 23}",23,2.478275603098385
GWO,rung1,0.7249070649391129,2.1689045429229736,"{""a0"": 2.6485892489306475, ""pop"": 35}",35,2.6485892489306475
GWO,rung1,0.8305198193925882,2.2459418773651123,"{""a0"": 1.775432821187265, ""pop"": 30}",30,1.775432821187265
GWO,rung1,0.6340078500793515,2.084639549255371,"{""a0"": 2.829897960440241, ""pop"": 57}",57,2.829897960440241
GWO,rung1,0.5387304081865911,2.0292582511901855,"{""a0"": 2.8596837778943933, ""pop"": 69}",69,2.8596837778943933
GWO,rung1,0.7525473500837425,2.1451456546783447,"{""a0"": 1.911919582344399, ""pop"": 49}",49,1.911919582344399
GWO,rung1,0.5014031399231156,1.8996291160583496,"{""a0"": 2.086741445885359, ""pop"": 79}",79,2.086741445885359
GWO,rung1,0.7131756160577434,2.057471752166748,"{""a0"": 1.6737857946842518, ""pop"": 70}",70,1.6737857946842518
GWO,rung1,0.6993958793607418,2.187595844268799,"{""a0"": 1.768764328266909, ""pop"": 40}",40,1.768764328266909
GWO,rung1,0.7249457516062947,2.1672825813293457,"{""a0"": 2.7796228716533733, ""pop"": 41}",41,2.7796228716533733
GWO,rung1,0.6226718859191469,2.096989631652832,"{""a0"": 2.845578399753335, ""pop"": 57}",57,2.845578399753335
GWO,rung1,0.7660863132959846,2.0709352493286133,"{""a0"": 2.0651058931796755, ""pop"": 54}",54,2.0651058931796755
GWO,rung1,0.7063333758732632,2.156684398651123,"{""a0"": 2.546500427615085, ""pop"": 42}",42,2.546500427615085
GWO,rung1,0.6981103768738478,1.9884059429168701,"{""a0"": 1.7575383311619708, ""pop"": 72}",72,1.7575383311619708
GWO,rung1,0.663564015629063,2.0333495140075684,"{""a0"": 1.688300632624728, ""pop"": 69}",69,1.688300632624728
GWO,rung1,0.682346313873468,2.003370523452759,"{""a0"": 1.8300764453440623, ""pop"": 61}",61,1.8300764453440623
GWO,rung1,0.7766607325204765,2.1458609104156494,"{""a0"": 1.945532672172474, ""pop"": 49}",49,1.945532672172474
GWO,rung1,0.7122646071368546,2.1635091304779053,"{""a0"": 2.249228945048759, ""pop"": 34}",34,2.249228945048759
GWO,rung1,0.6920543017112099,2.144911766052246,"{""a0"": 2.600963825402879, ""pop"": 42}",42,2.600963825402879
GWO,rung1,0.6335725461295647,2.2478678226470947,"{""a0"": 1.6016745608922003, ""pop"": 22}",22,1.6016745608922003
GWO,rung1,0.8195724817428245,2.2381350994110107,"{""a0"": 2.161693658139761, ""pop"": 26}",26,2.161693658139761
GWO,rung1,0.6938751844731237,2.1102898120880127,"{""a0"": 2.207258324842896, ""pop"": 48}",48,2.207258324842896
GWO,rung1,0.701558072506262,2.0471622943878174,"{""a0"": 2.018975476252659, ""pop"": 56}",56,2.018975476252659
GWO,rung1,0.802178429635563,2.2154505252838135,"{""a0"": 1.6402939487236454, ""pop"": 29}",29,1.6402939487236454
GWO,rung1,0.6400341455386824,2.040249824523926,"{""a0"": 1.9765069818165415, ""pop"": 62}",62,1.9765069818165415
GWO,rung1,0.774902764621995,2.176961660385132,"{""a0"": 2.1480314021678018, ""pop"": 40}",40,2.1480314021678018
GWO,rung1,0.7641931877527757,2.204482316970825,"{""a0"": 2.3802044964991094, ""pop"": 31}",31,2.3802044964991094
GWO,rung1,0.5149039563058078,2.062891960144043,"{""a0"": 2.935252827816724, ""pop"": 75}",75,2.935252827816724
GWO,rung1,0.7092803960505302,2.114525556564331,"{""a0"": 2.345776233600468, ""pop"": 43}",43,2.345776233600468
GWO,rung1,0.6336238978005668,2.048633098602295,"{""a0"": 2.4194343118270574, ""pop"": 56}",56,2.4194343118270574
GWO,rung1,0.8066226500845217,2.2672886848449707,"{""a0"": 1.750290386977908, ""pop"": 27}",27,1.750290386977908
GWO,rung1,0.7896176274479754,2.1542670726776123,"{""a0"": 1.9643038113670237, ""pop"": 36}",36,1.9643038113670237
GWO,rung1,0.7525465483919109,1.986320972442627,"{""a0"": 1.5356004867545456, ""pop"": 72}",72,1.5356004867545456
GWO,rung1,0.7923614336404998,2.158902406692505,"{""a0"": 2.6497572331998316, ""pop"": 35}",35,2.6497572331998316
GWO,rung1,0.7587982549813244,2.2043511867523193,"{""a0"": 2.274606675615793, ""pop"": 32}",32,2.274606675615793
GWO,rung1,0.7641076601803217,2.233241319656372,"{""a0"": 2.0205785434522996, ""pop"": 24}",24,2.0205785434522996
GWO,rung1,0.7578805677237188,2.248330593109131,"{""a0"": 1.6585136654078223, ""pop"": 22}",22,1.6585136654078223
GWO,rung1,0.7685277566397233,2.1369988918304443,"{""a0"": 2.0163148735272998, ""pop"": 47}",47,2.0163148735272998
GWO,rung1,0.7541451298956973,2.216907262802124,"{""a0"": 2.643170069714546, ""pop"": 33}",33,2.643170069714546
GWO,rung1,0.6364908123370342,2.0826780796051025,"{""a0"": 2.291264737876056, ""pop"": 71}",71,2.291264737876056
GWO,rung1,0.6640392485686243,1.9760925769805908,"{""a0"": 1.6886042610503487, ""pop"": 67}",67,1.6886042610503487
GWO,rung1,0.8344337540349054,2.2092957496643066,"{""a0"": 1.5233873150119326, ""pop"": 31}",31,1.5233873150119326
GWO,rung1,0.7398841837398427,2.2468488216400146,"{""a0"": 2.800889646535737, ""pop"": 22}",22,2.800889646535737
GWO,rung1,0.7624689051394338,1.9851882457733154,"{""a0"": 1.735207674941673, ""pop"": 72}",72,1.735207674941673
GWO,rung1,0.6727214426718022,2.2451229095458984,"{""a0"": 1.5034993021484324, ""pop"": 22}",22,1.5034993021484324
GWO,rung1,0.430784520990279,1.9190866947174072,"{""a0"": 2.5754588683149393, ""pop"": 80}",80,2.5754588683149393
GWO,rung1,0.7909035816825754,2.155543565750122,"{""a0"": 1.6820122544525704, ""pop"": 36}",36,1.6820122544525704
GWO,rung1,0.7353159377587137,2.1445000171661377,"{""a0"": 1.9327350236913545, ""pop"": 38}",38,1.9327350236913545
GWO,rung1,0.7689460701601891,2.127293825149536,"{""a0"": 2.337257094309549, ""pop"": 45}",45,2.337257094309549
GWO,rung1,0.6712242339908191,2.2158918380737305,"{""a0"": 1.536349497356213, ""pop"": 29}",29,1.536349497356213
GWO,rung1,0.7226159389283032,2.088582754135132,"{""a0"": 1.609919365907962, ""pop"": 52}",52,1.609919365907962
GWO,rung1,0.7297482104174888,1.9639053344726562,"{""a0"": 1.722846931912124, ""pop"": 67}",67,1.722846931912124
GWO,rung1,0.5936604253429597,2.003912925720215,"{""a0"": 2.1887195495393836, ""pop"": 61}",61,2.1887195495393836
GWO,rung1,0.5629777622849537,1.8486018180847168,"{""a0"": 1.9570912948568848, ""pop"": 77}",77,1.9570912948568848
GWO,rung1,0.7324966304915277,2.1163763999938965,"{""a0"": 2.402629901568911, ""pop"": 43}",43,2.402629901568911
GWO,rung1,0.633184462787764,2.057485342025757,"{""a0"": 2.8590026073449906, ""pop"": 56}",56,2.8590026073449906
GWO,rung2,0.39697402888104716,14.803269386291504,"{""a0"": 1.5233873150119326, ""pop"": 31}",31,1.5233873150119326
GWO,rung2,0.4375049697449238,14.960560321807861,"{""a0"": 1.775432821187265, ""pop"": 30}",30,1.775432821187265
GWO,rung2,0.4716853773732315,14.981654405593872,"{""a0"": 2.161693658139761, ""pop"": 26}",26,2.161693658139761
GWO,rung2,0.4618793954646597,15.026617527008057,"{""a0"": 1.750290386977908, ""pop"": 27}",27,1.750290386977908
GWO,rung2,0.45932523633485234,14.893166542053223,"{""a0"": 1.6402939487236454, ""pop"": 29}",29,1.6402939487236454
GWO,rung2,0.42139024362802846,14.604574203491211,"{""a0"": 2.6497572331998316, ""pop"": 35}",35,2.6497572331998316
GWO,rung2,0.4334352090930378,14.520884990692139,"{""a0"": 1.6820122544525704, ""pop"": 36}",36,1.6820122544525704
GWO,rung2,0.47103733573408,14.669250726699829,"{""a0"": 1.9643038113670237, ""pop"": 36}",36,1.9643038113670237
GWO,rung2,0.4555580607768064,14.53095030784607,"{""a0"": 1.945532672172474, ""pop"": 49}",49,1.945532672172474
GWO,rung2,0.46013800822692086,14.935508489608765,"{""a0"": 2.1480314021678018, ""pop"": 40}",40,2.1480314021678018
GWO,rung2,0.4589993248823506,15.105993747711182,"{""a0"": 1.757188591931135, ""pop"": 34}",34,1.757188591931135
GWO,rung2,0.4333423954020231,14.425347089767456,"{""a0"": 2.337257094309549, ""pop"": 45}",45,2.337257094309549
GWO,rung2,0.4519970540079373,14.44996452331543,"{""a0"": 2.0163148735272998, ""pop"": 47}",47,2.0163148735272998
GWO,rung2,0.40265175974739753,13.922383069992065,"{""a0"": 2.0651058931796755, ""pop"": 54}",54,2.0651058931796755
GWO,rung2,0.4155910723493057,14.835078716278076,"{""a0"": 2.3802044964991094, ""pop"": 31}",31,2.3802044964991094
GWO,rung2,0.4645194142605469,15.005548238754272,"{""a0"": 2.0205785434522996, ""pop"": 24}",24,2.0205785434522996
GWO,rung2,0.3747957274713636,13.38542890548706,"{""a0"": 1.735207674941673, ""pop"": 72}",72,1.735207674941673
GWO,rung2,0.46060284978421984,14.904760122299194,"{""a0"": 2.274606675615793, ""pop"": 32}",32,2.274606675615793
GWO,rung2,0.35508378430017723,15.115344285964966,"{""a0"": 1.6585136654078223, ""pop"": 22}",22,1.6585136654078223
GWO,rung2,0.4341993091668037,14.898324489593506,"{""a0"": 2.643170069714546, ""pop"": 33}",33,2.643170069714546
