domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3,ALO,200,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.983885573975349,6.349346968384371,3.3462878225025716,8.055768866975235
cont,Ackley,3,ALO,200,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.983885573975349,6.349346968384371,3.3462878225025716,8.055768866975235
cont,Ackley,3,ALO,200,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.983885573975349,6.349346968384371,3.3462878225025716,8.055768866975235
cont,Ackley,3,ALO,300,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.257135767097376,6.466064887898696,4.3744210606429235,7.808332598725155
cont,Ackley,3,ALO,300,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.257135767097376,6.466064887898696,4.3744210606429235,7.808332598725155
cont,Ackley,3,ALO,300,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.257135767097376,6.466064887898696,4.3744210606429235,7.808332598725155
cont,Ackley,3,ALO,500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.174565403013984,6.3172033587662355,3.6554785882271585,8.900715768120433
cont,Ackley,3,ALO,500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.174565403013984,6.3172033587662355,3.6554785882271585,8.900715768120433
cont,Ackley,3,ALO,500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.174565403013984,6.3172033587662355,3.6554785882271585,8.900715768120433
cont,Ackley,3,ALO,800,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.937450525607707,6.002405465629577,4.377341524330998,7.813945559680359
cont,Ackley,3,ALO,800,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.937450525607707,6.002405465629577,4.377341524330998,7.813945559680359
cont,Ackley,3,ALO,800,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.937450525607707,6.002405465629577,4.377341524330998,7.813945559680359
cont,Ackley,3,ALO,1000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.944753269462482,5.873754817113786,4.317373667465372,7.525880008526457
cont,Ackley,3,ALO,1000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.944753269462482,5.873754817113786,4.317373667465372,7.525880008526457
cont,Ackley,3,ALO,1000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.944753269462482,5.873754817113786,4.317373667465372,7.525880008526457
cont,Ackley,3,ALO,1500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.898852711907867,5.9571088427537475,3.616058327882755,7.917960517844325
cont,Ackley,3,ALO,1500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.898852711907867,5.9571088427537475,3.616058327882755,7.917960517844325
cont,Ackley,3,ALO,1500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.898852711907867,5.9571088427537475,3.616058327882755,7.917960517844325
cont,Ackley,3,ALO,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.671481413425977,5.704863349020707,3.1047218743904748,7.22420542048722
cont,Ackley,3,ALO,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.671481413425977,5.704863349020707,3.1047218743904748,7.22420542048722
cont,Ackley,3,ALO,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.671481413425977,5.704863349020707,3.1047218743904748,7.22420542048722
cont,Ackley,3,ALO,3500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.963177908558358,4.911581022056499,3.2790759965602025,6.263652226561838
cont,Ackley,3,ALO,3500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.963177908558358,4.911581022056499,3.2790759965602025,6.263652226561838
