domain,problem,instance_id,shift_seed,algo_variant,budget,rep,seed,evals,best
cont,Ackley,3,3780003,ALO,200,0,652560609000000,180,4.626598627881872
cont,Ackley,3,3780003,ALO,200,1,652953826000000,180,6.435877835489855
cont,Ackley,3,3780003,ALO,200,2,653347043000000,180,7.083506784051282
cont,Ackley,3,3780003,ALO,200,3,653740260000000,180,6.3490678094589015
cont,Ackley,3,3780003,ALO,200,4,654133477000000,180,5.234457261629952
cont,Ackley,3,3780003,ALO,200,5,654526694000000,180,6.2939926228456855
cont,Ackley,3,3780003,ALO,200,6,654919911000000,180,7.992756745834402
cont,Ackley,3,3780003,ALO,200,7,655313128000000,180,5.882250745038103
cont,Ackley,3,3780003,ALO,200,8,655706345000000,180,3.467180917021832
cont,Ackley,3,3780003,ALO,200,9,656099562000000,180,4.793786774027598
cont,Ackley,3,3780003,ALO,200,10,967854354000000,180,7.137786822665557
cont,Ackley,3,3780003,ALO,200,11,968247571000000,180,5.245261074988875
cont,Ackley,3,3780003,ALO,200,12,968640788000000,180,6.544512165688449
cont,Ackley,3,3780003,ALO,200,13,969034005000000,180,4.448355931448209
cont,Ackley,3,3780003,ALO,200,14,969427222000000,180,5.26543789726281
cont,Ackley,3,3780003,ALO,200,15,969820439000000,180,5.288478029471911
cont,Ackley,3,3780003,ALO,200,16,970213656000000,180,6.522252072157869
cont,Ackley,3,3780003,ALO,200,17,970606873000000,180,6.848537577758188
cont,Ackley,3,3780003,ALO,200,18,971000090000000,180,6.574744721526201
cont,Ackley,3,3780003,ALO,200,19,971393307000000,180,7.185457585805857
cont,Ackley,3,3780003,ALO,200,20,968313107000000,180,6.34962612730984
cont,Ackley,3,3780003,ALO,200,21,968706324000000,180,8.055768866975235
cont,Ackley,3,3780003,ALO,200,22,969099541000000,180,6.9009249148069625
cont,Ackley,3,3780003,ALO,200,23,969492758000000,180,7.810249932202495
cont,Ackley,3,3780003,ALO,200,24,969885975000000,180,4.538098437671174
cont,Ackley,3,3780003,ALO,200,25,970279192000000,180,3.3462878225025716
cont,Ackley,3,3780003,ALO,200,26,970672409000000,180,4.167379375633885
cont,Ackley,3,3780003,ALO,200,27,971065626000000,180,5.615156207071351
cont,Ackley,3,3780003,ALO,200,28,971458843000000,180,6.435243838328539
cont,Ackley,3,3780003,ALO,200,29,971852060000000,180,7.077531694704977
cont,Ackley,3,3780003,ALO,300,0,653215970000000,300,6.018954159265089
cont,Ackley,3,3780003,ALO,300,1,653609187000000,300,5.2430965296463015
cont,Ackley,3,3780003,ALO,300,2,654002404000000,300,5.441082144973901
cont,Ackley,3,3780003,ALO,300,3,654395621000000,300,4.3744210606429235
cont,Ackley,3,3780003,ALO,300,4,654788838000000,300,5.265577191106118
cont,Ackley,3,3780003,ALO,300,5,655182055000000,300,6.253780365815221
cont,Ackley,3,3780003,ALO,300,6,655575272000000,300,7.074012819224157
cont,Ackley,3,3780003,ALO,300,7,655968489000000,300,6.3500975274839675
cont,Ackley,3,3780003,ALO,300,8,656361706000000,300,6.944281508297321
cont,Ackley,3,3780003,ALO,300,9,656754923000000,300,5.774052473022497
cont,Ackley,3,3780003,ALO,300,10,968575251000000,300,7.808332598725155
cont,Ackley,3,3780003,ALO,300,11,968968468000000,300,7.0405989122792025
cont,Ackley,3,3780003,ALO,300,12,969361685000000,300,6.900198521360343
cont,Ackley,3,3780003,ALO,300,13,969754902000000,300,4.91552412756792
cont,Ackley,3,3780003,ALO,300,14,970148119000000,300,6.972031973141782
cont,Ackley,3,3780003,ALO,300,15,970541336000000,300,6.031746051807783
cont,Ackley,3,3780003,ALO,300,16,970934553000000,300,6.946673099716056
cont,Ackley,3,3780003,ALO,300,17,971327770000000,300,7.105173792344871
cont,Ackley,3,3780003,ALO,300,18,971720987000000,300,7.110026709866721
cont,Ackley,3,3780003,ALO,300,19,972114204000000,300,6.718181763440985
cont,Ackley,3,3780003,ALO,300,20,969034004000000,300,7.093562732662129
cont,Ackley,3,3780003,ALO,300,21,969427221000000,300,6.732056313350434
cont,Ackley,3,3780003,ALO,300,22,969820438000000,300,6.64020245700792
cont,Ackley,3,3780003,ALO,300,23,970213655000000,300,6.582032248313425
cont,Ackley,3,3780003,ALO,300,24,970606872000000,300,4.469169552628415
cont,Ackley,3,3780003,ALO,300,25,971000089000000,300,6.215069915484857
cont,Ackley,3,3780003,ALO,300,26,971393306000000,300,7.004700441647383
cont,Ackley,3,3780003,ALO,300,27,971786523000000,300,5.98351675333112
cont,Ackley,3,3780003,ALO,300,28,972179740000000,300,4.808945470661659
cont,Ackley,3,3780003,ALO,300,29,972572957000000,300,5.89697379810562
cont,Ackley,3,3780003,ALO,500,0,654526692000000,480,5.936254401627661
cont,Ackley,3,3780003,ALO,500,1,654919909000000,480,5.876593373526447
cont,Ackley,3,3780003,ALO,500,2,655313126000000,480,6.7355278582955975
cont,Ackley,3,3780003,ALO,500,3,655706343000000,480,6.057254665583393
cont,Ackley,3,3780003,ALO,500,4,656099560000000,480,3.6554785882271585
cont,Ackley,3,3780003,ALO,500,5,656492777000000,480,4.81928767800888
cont,Ackley,3,3780003,ALO,500,6,656885994000000,480,7.578768372912579
cont,Ackley,3,3780003,ALO,500,7,657279211000000,480,6.472950642701221
cont,Ackley,3,3780003,ALO,500,8,657672428000000,480,6.830968940388281
cont,Ackley,3,3780003,ALO,500,9,658065645000000,480,5.951588659405218
cont,Ackley,3,3780003,ALO,500,10,970017045000000,480,4.531501180696168
cont,Ackley,3,3780003,ALO,500,11,970410262000000,480,6.230349693149062
cont,Ackley,3,3780003,ALO,500,12,970803479000000,480,6.6279399877188325
cont,Ackley,3,3780003,ALO,500,13,971196696000000,480,6.435811498532605
cont,Ackley,3,3780003,ALO,500,14,971589913000000,480,6.59148049350064
cont,Ackley,3,3780003,ALO,500,15,971983130000000,480,5.235439980333524
cont,Ackley,3,3780003,ALO,500,16,972376347000000,480,6.090029807784845
cont,Ackley,3,3780003,ALO,500,17,972769564000000,480,5.471620618190496
cont,Ackley,3,3780003,ALO,500,18,973162781000000,480,6.730360031711362
cont,Ackley,3,3780003,ALO,500,19,973555998000000,480,6.866729881934205
cont,Ackley,3,3780003,ALO,500,20,970475798000000,480,4.22610726621005
