algo_u,algo_v,dist_mean,dist_p95,epsilon,similar_95,similar_success_global,similar_success_PSO,similar_success_ES,similar_fitness_global,similar_fitness_PSO,similar_fitness_ES
ALO,FA,0.4883779285052113,0.5744033066237498,2.2170903864393106,True,True,True,True,True,True,True
BA,ES_MULAMBDA,2.2124295746275915,2.284925441342504,2.2170903864393106,False,True,True,True,True,False,True
BA,MFO,2.541538579107013,2.619045452408413,2.2170903864393106,False,True,True,True,True,False,True
ALO,BA,2.576933145503688,2.689891277130502,2.2170903864393106,False,True,True,True,True,False,True
BA,FA,2.7553877842284726,2.878666488193301,2.2170903864393106,False,True,True,True,True,False,True
ES_MULAMBDA,MFO,2.90483816114086,2.9781699432189943,2.2170903864393106,False,True,True,True,True,False,True
FA,MFO,3.0493700702750943,3.178389099897222,2.2170903864393106,False,True,True,True,True,False,True
ALO,MFO,3.211300134832553,3.3084416962895182,2.2170903864393106,False,True,True,True,True,False,True
ALO,ES_MULAMBDA,4.496344599024686,4.5857726241333046,2.2170903864393106,False,True,True,True,False,False,False
PSO_RING,WOA,4.375395223270655,4.650772813752466,2.2170903864393106,False,True,True,True,False,False,False
ES_MULAMBDA,FA,4.596213231673836,4.720822952694603,2.2170903864393106,False,True,True,True,False,False,False
GWO,WOA,5.101143957568523,5.4111278499412245,2.2170903864393106,False,True,True,True,False,False,False
PSO_GBEST,PSO_RING,5.541872659722475,5.635899444525599,2.2170903864393106,False,True,False,True,False,False,False
PSO_GBEST,WOA,5.734395058786994,5.904984622532045,2.2170903864393106,False,True,False,True,False,False,False
ES_MULAMBDA,WOA,7.349183718333358,7.536776615274054,2.2170903864393106,False,True,False,True,False,False,False
MFO,WOA,7.449304427136146,7.696353153334211,2.2170903864393106,False,True,False,True,False,False,False
GWO,MFO,7.328199614476548,7.931874135410459,2.2170903864393106,False,True,False,True,False,False,False
BA,WOA,8.176366949516893,8.3410833937591,2.2170903864393106,False,True,False,True,False,False,False
ES_MULAMBDA,GWO,7.994845955070222,8.42985252590793,2.2170903864393106,False,True,False,True,False,False,False
GWO,PSO_RING,8.491439102292695,8.91217871158746,2.2170903864393106,False,True,False,True,False,False,False
BA,GWO,8.483886200526367,8.951096125831286,2.2170903864393106,False,True,False,True,False,False,False
ES_1P1,PSO_GBEST,8.86836154575725,9.028347276582473,2.2170903864393106,False,True,False,True,False,False,False
ES_MULAMBDA,PSO_RING,9.350408171709368,9.438905409661103,2.2170903864393106,False,True,False,True,False,False,False
ES_1P1,WOA,9.34968095412774,9.60945275923313,2.2170903864393106,False,True,False,True,False,False,False
GWO,PSO_GBEST,9.380956922321747,9.81294754408512,2.2170903864393106,False,True,False,True,False,False,False
FA,GWO,9.294873846104904,9.875110611456446,2.2170903864393106,False,True,False,True,False,False,False
FA,WOA,9.75391100876257,9.93828186576548,2.2170903864393106,False,True,False,True,False,False,False
ALO,GWO,9.405086051409269,9.96602132933883,2.2170903864393106,False,True,False,True,False,False,False
ALO,WOA,9.801725120327395,9.981020540717711,2.2170903864393106,False,True,False,True,False,False,False
MFO,PSO_RING,10.008964936860634,10.116586496661894,2.2170903864393106,False,True,False,True,False,False,False
BA,PSO_RING,10.223171648920667,10.325971714159705,2.2170903864393106,False,True,False,True,False,False,False
ES_1P1,GWO,9.888026053313338,10.518181402006382,2.2170903864393106,False,True,False,True,False,False,False
ES_MULAMBDA,PSO_GBEST,10.772506337123133,10.85908665685476,2.2170903864393106,False,True,False,True,False,False,False
ES_1P1,PSO_RING,10.969336460518168,11.072576500793232,2.2170903864393106,False,True,False,True,False,False,False
MFO,PSO_GBEST,11.121707622283685,11.218129677129363,2.2170903864393106,False,True,False,True,False,False,False
BA,PSO_GBEST,11.571094201631624,11.669373662470123,2.2170903864393106,False,True,False,True,False,False,False
FA,PSO_RING,12.089394032646148,12.176081888886635,2.2170903864393106,False,True,False,True,False,False,False
ALO,PSO_RING,12.081398792134516,12.178701711851076,2.2170903864393106,False,True,False,True,False,False,False
FA,PSO_GBEST,13.115826017202776,13.208995190943908,2.2170903864393106,False,True,False,True,False,False,False
ALO,PSO_GBEST,13.132921684995074,13.231888709293644,2.2170903864393106,False,True,False,True,False,False,False
ES_1P1,ES_MULAMBDA,14.148722143606555,14.254036548080585,2.2170903864393106,False,False,False,False,False,False,False
ES_1P1,MFO,14.186155998876036,14.272440783884074,2.2170903864393106,False,False,False,False,False,False,False
BA,ES_1P1,14.703021742937976,14.822497901696764,2.2170903864393106,False,False,False,False,False,False,False
ES_1P1,FA,15.774452028176832,15.87851413828751,2.2170903864393106,False,False,False,False,False,False,False
ALO,ES_1P1,15.807623459751284,15.92071058131176,2.2170903864393106,False,False,False,False,False,False,False
