,ALO,BA,ES_1P1,ES_MULAMBDA,FA,GWO,MFO,PSO_GBEST,PSO_RING,WOA
ALO,0.0,2.576933145503688,15.807623459751285,4.496344599024686,0.48837792850521133,9.405086051409269,3.211300134832553,13.132921684995074,12.081398792134515,9.801725120327397
BA,2.576933145503688,0.0,14.703021742937976,2.2124295746275915,2.7553877842284726,8.483886200526367,2.541538579107013,11.571094201631624,10.223171648920667,8.176366949516893
ES_1P1,15.807623459751285,14.703021742937976,0.0,14.148722143606557,15.774452028176832,9.888026053313338,14.186155998876036,8.86836154575725,10.969336460518168,9.349680954127741
ES_MULAMBDA,4.496344599024686,2.2124295746275915,14.148722143606557,0.0,4.596213231673836,7.994845955070222,2.90483816114086,10.772506337123131,9.350408171709368,7.349183718333358
FA,0.48837792850521133,2.7553877842284726,15.774452028176832,4.596213231673836,0.0,9.294873846104903,3.0493700702750943,13.115826017202776,12.089394032646148,9.75391100876257
GWO,9.405086051409269,8.483886200526367,9.888026053313338,7.994845955070222,9.294873846104903,0.0,7.328199614476548,9.380956922321747,8.491439102292695,5.101143957568523
MFO,3.211300134832553,2.541538579107013,14.186155998876036,2.90483816114086,3.0493700702750943,7.328199614476548,0.0,11.121707622283685,10.008964936860634,7.449304427136146
PSO_GBEST,13.132921684995074,11.571094201631624,8.86836154575725,10.772506337123131,13.115826017202776,9.380956922321747,11.121707622283685,0.0,5.541872659722475,5.734395058786994
PSO_RING,12.081398792134515,10.223171648920667,10.969336460518168,9.350408171709368,12.089394032646148,8.491439102292695,10.008964936860634,5.541872659722475,0.0,4.375395223270655
WOA,9.801725120327397,8.176366949516893,9.349680954127741,7.349183718333358,9.75391100876257,5.101143957568523,7.449304427136146,5.734395058786994,4.375395223270655,0.0
