algo_u,algo_v,dist_mean,dist_p95,epsilon,similar_95
ALO,FA,0.48837792850521133,0.5744033066237498,2.2170903864393106,True
BA,ES_MULAMBDA,2.2124295746275915,2.2849254413425037,2.2170903864393106,False
BA,MFO,2.541538579107013,2.619045452408413,2.2170903864393106,False
ALO,BA,2.576933145503688,2.689891277130502,2.2170903864393106,False
BA,FA,2.7553877842284726,2.878666488193301,2.2170903864393106,False
ES_MULAMBDA,MFO,2.90483816114086,2.9781699432189943,2.2170903864393106,False
FA,MFO,3.0493700702750943,3.1783890998972226,2.2170903864393106,False
ALO,MFO,3.211300134832553,3.3084416962895182,2.2170903864393106,False
ALO,ES_MULAMBDA,4.496344599024686,4.5857726241333046,2.2170903864393106,False
PSO_RING,WOA,4.375395223270655,4.650772813752466,2.2170903864393106,False
ES_MULAMBDA,FA,4.596213231673836,4.720822952694603,2.2170903864393106,False
GWO,WOA,5.101143957568523,5.4111278499412245,2.2170903864393106,False
PSO_GBEST,PSO_RING,5.541872659722475,5.635899444525599,2.2170903864393106,False
PSO_GBEST,WOA,5.734395058786994,5.904984622532045,2.2170903864393106,False
ES_MULAMBDA,WOA,7.349183718333358,7.536776615274054,2.2170903864393106,False
MFO,WOA,7.449304427136146,7.696353153334211,2.2170903864393106,False
GWO,MFO,7.328199614476548,7.931874135410459,2.2170903864393106,False
BA,WOA,8.176366949516893,8.3410833937591,2.2170903864393106,False
ES_MULAMBDA,GWO,7.994845955070222,8.42985252590793,2.2170903864393106,False
GWO,PSO_RING,8.491439102292695,8.91217871158746,2.2170903864393106,False
BA,GWO,8.483886200526367,8.951096125831286,2.2170903864393106,False
ES_1P1,PSO_GBEST,8.86836154575725,9.028347276582473,2.2170903864393106,False
ES_MULAMBDA,PSO_RING,9.350408171709368,9.438905409661105,2.2170903864393106,False
ES_1P1,WOA,9.349680954127741,9.60945275923313,2.2170903864393106,False
GWO,PSO_GBEST,9.380956922321747,9.812947544085121,2.2170903864393106,False
FA,GWO,9.294873846104903,9.875110611456446,2.2170903864393106,False
FA,WOA,9.75391100876257,9.93828186576548,2.2170903864393106,False
ALO,GWO,9.405086051409269,9.96602132933883,2.2170903864393106,False
ALO,WOA,9.801725120327397,9.981020540717711,2.2170903864393106,False
MFO,PSO_RING,10.008964936860634,10.116586496661894,2.2170903864393106,False
BA,PSO_RING,10.223171648920667,10.325971714159703,2.2170903864393106,False
ES_1P1,GWO,9.888026053313338,10.518181402006382,2.2170903864393106,False
ES_MULAMBDA,PSO_GBEST,10.772506337123131,10.859086656854759,2.2170903864393106,False
ES_1P1,PSO_RING,10.969336460518168,11.072576500793232,2.2170903864393106,False
MFO,PSO_GBEST,11.121707622283685,11.218129677129365,2.2170903864393106,False
BA,PSO_GBEST,11.571094201631624,11.669373662470125,2.2170903864393106,False
FA,PSO_RING,12.089394032646148,12.176081888886635,2.2170903864393106,False
ALO,PSO_RING,12.081398792134515,12.178701711851076,2.2170903864393106,False
FA,PSO_GBEST,13.115826017202776,13.208995190943908,2.2170903864393106,False
ALO,PSO_GBEST,13.132921684995074,13.231888709293644,2.2170903864393106,False
ES_1P1,ES_MULAMBDA,14.148722143606557,14.254036548080583,2.2170903864393106,False
ES_1P1,MFO,14.186155998876036,14.272440783884074,2.2170903864393106,False
BA,ES_1P1,14.703021742937976,14.822497901696764,2.2170903864393106,False
ES_1P1,FA,15.774452028176832,15.87851413828751,2.2170903864393106,False
ALO,ES_1P1,15.807623459751285,15.920710581311761,2.2170903864393106,False
