instance_id,problem,domain,algo,budget,target,successes,trials,succ_rate,beta_mean,beta_p04,beta_p95,mean_best,median_best
knapsack01_n20_cap114_i007,knapsack01,bin,GA,2000,0.0,12,30,0.4,0.40625,0.26562297632331866,0.5468770236766813,5.8,5.0
knapsack01_n20_cap114_i007,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,40.733333333333334,39.0
knapsack01_n20_cap114_i007,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,105.63333333333334,105.0
knapsack01_n20_cap114_i009,knapsack01,bin,GA,2000,0.0,16,30,0.5333333333333333,0.53125,0.38836376306873477,0.6741362369312652,3.0,0.0
knapsack01_n20_cap114_i009,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,26.9,27.0
knapsack01_n20_cap114_i009,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,83.16666666666667,81.5
knapsack01_n20_cap84_i011,knapsack01,bin,GA,2000,0.0,10,30,0.3333333333333333,0.34375,0.2077539487494936,0.4797460512505064,11.766666666666667,14.0
knapsack01_n20_cap84_i011,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,40.4,40.5
knapsack01_n20_cap84_i011,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,104.13333333333334,105.0
knapsack01_n30_cap159_i005,knapsack01,bin,GA,2000,0.0,5,30,0.16666666666666666,0.1875,0.0757409741174901,0.2992590258825099,8.166666666666666,7.5
knapsack01_n30_cap159_i005,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,76.36666666666666,77.5
knapsack01_n30_cap159_i005,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,171.96666666666667,177.0
knapsack01_n30_cap162_i003,knapsack01,bin,GA,2000,0.0,4,30,0.13333333333333333,0.15625,0.05228499165035805,0.26021500834964195,12.633333333333333,12.0
knapsack01_n30_cap162_i003,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,85.8,87.5
knapsack01_n30_cap162_i003,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,170.3,156.0
knapsack01_n40_cap195_i019,knapsack01,bin,GA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,19.733333333333334,19.5
knapsack01_n40_cap195_i019,knapsack01,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,157.96666666666667,163.5
knapsack01_n40_cap195_i019,knapsack01,bin,SA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,306.9,314.5
knapsack01_n40_cap199_i001,knapsack01,bin,GA,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,21.866666666666667,19.0
