instance_id,domain,problem,budget,target,threshold,q,calib_reps
bin_onemax_000,bin,onemax,300,easy,53.0,0.5,10
bin_onemax_000,bin,onemax,300,med,53.75,0.75,10
bin_onemax_000,bin,onemax,300,hard,55.1,0.9,10
bin_onemax_000,bin,onemax,800,easy,54.5,0.5,10
bin_onemax_000,bin,onemax,800,med,55.75,0.75,10
bin_onemax_000,bin,onemax,800,hard,57.0,0.9,10
bin_leadingones_001,bin,leadingones,300,easy,9.0,0.5,10
bin_leadingones_001,bin,leadingones,300,med,9.0,0.75,10
bin_leadingones_001,bin,leadingones,300,hard,10.1,0.9,10
bin_leadingones_001,bin,leadingones,800,easy,11.0,0.5,10
bin_leadingones_001,bin,leadingones,800,med,11.0,0.75,10
bin_leadingones_001,bin,leadingones,800,hard,12.0,0.9,10
bin_knapsack01_002,bin,knapsack01,300,easy,-6351.5,0.5,10
bin_knapsack01_002,bin,knapsack01,300,med,-5138.0,0.75,10
bin_knapsack01_002,bin,knapsack01,300,hard,-4316.800000000001,0.9,10
bin_knapsack01_002,bin,knapsack01,800,easy,-4556.5,0.5,10
bin_knapsack01_002,bin,knapsack01,800,med,-3306.0,0.75,10
bin_knapsack01_002,bin,knapsack01,800,hard,-749.0000000000005,0.9,10
bin_onemax_003,bin,onemax,300,easy,53.0,0.5,10
bin_onemax_003,bin,onemax,300,med,54.0,0.75,10
bin_onemax_003,bin,onemax,300,hard,54.1,0.9,10
bin_onemax_003,bin,onemax,800,easy,54.0,0.5,10
bin_onemax_003,bin,onemax,800,med,54.75,0.75,10
bin_onemax_003,bin,onemax,800,hard,55.1,0.9,10
bin_leadingones_004,bin,leadingones,300,easy,8.0,0.5,10
bin_leadingones_004,bin,leadingones,300,med,10.0,0.75,10
bin_leadingones_004,bin,leadingones,300,hard,12.0,0.9,10
bin_leadingones_004,bin,leadingones,800,easy,11.0,0.5,10
bin_leadingones_004,bin,leadingones,800,med,14.0,0.75,10
bin_leadingones_004,bin,leadingones,800,hard,16.2,0.9,10
bin_knapsack01_005,bin,knapsack01,300,easy,-6823.5,0.5,10
bin_knapsack01_005,bin,knapsack01,300,med,-5155.5,0.75,10
bin_knapsack01_005,bin,knapsack01,300,hard,-3823.6000000000004,0.9,10
bin_knapsack01_005,bin,knapsack01,800,easy,-5340.0,0.5,10
bin_knapsack01_005,bin,knapsack01,800,med,-4318.75,0.75,10
bin_knapsack01_005,bin,knapsack01,800,hard,-3050.9000000000005,0.9,10
bin_onemax_006,bin,onemax,300,easy,52.0,0.5,10
bin_onemax_006,bin,onemax,300,med,52.0,0.75,10
bin_onemax_006,bin,onemax,300,hard,53.0,0.9,10
bin_onemax_006,bin,onemax,800,easy,54.0,0.5,10
