instance_id,problem,domain,budget,target,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0014449749604190543,0.09188490255170564,14.666666666666666,15.0,12.0,17.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,HC(flips=1),HC,29,30,0.9666666666666667,0.9375,0.8564550930514708,0.9886045307973874,0.03333333333333333,0.0,0.0,1.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,HC(flips=2),HC,0,30,0.0,0.03125,0.0016737248550425636,0.10005561979588709,2.533333333333333,2.0,1.0,5.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,30,30,1.0,0.96875,0.9084857386588471,0.9983436753990876,0.0,0.0,0.0,0.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",SA,30,30,1.0,0.96875,0.9068948387517513,0.9985588584323113,0.0,0.0,0.0,0.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,30,0.0,0.03125,0.0014754435601619907,0.08648468527527522,3.2333333333333334,3.0,1.0,5.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0016910672609447874,0.09203927725290796,9.333333333333334,9.5,6.0,12.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,30,0.0,0.03125,0.001624764065225114,0.08901831961487261,9.866666666666667,10.0,7.0,13.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.001487852491719165,0.09369241240554073,11.8,12.0,9.0,14.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,TABU(tenure=7),TABU,6,30,0.2,0.21875,0.10892659664286197,0.34481287879185674,1.9333333333333333,2.0,0.0,4.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"UMDA(pop=50,elite=0.2)",UMDA,28,30,0.9333333333333333,0.90625,0.813395455968505,0.9730290062682363,0.06666666666666667,0.0,0.0,1.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,"UMDA(pop=100,elite=0.2)",UMDA,0,30,0.0,0.03125,0.0019635099450632312,0.08939610876154623,2.433333333333333,2.0,1.0,4.0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,0.0,TABU(tenure=12),TABU,2,30,0.06666666666666667,0.09375,0.02492375640777532,0.19398322406026447,2.7666666666666666,3.0,0.0,6.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0014355966024535045,0.08887599719122177,49.166666666666664,49.5,46.0,52.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,HC(flips=1),HC,0,30,0.0,0.03125,0.0013089707102546526,0.09720431926313769,19.2,19.0,17.0,22.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,HC(flips=2),HC,0,30,0.0,0.03125,0.0017157889551856192,0.09325557304792492,25.9,26.5,16.0,33.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.001781441954132079,0.08747804108338215,19.1,19.0,14.0,24.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0015650167889486575,0.09006577150873021,18.8,19.0,16.0,21.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,30,0.0,0.03125,0.0017439015125479153,0.09168537978184653,26.466666666666665,27.0,21.0,33.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.00214006569581968,0.09474159716026002,41.3,41.5,31.0,46.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,30,0.0,0.03125,0.001611764886846998,0.08898339356752136,43.733333333333334,43.5,38.0,49.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0016340434261327115,0.09595367908961393,45.7,46.0,41.0,49.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,TABU(tenure=7),TABU,0,30,0.0,0.03125,0.0013258721521142178,0.08751585761176287,25.133333333333333,25.0,19.0,31.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"UMDA(pop=50,elite=0.2)",UMDA,0,30,0.0,0.03125,0.0016844113389679958,0.09183521847878195,28.066666666666666,27.5,25.0,32.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,"UMDA(pop=100,elite=0.2)",UMDA,0,30,0.0,0.03125,0.0018273762938043015,0.0893653117498859,39.9,40.0,35.0,44.0
BIN::trap5::n=100::seed=712172259,trap5,bin,500,0.0,TABU(tenure=12),TABU,0,30,0.0,0.03125,0.0015222049857987225,0.08989291663711836,25.8,26.0,19.0,33.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0018999953794629825,0.09346267396940057,40.56666666666667,40.0,37.0,44.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,HC(flips=1),HC,0,30,0.0,0.03125,0.0014999021524559498,0.09218963412058907,29.833333333333332,30.0,14.0,41.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,HC(flips=2),HC,0,30,0.0,0.03125,0.0017776086506817164,0.09089572890271956,22.3,22.0,15.0,34.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0014880320071783675,0.08616796439494512,28.566666666666666,30.0,5.0,41.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0016511686595185287,0.08679875286591796,29.366666666666667,29.5,17.0,42.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,30,0.0,0.03125,0.0020514744555794845,0.09667214594214209,25.6,24.5,10.0,36.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.001667118550893769,0.09324949591512809,40.266666666666666,41.0,33.0,45.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,30,0.0,0.03125,0.0016865450769668214,0.08757175676297954,39.166666666666664,39.0,37.0,44.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0015466500543023095,0.09033832249282737,41.46666666666667,41.5,38.0,44.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,TABU(tenure=7),TABU,0,30,0.0,0.03125,0.0014910662896473815,0.09026547586524097,28.366666666666667,28.5,13.0,43.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"UMDA(pop=50,elite=0.2)",UMDA,0,30,0.0,0.03125,0.001489038408239328,0.08999179069914563,33.03333333333333,33.0,25.0,41.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,"UMDA(pop=100,elite=0.2)",UMDA,0,30,0.0,0.03125,0.0016303084140186909,0.08692200455915707,35.96666666666667,36.0,31.0,40.0
BIN::leadingones::n=50::seed=147926084,leadingones,bin,500,0.0,TABU(tenure=12),TABU,0,30,0.0,0.03125,0.0016971756368181026,0.090637260808038,26.233333333333334,27.0,9.0,40.0
BIN::knapsack01::n=100::seed=547752988,knapsack01,bin,500,0.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0015256399547127224,0.08948008734332902,1208.5333333333333,1202.5,993.0,1453.0
BIN::knapsack01::n=100::seed=547752988,knapsack01,bin,500,0.0,HC(flips=1),HC,0,30,0.0,0.03125,0.0016285433134570909,0.09310232697711626,866.0666666666667,891.5,513.0,1093.0
BIN::knapsack01::n=100::seed=547752988,knapsack01,bin,500,0.0,HC(flips=2),HC,0,30,0.0,0.03125,0.0017407420505593984,0.09762713476983476,351.4,341.0,214.0,529.0
BIN::knapsack01::n=100::seed=547752988,knapsack01,bin,500,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0017149138946692829,0.09076775263790661,908.2666666666667,934.5,550.0,1294.0
