instance_id,problem,domain,budget,bounds,dim_or_n,algo_variant,algo_base,run_id,seed,best_value,best_eval,target,success
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,0,50000539,14.0,8,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,1,50000540,14.0,187,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,2,50000541,15.0,303,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,3,50000542,16.0,119,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,4,50000543,14.0,68,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,5,50000544,15.0,109,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,6,50000545,15.0,320,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,7,50000546,15.0,459,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,8,50000547,16.0,263,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,9,50000548,15.0,8,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,10,50000549,12.0,352,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,11,50000550,17.0,10,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,12,50000551,14.0,471,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,13,50000552,15.0,24,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,14,50000553,14.0,347,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,15,50000554,15.0,380,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,16,50000555,15.0,320,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,17,50000556,14.0,342,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,18,50000557,13.0,175,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,19,50000558,16.0,217,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,20,50000559,16.0,244,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,21,50000560,14.0,293,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,22,50000561,15.0,14,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,23,50000562,16.0,5,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,24,50000563,14.0,91,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,25,50000564,13.0,96,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,26,50000565,13.0,83,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,27,50000566,15.0,231,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,28,50000567,15.0,38,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,RS_BIN,RS_BIN,29,50000568,15.0,141,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,0,50000140,0.0,264,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,1,50000141,0.0,141,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,2,50000142,0.0,186,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,3,50000143,0.0,200,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,4,50000144,0.0,213,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,5,50000145,1.0,179,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,6,50000146,0.0,293,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,7,50000147,0.0,189,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,8,50000148,0.0,202,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,9,50000149,0.0,126,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,10,50000150,0.0,245,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,11,50000151,0.0,169,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,12,50000152,0.0,179,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,13,50000153,0.0,146,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,14,50000154,0.0,100,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,15,50000155,0.0,146,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,16,50000156,0.0,108,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,17,50000157,0.0,209,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,18,50000158,0.0,118,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,19,50000159,0.0,169,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,20,50000160,0.0,201,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,21,50000161,0.0,162,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,22,50000162,0.0,185,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,23,50000163,0.0,157,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,24,50000164,0.0,159,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,25,50000165,0.0,137,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,26,50000166,0.0,100,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,27,50000167,0.0,141,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,28,50000168,0.0,213,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,29,50000169,0.0,170,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,0,50000824,5.0,488,0.0,0
