,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)",TABU(tenure=12),TABU(tenure=7),"UMDA(pop=100,elite=0.2)","UMDA(pop=50,elite=0.2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.0,0.0010237116305841232,0.042767297417493966,1.8698796996591711,0.14036857411972237,0.042767297417493966,1.8698796996591711,1.8698796996591711,0.16808818045615048,0.042767297417493966,0.042767297417493966,1.49756185585268,1.5824757644200664
"GA(pop=50,pc=0.9,pm=0.02)",0.0010237116305841232,0.0,0.055224330721896586,1.8648583574508466,0.1538063297511746,0.055224330721896364,1.8648583574508466,1.8648583574508466,0.18099896790712133,0.055224330721896364,0.055224330721896364,1.4928999132617893,1.5780200658770682
"GA(pop=50,pc=0.9,pm=0.05)",0.042767297417493966,0.055224330721896586,0.0,1.863959347189951,0.08590341683804648,-4.440892098500626e-16,1.8639593471899505,1.8639593471899505,0.11604747402891413,-4.440892098500626e-16,-4.440892098500626e-16,1.50702963376578,1.5863640777478838
HC(flips=1),1.8698796996591711,1.8648583574508466,1.863959347189951,0.0,1.7782216301973395,1.8639593471899505,-1.1102230246251565e-15,-1.1102230246251565e-15,1.873575190706382,1.8639593471899505,1.8639593471899505,0.6070980944862644,0.35415216258179194
HC(flips=2),0.14036857411972237,0.1538063297511746,0.08590341683804648,1.7782216301973395,0.0,0.08590341683804625,1.7782216301973395,1.7782216301973395,0.12378779331333578,0.08590341683804648,0.08590341683804648,1.587719377961414,1.4762461272104774
RS_BIN,0.042767297417493966,0.055224330721896364,-4.440892098500626e-16,1.8639593471899505,0.08590341683804625,0.0,1.863959347189951,1.8639593471899505,0.11604747402891413,-4.440892098500626e-16,-4.440892098500626e-16,1.50702963376578,1.5863640777478838
"SA(T0=1.0,alpha=0.995,flips=1)",1.8698796996591711,1.8648583574508466,1.8639593471899505,-1.1102230246251565e-15,1.7782216301973395,1.863959347189951,0.0,-6.661338147750939e-16,1.873575190706382,1.8639593471899505,1.8639593471899505,0.6070980944862644,0.35415216258179194
"SA(T0=2.0,alpha=0.99,flips=1)",1.8698796996591711,1.8648583574508466,1.8639593471899505,-1.1102230246251565e-15,1.7782216301973395,1.8639593471899505,-6.661338147750939e-16,0.0,1.873575190706382,1.8639593471899505,1.8639593471899505,0.6070980944862644,0.35415216258179194
"SA(T0=2.0,alpha=0.995,flips=2)",0.16808818045615048,0.18099896790712133,0.11604747402891413,1.873575190706382,0.12378779331333578,0.11604747402891413,1.873575190706382,1.873575190706382,0.0,0.11604747402891391,0.11604747402891413,1.471781541925211,1.5847306329104638
TABU(tenure=12),0.042767297417493966,0.055224330721896364,-4.440892098500626e-16,1.8639593471899505,0.08590341683804648,-4.440892098500626e-16,1.8639593471899505,1.8639593471899505,0.11604747402891391,0.0,-4.440892098500626e-16,1.50702963376578,1.5863640777478838
TABU(tenure=7),0.042767297417493966,0.055224330721896364,-4.440892098500626e-16,1.8639593471899505,0.08590341683804648,-4.440892098500626e-16,1.8639593471899505,1.8639593471899505,0.11604747402891413,-4.440892098500626e-16,0.0,1.50702963376578,1.5863640777478838
"UMDA(pop=100,elite=0.2)",1.49756185585268,1.4928999132617893,1.50702963376578,0.6070980944862644,1.587719377961414,1.50702963376578,0.6070980944862644,0.6070980944862644,1.471781541925211,1.50702963376578,1.50702963376578,0.0,0.20556091735821058
"UMDA(pop=50,elite=0.2)",1.5824757644200664,1.5780200658770682,1.5863640777478838,0.35415216258179194,1.4762461272104774,1.5863640777478838,0.35415216258179194,0.35415216258179194,1.5847306329104638,1.5863640777478838,1.5863640777478838,0.20556091735821058,0.0
