,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,1.4341369277377338,1.4373687806740543,1.4373687806740543,1.4373687806740543,0.5353098151890119,1.0782426481370786,0.6397382301084363,0.3901027484371804,1.4373687806740543,1.4373687806740543
"DE(pop=40,F=0.8,CR=0.9)",1.4341369277377338,0.0,0.011199046364982812,0.011199046364982812,0.011199046364982812,1.708918900376644,0.39208235656240775,1.7988664926752658,1.7366662987462607,0.011199046364982812,0.011199046364982812
"ES_ML(mu=10,lam=40,sigma=0.3)",1.4373687806740543,0.011199046364982812,0.0,-2.220446049250313e-16,-4.440892098500626e-16,1.7106947369795802,0.40175855847208153,1.8000721297483677,1.7383248311065431,-4.440892098500626e-16,-4.440892098500626e-16
"ES_ML(mu=20,lam=80,sigma=0.2)",1.4373687806740543,0.011199046364982812,-2.220446049250313e-16,0.0,-2.220446049250313e-16,1.7106947369795802,0.40175855847208153,1.8000721297483677,1.7383248311065431,-4.440892098500626e-16,-4.440892098500626e-16
HC_CONT(sigma=0.2),1.4373687806740543,0.011199046364982812,-4.440892098500626e-16,-2.220446049250313e-16,0.0,1.7106947369795802,0.40175855847208153,1.8000721297483677,1.7383248311065431,-4.440892098500626e-16,-4.440892098500626e-16
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.5353098151890119,1.708918900376644,1.7106947369795802,1.7106947369795802,1.7106947369795802,0.0,1.4600971895290975,0.17986924154837414,0.15617291348773454,1.7106947369795802,1.7106947369795802
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1.0782426481370786,0.39208235656240775,0.40175855847208153,0.40175855847208153,0.40175855847208153,1.4600971895290975,0.0,1.6664697790654128,1.408172576280764,0.40175855847208153,0.40175855847208153
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.6397382301084363,1.7988664926752658,1.8000721297483677,1.8000721297483677,1.8000721297483677,0.17986924154837414,1.6664697790654128,0.0,0.25247481400919325,1.8000721297483677,1.8000721297483677
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.3901027484371804,1.7366662987462607,1.7383248311065431,1.7383248311065431,1.7383248311065431,0.15617291348773454,1.408172576280764,0.25247481400919325,0.0,1.7383248311065431,1.7383248311065431
RS_CONT,1.4373687806740543,0.011199046364982812,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,1.7106947369795802,0.40175855847208153,1.8000721297483677,1.7383248311065431,0.0,-4.440892098500626e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1.4373687806740543,0.011199046364982812,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,1.7106947369795802,0.40175855847208153,1.8000721297483677,1.7383248311065431,-4.440892098500626e-16,0.0
