,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,0.05991454585045697,1.3549855872889298,0.6025368790943301,1.0423988399157393,1.1378513822147107,0.2256435244592756,1.3582253216732463,0.9922051845709619,0.251160891470121,0.42673246754945016
"DE(pop=40,F=0.8,CR=0.9)",0.05991454585045697,0.0,1.1010815332859285,0.3237470242694961,0.7048231063386061,1.4524927352899493,0.4663162997135766,1.641521599795877,1.3290895015237574,0.07059176621795449,0.18699431271468814
"ES_ML(mu=10,lam=40,sigma=0.3)",1.3549855872889298,1.1010815332859285,0.0,0.3866476266671448,0.2015270377891346,1.4151466367252836,1.4908347958239778,1.3310713239485144,1.5799628711286235,0.7863469390328907,0.5587397910582003
"ES_ML(mu=20,lam=80,sigma=0.2)",0.6025368790943301,0.3237470242694961,0.3866476266671448,0.0,0.10360437317865656,1.8287579496887698,1.1347441611698197,1.8798979764870927,1.8373811770314004,0.10513766630534738,0.02377795827232354
HC_CONT(sigma=0.2),1.0423988399157393,0.7048231063386061,0.2015270377891346,0.10360437317865656,0.0,1.8754480029511993,1.5459141888421817,1.8232701866487644,1.9445192465584369,0.37430310665371347,0.20697312386015898
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1.1378513822147107,1.4524927352899493,1.4151466367252836,1.8287579496887698,1.8754480029511993,0.0,0.4873338688227239,0.030052158849047994,0.02049251139231889,1.7164095283226843,1.7998684354008825
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.2256435244592756,0.4663162997135766,1.4908347958239778,1.1347441611698197,1.5459141888421817,0.4873338688227239,0.0,0.6978269919742071,0.3879879341941471,0.7845255695645115,0.975710678009345
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1.3582253216732463,1.641521599795877,1.3310713239485144,1.8798979764870927,1.8232701866487644,0.030052158849047994,0.6978269919742071,0.0,0.07778971037981797,1.8478099549196227,1.8940532622470452
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.9922051845709619,1.3290895015237574,1.5799628711286235,1.8373811770314004,1.9445192465584369,0.02049251139231889,0.3879879341941471,0.07778971037981797,0.0,1.6394573856635537,1.7688857605313735
RS_CONT,0.251160891470121,0.07059176621795449,0.7863469390328907,0.10513766630534738,0.37430310665371347,1.7164095283226843,0.7845255695645115,1.8478099549196227,1.6394573856635537,0.0,0.032852642881563865
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",0.42673246754945016,0.18699431271468814,0.5587397910582003,0.02377795827232354,0.20697312386015898,1.7998684354008825,0.975710678009345,1.8940532622470452,1.7688857605313735,0.032852642881563865,0.0
