domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
bin,5000,ABS,"GA(pop=100,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36944408518183713,0.36871789927923876,0.37027328905078577,0.277641810965609,0.2700770130527418,0.28820722226942763,0.35291410385255423,0.34148854001847334,0.3612050876680195
bin,5000,ABS,"GA(pop=50,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36940645005399275,0.36877041929824184,0.3700207369911004,0.28268053509848906,0.2724317956835885,0.29687503714963354,0.3479130148475174,0.3330251276464271,0.35875097125815236
bin,5000,ABS,"GA(pop=50,pc=0.9,pm=0.05)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3574030565363995,0.3493975103159736,0.3632224565401784,0.2684147433014746,0.26596039710565395,0.2717963157764213,0.3741822001621265,0.37077723017593295,0.37888196505062505
bin,5000,ABS,HC(flips=1),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3043683654441749,0.29898337042194645,0.3118669511329527,0.4050643111886133,0.4006063653603895,0.40822544896327334,0.2905673233672117,0.2874133140836161,0.2928348283805286
bin,5000,ABS,HC(flips=2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36021232950192555,0.3550088797519159,0.36414054212245267,0.28250591811239334,0.2740316151363915,0.29316526134679366,0.35728175238568094,0.351393622371156,0.36189762651843593
bin,5000,ABS,RS_BIN,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3574030565363996,0.3493975103159736,0.3632224565401784,0.2684147433014746,0.26596039710565395,0.27179631577642144,0.37418220016212644,0.37077723017593295,0.37888196505062505
bin,5000,ABS,"SA(T0=1.0,alpha=0.995,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.30440266032579005,0.2990099846963103,0.3119535105167032,0.4050014643291644,0.4005713035316669,0.40816024294445025,0.2905958753450455,0.287426883668838,0.2928593302054193
bin,5000,ABS,"SA(T0=2.0,alpha=0.99,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.30438243223585526,0.29899913800000855,0.31188526913552483,0.40503784824913447,0.40060093522264695,0.40819086162334917,0.29057971951501016,0.28742708770661035,0.2928497077932583
bin,5000,ABS,"SA(T0=2.0,alpha=0.995,flips=2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36074535205672836,0.356754293842552,0.3638284486982484,0.28254280251424485,0.2753263390974054,0.2910409236868268,0.3567118454290267,0.351607463511181,0.36113100214021043
bin,5000,ABS,TABU(tenure=12),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3606509536139459,0.35426365758646255,0.36510101561055713,0.2678830790635968,0.2657891987893446,0.2709672378498591,0.37146596732245746,0.36921918243054175,0.3747939522284469
bin,5000,ABS,TABU(tenure=7),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3642041391198192,0.3607749817519493,0.3665955137008987,0.26834996679372924,0.26598489190845914,0.2718541884233519,0.3674458940864513,0.3662076730980674,0.36867083165868597
bin,5000,ABS,"UMDA(pop=100,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3103041081587663,0.30304841199311033,0.3197367028632716,0.39590292161070906,0.3879933756151294,0.40247599220682106,0.2937929702305249,0.2895840454488215,0.2971916306358203
bin,5000,ABS,"UMDA(pop=50,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.30608675674013397,0.3004436156223558,0.31430418310232305,0.4026404303340461,0.3980661331026327,0.4063419956422605,0.29127281292582075,0.2878598779692323,0.2938102690983617
