domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,Random_mean,Random_p05,Random_p95
cont,5000,ABS,"DE(pop=20,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.27103476037680657,0.26982752119928854,0.2725723979477423,0.26179299018481916,0.25607593181387134,0.2660893767765518,0.26635892298299857,0.26376307170062185,0.2682025789888235,0.20081332645537567,0.1959907088551404,0.20712991986547974
cont,5000,ABS,"DE(pop=40,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.23557942821173458,0.2301434367249294,0.24303262765050238,0.229628957116301,0.22521860923462375,0.23553866736447943,0.23211680851895072,0.2280290473248808,0.23869039526329236,0.3026748061530134,0.2853227025147403,0.31401800379774464
cont,5000,ABS,"ES_ML(mu=10,lam=40,sigma=0.3)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2323523496868091,0.22884690975925503,0.23714447414487136,0.22640055591803945,0.22458822975249706,0.2280301724407321,0.22875438998564043,0.2274557727954526,0.23033688609549416,0.312492704409511,0.3091144305453572,0.3150589624463226
cont,5000,ABS,"ES_ML(mu=20,lam=80,sigma=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2322647310259091,0.2288076874950191,0.2368973610482891,0.2263900483470421,0.2246045934620108,0.22799006167080893,0.22869877988270348,0.2274343288981445,0.2302773988212126,0.31264644074434517,0.3093046541487679,0.31513088302317416
cont,5000,ABS,HC_CONT(sigma=0.2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.23202282887489428,0.22857802780868036,0.23645363414986303,0.22627855555293688,0.22459732885527048,0.22782854249885076,0.2285048089688102,0.22728194724721756,0.23013515402408155,0.31319380660335816,0.31031992214581783,0.31544119013822275
cont,5000,ABS,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.26545909024371617,0.2622173418701884,0.26773976358286894,0.26734093579101353,0.2652597287059662,0.26904161322861875,0.2701166897709429,0.26937258822530813,0.2711541301164934,0.19708328419432725,0.1949285471676267,0.20002915331360355
cont,5000,ABS,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24913969526757068,0.24045982916537886,0.25826359054296694,0.23980669921916367,0.2315393659864728,0.24841270705299193,0.244472044143891,0.23598582831859335,0.2538217377797286,0.26658156136937466,0.24158984473822445,0.28944009128962683
cont,5000,ABS,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.26260388851259164,0.2578620697123168,0.2663025467057588,0.2718802349330419,0.27014176243120136,0.27424801119802966,0.26908252338918087,0.2678350938912512,0.2703710010505033,0.19643335316518545,0.194484276413147,0.19891523756451332
cont,5000,ABS,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2657912375266724,0.2629182819495388,0.26793895859808436,0.2663569510810769,0.2636466168973092,0.26841637804101937,0.26990518434363353,0.2693352380082946,0.27068945444634807,0.19794662704861676,0.19525812573342982,0.20162935662474238
cont,5000,ABS,RS_CONT,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.23202282887489428,0.22857802780868042,0.23645363414986303,0.22627855555293688,0.22459732885527048,0.22782854249885076,0.22850480896881023,0.22728194724721756,0.23013515402408152,0.31319380660335816,0.3103199221458177,0.3154411901382227
