algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.02)",0.011027367111844155
"GA(pop=100,pc=0.9,pm=0.02)",2,TABU(tenure=7),0.09991311161338101
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.011027367111844155
"GA(pop=50,pc=0.9,pm=0.02)",2,TABU(tenure=7),0.16422797351787966
"GA(pop=50,pc=0.9,pm=0.05)",1,RS_BIN,1.1102230246251565e-16
"GA(pop=50,pc=0.9,pm=0.05)",2,TABU(tenure=12),0.015243670058859293
HC(flips=1),1,"SA(T0=2.0,alpha=0.99,flips=1)",4.848338933216567e-05
HC(flips=1),2,"SA(T0=1.0,alpha=0.995,flips=1)",0.00013950104738091884
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.05393070601855743
HC(flips=2),2,TABU(tenure=7),0.18066532646928501
RS_BIN,1,"GA(pop=50,pc=0.9,pm=0.05)",1.1102230246251565e-16
RS_BIN,2,TABU(tenure=12),0.015243670058859293
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),0.00013950104738091884
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.00018907309436988484
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),4.848338933216567e-05
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",0.00018907309436988484
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.05393070601855743
"SA(T0=2.0,alpha=0.995,flips=2)",2,TABU(tenure=7),0.19152084291151472
TABU(tenure=12),1,"GA(pop=50,pc=0.9,pm=0.05)",0.015243670058859293
TABU(tenure=12),2,RS_BIN,0.015243670058859293
TABU(tenure=7),1,TABU(tenure=12),0.02148129970799817
TABU(tenure=7),2,"GA(pop=50,pc=0.9,pm=0.05)",0.05123383882317423
"UMDA(pop=100,elite=0.2)",1,"UMDA(pop=50,elite=0.2)",0.04369598466004465
"UMDA(pop=100,elite=0.2)",2,"SA(T0=1.0,alpha=0.995,flips=1)",0.09272366253189357
"UMDA(pop=50,elite=0.2)",1,"SA(T0=1.0,alpha=0.995,flips=1)",0.017617083868370353
"UMDA(pop=50,elite=0.2)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.018452546329778663
