algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.02)",4.440892098500626e-16
"GA(pop=100,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",4.440892098500626e-16
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",0.0
"GA(pop=50,pc=0.9,pm=0.02)",2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=50,pc=0.9,pm=0.02)",0.0
"GA(pop=50,pc=0.9,pm=0.05)",2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",0.07345571684174412
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",0.2450789798582208
HC(flips=2),1,RS_BIN,0.0
HC(flips=2),2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
RS_BIN,1,HC(flips=2),0.0
RS_BIN,2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),0.07345571684174412
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.18259009689476913
"SA(T0=2.0,alpha=0.99,flips=1)",1,"SA(T0=1.0,alpha=0.995,flips=1)",0.18259009689476913
"SA(T0=2.0,alpha=0.99,flips=1)",2,HC(flips=1),0.2450789798582208
"SA(T0=2.0,alpha=0.995,flips=2)",1,TABU(tenure=12),0.0
"SA(T0=2.0,alpha=0.995,flips=2)",2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
TABU(tenure=12),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.0
TABU(tenure=12),2,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
TABU(tenure=7),1,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
TABU(tenure=7),2,"GA(pop=50,pc=0.9,pm=0.02)",4.440892098500626e-16
"UMDA(pop=100,elite=0.2)",1,"GA(pop=100,pc=0.9,pm=0.02)",4.440892098500626e-16
"UMDA(pop=100,elite=0.2)",2,"GA(pop=50,pc=0.9,pm=0.02)",4.440892098500626e-16
"UMDA(pop=50,elite=0.2)",1,"SA(T0=2.0,alpha=0.99,flips=1)",0.2860603332787748
"UMDA(pop=50,elite=0.2)",2,"SA(T0=1.0,alpha=0.995,flips=1)",0.4641894160782919
