algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.0901119542518205
"DE(pop=20,F=0.8,CR=0.9)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.09796215543377551
"DE(pop=40,F=0.8,CR=0.9)",1,"ES_ML(mu=10,lam=40,sigma=0.3)",0.08548319806614713
"DE(pop=40,F=0.8,CR=0.9)",2,"ES_ML(mu=20,lam=80,sigma=0.2)",0.09098818200719505
"ES_ML(mu=10,lam=40,sigma=0.3)",1,"ES_ML(mu=20,lam=80,sigma=0.2)",0.0014159948264833577
"ES_ML(mu=10,lam=40,sigma=0.3)",2,HC_CONT(sigma=0.2),0.006921272175933302
"ES_ML(mu=20,lam=80,sigma=0.2)",1,"ES_ML(mu=10,lam=40,sigma=0.3)",0.0014159948264833577
"ES_ML(mu=20,lam=80,sigma=0.2)",2,HC_CONT(sigma=0.2),0.005734285071457346
HC_CONT(sigma=0.2),1,RS_CONT,-8.881784197001252e-16
HC_CONT(sigma=0.2),2,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",-8.881784197001252e-16
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.0029340509403155135
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.058906277635070836
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=40,F=0.8,CR=0.9)",0.388546731370518
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"ES_ML(mu=10,lam=40,sigma=0.3)",0.5628137687616468
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.058906277635070836
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.07829871110374431
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.0029340509403155135
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.07829871110374431
RS_CONT,1,HC_CONT(sigma=0.2),-8.881784197001252e-16
RS_CONT,2,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",-8.881784197001252e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1,HC_CONT(sigma=0.2),-8.881784197001252e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",2,RS_CONT,-8.881784197001252e-16
