algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"DE(pop=40,F=0.8,CR=0.9)",-2.220446049250313e-16
"DE(pop=20,F=0.8,CR=0.9)",2,RS_CONT,3.3306690738754696e-16
"DE(pop=40,F=0.8,CR=0.9)",1,"DE(pop=20,F=0.8,CR=0.9)",-2.220446049250313e-16
"DE(pop=40,F=0.8,CR=0.9)",2,RS_CONT,3.3306690738754696e-16
"ES_ML(mu=10,lam=40,sigma=0.3)",1,"ES_ML(mu=20,lam=80,sigma=0.2)",0.22681406531309445
"ES_ML(mu=10,lam=40,sigma=0.3)",2,"DE(pop=20,F=0.8,CR=0.9)",0.5739515582325907
"ES_ML(mu=20,lam=80,sigma=0.2)",1,"DE(pop=20,F=0.8,CR=0.9)",0.09998532088315293
"ES_ML(mu=20,lam=80,sigma=0.2)",2,"DE(pop=40,F=0.8,CR=0.9)",0.09998532088315293
HC_CONT(sigma=0.2),1,"ES_ML(mu=10,lam=40,sigma=0.3)",0.8952817666254809
HC_CONT(sigma=0.2),2,"ES_ML(mu=20,lam=80,sigma=0.2)",1.2772594482122177
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.12037802672554698
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.2607466595878912
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.08967651761142192
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=20,F=0.8,CR=0.9)",0.11686282603091369
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.3008308279019275
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.6077669131077974
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.08967651761142192
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.12037802672554698
RS_CONT,1,"DE(pop=20,F=0.8,CR=0.9)",3.3306690738754696e-16
RS_CONT,2,"DE(pop=40,F=0.8,CR=0.9)",3.3306690738754696e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1,"DE(pop=20,F=0.8,CR=0.9)",0.29619348854394734
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",2,"DE(pop=40,F=0.8,CR=0.9)",0.29619348854394734
