instance_id,domain,problem,budget,algo_variant,algo_base,rep,seed,best,auc_raw,auc_log,wall_ms,succ_easy,succ_med,succ_hard
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,0,1826701614,118.0,117.06666666666666,4.762387432276625,9,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,1,1367864806,114.0,113.22,4.729241096023178,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,2,1097657231,124.0,121.21666666666667,4.796660327878969,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,3,579362555,118.0,115.21333333333334,4.746428705540911,7,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,4,661058651,122.0,119.9,4.786473772307796,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,5,87989972,122.0,117.76333333333334,4.767472202874081,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,6,161576974,129.0,122.12,4.8029781190197305,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,7,35492826,118.0,117.13666666666667,4.763139498976259,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,8,376383645,119.0,118.14,4.771758476578939,16,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,9,1746484539,119.0,115.89333333333333,4.752319517849352,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,10,1394609702,120.0,115.12,4.745525223138869,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,RS_BIN,RS_BIN,11,1960127675,125.0,122.55333333333333,4.807134031427465,0,0,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,0,1081530686,179.0,145.17666666666668,4.962509049053397,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,1,1302740407,171.0,145.0,4.965438819890863,2,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,2,2084654369,176.0,144.18666666666667,4.956867352193156,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,3,1566581934,181.0,150.88333333333333,5.0050219351645895,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,4,1357791198,175.0,146.97333333333333,4.977096770488217,14,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,5,1167425778,175.0,144.20333333333335,4.9577330525251675,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,6,1202413557,173.0,141.68,4.938518119557419,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,7,2008052738,175.0,143.28666666666666,4.955229808082133,15,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,8,595598245,176.0,145.82666666666665,4.967192932547248,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,9,1752032165,181.0,153.08333333333334,5.0212769291465245,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,10,1440696407,179.0,153.33333333333334,5.024466140715441,16,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=1),HC,11,5880883,180.0,150.92,5.006279797635941,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,0,846428919,159.0,134.12,4.889076594716712,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,1,1841261662,163.0,146.34666666666666,4.979807584108277,16,1,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,2,1190382222,164.0,148.54,4.997398108335649,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,3,72124473,156.0,135.60666666666665,4.903580484129621,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,4,1642588603,166.0,147.51333333333332,4.988306747714986,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,HC(flips=2),HC,5,1566923138,157.0,133.04666666666665,4.881395920961099,15,1,0,0
