instance_id,easy,med,hard,ub,b0
bin::onemax::n200::i000,142.6,167.2,187.7,200.0,118.0
bin::onemax::n200::i001,144.7,168.4,188.14999999999998,200.0,121.0
bin::onemax::n200::i002,140.5,166.0,187.25,200.0,115.0
bin::onemax::n200::i003,142.6,167.2,187.7,200.0,118.0
bin::onemax::n200::i004,144.0,168.0,188.0,200.0,120.0
bin::onemax::n200::i005,145.4,168.8,188.3,200.0,122.0
bin::onemax::n200::i006,147.5,170.0,188.75,200.0,125.0
bin::onemax::n200::i007,141.2,166.4,187.39999999999998,200.0,116.0
bin::onemax::n200::i008,141.9,166.8,187.55,200.0,117.0
bin::onemax::n200::i009,142.6,167.2,187.7,200.0,118.0
bin::onemax::n200::i010,140.5,166.0,187.25,200.0,115.0
bin::onemax::n200::i011,145.4,168.8,188.3,200.0,122.0
bin::onemax::n200::i012,141.9,166.8,187.55,200.0,117.0
bin::onemax::n200::i013,144.0,168.0,188.0,200.0,120.0
bin::onemax::n200::i014,144.7,168.4,188.14999999999998,200.0,121.0
bin::onemax::n200::i015,142.6,167.2,187.7,200.0,118.0
bin::onemax::n200::i016,141.2,166.4,187.39999999999998,200.0,116.0
bin::onemax::n200::i017,141.9,166.8,187.55,200.0,117.0
bin::onemax::n200::i018,139.8,165.6,187.1,200.0,114.0
bin::onemax::n200::i019,144.0,168.0,188.0,200.0,120.0
bin::leadingones::n200::i000,65.6,123.19999999999999,171.2,200.0,8.0
bin::leadingones::n200::i001,63.5,122.0,170.75,200.0,5.0
bin::leadingones::n200::i002,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i003,65.6,123.19999999999999,171.2,200.0,8.0
bin::leadingones::n200::i004,64.19999999999999,122.39999999999999,170.9,200.0,6.0
bin::leadingones::n200::i005,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i006,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i007,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i008,64.19999999999999,122.39999999999999,170.9,200.0,6.0
bin::leadingones::n200::i009,64.19999999999999,122.39999999999999,170.9,200.0,6.0
bin::leadingones::n200::i010,65.6,123.19999999999999,171.2,200.0,8.0
bin::leadingones::n200::i011,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i012,67.0,124.0,171.5,200.0,10.0
bin::leadingones::n200::i013,64.19999999999999,122.39999999999999,170.9,200.0,6.0
bin::leadingones::n200::i014,63.5,122.0,170.75,200.0,5.0
bin::leadingones::n200::i015,62.8,121.6,170.6,200.0,4.0
bin::leadingones::n200::i016,63.5,122.0,170.75,200.0,5.0
bin::leadingones::n200::i017,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i018,64.9,122.8,171.04999999999998,200.0,7.0
bin::leadingones::n200::i019,64.9,122.8,171.04999999999998,200.0,7.0
bin::knapsack01::n200::i000,8055.718072289157,8505.436144578314,8880.201204819277,9105.060240963856,7606.0
bin::knapsack01::n200::i001,8146.611320754717,8588.222641509434,8956.232075471698,9177.037735849057,7705.0
bin::knapsack01::n200::i002,7970.337931034483,8348.675862068965,8663.957471264368,8853.12643678161,7592.0
bin::knapsack01::n200::i003,8143.532558139535,8536.06511627907,8863.17558139535,9059.441860465116,7751.0
bin::knapsack01::n200::i004,8133.156,8538.312,8875.942000000001,9078.52,7728.0
bin::knapsack01::n200::i005,8367.345714285715,8803.691428571428,9167.312857142857,9385.485714285714,7931.0
bin::knapsack01::n200::i006,8088.085714285714,8466.171428571428,8781.242857142857,8970.285714285714,7710.0
bin::knapsack01::n200::i007,7966.011111111111,8407.022222222222,8774.531481481481,8995.037037037036,7525.0
bin::knapsack01::n200::i008,8038.424,8400.848,8702.868,8884.08,7676.0
bin::knapsack01::n200::i009,8068.930769230769,8455.861538461539,8778.303846153845,8971.76923076923,7682.0
bin::knapsack01::n200::i010,7981.581818181819,8370.163636363637,8693.98181818182,8888.272727272728,7593.0
bin::knapsack01::n200::i011,8294.658064516128,8637.316129032259,8922.864516129031,9094.193548387097,7952.0
bin::knapsack01::n200::i012,8578.266666666666,8940.533333333333,9242.422222222222,9423.555555555555,8216.0
bin::knapsack01::n200::i013,7890.246987951808,8266.493975903615,8580.033132530121,8768.156626506025,7514.0
bin::knapsack01::n200::i014,7854.803225806451,8308.606451612903,8686.775806451613,8913.677419354839,7401.0
bin::knapsack01::n200::i015,8251.823076923078,8664.646153846154,9008.665384615386,9215.076923076924,7839.0
bin::knapsack01::n200::i016,7921.772340425532,8348.544680851064,8704.18829787234,8917.574468085106,7495.0
bin::knapsack01::n200::i017,7860.6,8282.2,8633.533333333333,8844.333333333334,7439.0
bin::knapsack01::n200::i018,7784.95,8200.9,8547.525,8755.5,7369.0
bin::knapsack01::n200::i019,8434.225,8827.45,9155.1375,9351.75,8041.0
cont::sphere::d10::i000,31.906527987451007,18.232301707114864,9.116150853557432,,45.58075426778716
cont::sphere::d10::i001,46.904007706772134,26.80229011815551,13.401145059077756,,67.00572529538877
cont::sphere::d10::i002,35.986345399312036,20.56362594246402,10.28181297123201,,51.40906485616005
cont::sphere::d10::i003,6.687568998823716,3.8214679993278384,1.9107339996639192,,9.553669998319595
cont::sphere::d10::i004,23.194018877599483,13.253725072913992,6.626862536456996,,33.13431268228498
cont::sphere::d10::i005,70.35975367367331,40.20557352781333,20.102786763906664,,100.5139338195333
cont::sphere::d10::i006,13.991491808230311,7.995138176131608,3.997569088065804,,19.987845440329018
cont::sphere::d10::i007,29.7551072624185,17.002918435667716,8.501459217833858,,42.50729608916929
cont::sphere::d10::i008,42.0282778643646,24.016158779636914,12.008079389818457,,60.04039694909228
cont::sphere::d10::i009,45.713854901524066,26.122202800870895,13.061101400435447,,65.30550700217724
cont::sphere::d10::i010,40.19254894074992,22.96717082328567,11.483585411642835,,57.417927058214175
cont::sphere::d10::i011,14.547699628460038,8.312971216262879,4.156485608131439,,20.782428040657198
cont::sphere::d10::i012,34.58316880616044,19.761810746377392,9.880905373188696,,49.40452686594348
cont::sphere::d10::i013,20.16820874755551,11.524690712888864,5.762345356444432,,28.81172678222216
cont::sphere::d10::i014,30.195476525393392,17.25455801451051,8.627279007255256,,43.13639503627628
