,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)",TABU(tenure=12),TABU(tenure=7),"UMDA(pop=100,elite=0.2)","UMDA(pop=50,elite=0.2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.6630471772839805,0.15181239546448722,1.1102230246251565e-16,0.8802474026390843,0.8202534406378555,0.08065467991517306,1.9751202347873908,1.9746594840903848,0.0016528833933830978,0.11406674087722979
"GA(pop=50,pc=0.9,pm=0.02)",1.1102230246251565e-16,0.0,0.0,1.6630471772839805,0.15181239546448722,1.1102230246251565e-16,0.8802474026390843,0.8202534406378555,0.08065467991517306,1.9751202347873908,1.9746594840903848,0.0016528833933830978,0.11406674087722979
"GA(pop=50,pc=0.9,pm=0.05)",1.1102230246251565e-16,0.0,0.0,1.6630471772839805,0.15181239546448722,1.1102230246251565e-16,0.8802474026390843,0.8202534406378555,0.08065467991517306,1.9751202347873908,1.9746594840903848,0.0016528833933830978,0.11406674087722979
HC(flips=1),1.6630471772839805,1.6630471772839805,1.6630471772839805,0.0,1.1779945795068638,1.6630471772839805,0.40009510394338155,0.4348898311397086,1.3422394749012303,0.18920701705609644,0.18820207825912827,1.6583434105269315,1.243474070938798
HC(flips=2),0.15181239546448722,0.15181239546448722,0.15181239546448722,1.1779945795068638,0.0,0.15181239546448722,0.4390620223332661,0.3739837172298127,0.03275478592334147,1.7136907100628254,1.7125159480483814,0.14948916623248798,0.0099706909065016
RS_BIN,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.6630471772839805,0.15181239546448722,0.0,0.8802474026390843,0.8202534406378555,0.08065467991517306,1.9751202347873908,1.9746594840903848,0.0016528833933830978,0.11406674087722979
"SA(T0=1.0,alpha=0.995,flips=1)",0.8802474026390843,0.8802474026390843,0.8802474026390843,0.40009510394338155,0.4390620223332661,0.8802474026390843,0.0,0.10628011110682722,0.5786657679126292,0.9161255758422715,0.9144694945405533,0.8674566357096556,0.47372890204408724
"SA(T0=2.0,alpha=0.99,flips=1)",0.8202534406378555,0.8202534406378555,0.8202534406378555,0.4348898311397086,0.3739837172298127,0.8202534406378555,0.10628011110682722,0.0,0.5231827405928067,0.9721042530939671,0.9704004020954765,0.8155732804484519,0.4152955494644317
"SA(T0=2.0,alpha=0.995,flips=2)",0.08065467991517306,0.08065467991517306,0.08065467991517306,1.3422394749012303,0.03275478592334147,0.08065467991517306,0.5786657679126292,0.5231827405928067,0.0,1.819860505214539,1.8188515312861793,0.07930993248278528,0.02436902829702059
TABU(tenure=12),1.9751202347873908,1.9751202347873908,1.9751202347873908,0.18920701705609644,1.7136907100628254,1.9751202347873908,0.9161255758422715,0.9721042530939671,1.819860505214539,0.0,6.856325215098824e-05,1.9726335132193291,1.7614249433775426
TABU(tenure=7),1.9746594840903848,1.9746594840903848,1.9746594840903848,0.18820207825912827,1.7125159480483814,1.9746594840903848,0.9144694945405533,0.9704004020954765,1.8188515312861793,6.856325215098824e-05,0.0,1.9721665430419866,1.760283272302815
"UMDA(pop=100,elite=0.2)",0.0016528833933830978,0.0016528833933830978,0.0016528833933830978,1.6583434105269315,0.14948916623248798,0.0016528833933830978,0.8674566357096556,0.8155732804484519,0.07930993248278528,1.9726335132193291,1.9721665430419866,0.0,0.11369881898908851
"UMDA(pop=50,elite=0.2)",0.11406674087722979,0.11406674087722979,0.11406674087722979,1.243474070938798,0.0099706909065016,0.11406674087722979,0.47372890204408724,0.4152955494644317,0.02436902829702059,1.7614249433775426,1.760283272302815,0.11369881898908851,0.0
