,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)",TABU(tenure=12),TABU(tenure=7),"UMDA(pop=100,elite=0.2)","UMDA(pop=50,elite=0.2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.35784082581214627,1.1945341078954657,1.1102230246251565e-16,0.35784082581214627,0.35784082581214627,1.1862210938951212,1.8936337001553158,1.9271395247331995,0.22147028207735597,1.2328072433381083
"GA(pop=50,pc=0.9,pm=0.02)",1.1102230246251565e-16,0.0,2.220446049250313e-16,0.35784082581214627,1.1945341078954657,1.1102230246251565e-16,0.35784082581214627,0.35784082581214627,1.1862210938951212,1.8936337001553158,1.9271395247331995,0.22147028207735597,1.2328072433381083
"GA(pop=50,pc=0.9,pm=0.05)",1.1102230246251565e-16,2.220446049250313e-16,0.0,0.35784082581214605,1.1945341078954657,1.1102230246251565e-16,0.35784082581214627,0.35784082581214627,1.1862210938951212,1.8936337001553158,1.9271395247331995,0.22147028207735597,1.2328072433381083
HC(flips=1),0.35784082581214627,0.35784082581214627,0.35784082581214605,0.0,1.310410108465972,0.35784082581214627,5.551115123125783e-16,5.551115123125783e-16,1.3086787849645223,1.5937806290363636,1.6157900269087029,0.5223937345052394,1.3155646329936252
HC(flips=2),1.1945341078954657,1.1945341078954657,1.1945341078954657,1.310410108465972,0.0,1.1945341078954657,1.310410108465972,1.310410108465972,0.10586694973338617,0.9532761788253035,0.9316355264716232,0.911551759443664,0.08020468959670635
RS_BIN,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.35784082581214627,1.1945341078954657,0.0,0.35784082581214605,0.35784082581214627,1.1862210938951212,1.8936337001553158,1.9271395247331995,0.22147028207735597,1.2328072433381083
"SA(T0=1.0,alpha=0.995,flips=1)",0.35784082581214627,0.35784082581214627,0.35784082581214627,5.551115123125783e-16,1.310410108465972,0.35784082581214605,0.0,8.881784197001252e-16,1.3086787849645223,1.5937806290363636,1.6157900269087029,0.5223937345052394,1.3155646329936252
"SA(T0=2.0,alpha=0.99,flips=1)",0.35784082581214627,0.35784082581214627,0.35784082581214627,5.551115123125783e-16,1.310410108465972,0.35784082581214627,8.881784197001252e-16,0.0,1.3086787849645223,1.5937806290363636,1.6157900269087029,0.5223937345052394,1.3155646329936252
"SA(T0=2.0,alpha=0.995,flips=2)",1.1862210938951212,1.1862210938951212,1.1862210938951212,1.3086787849645223,0.10586694973338617,1.1862210938951212,1.3086787849645223,1.3086787849645223,0.0,0.8988273736814407,0.9288737768093975,0.8531544478970294,0.10272574969070059
TABU(tenure=12),1.8936337001553158,1.8936337001553158,1.8936337001553158,1.5937806290363636,0.9532761788253035,1.8936337001553158,1.5937806290363636,1.5937806290363636,0.8988273736814407,0.0,0.14452028436717668,1.6453768951716439,0.8824813907740737
TABU(tenure=7),1.9271395247331995,1.9271395247331995,1.9271395247331995,1.6157900269087029,0.9316355264716232,1.9271395247331995,1.6157900269087029,1.6157900269087029,0.9288737768093975,0.14452028436717668,0.0,1.7517242749390416,0.9018188531288267
"UMDA(pop=100,elite=0.2)",0.22147028207735597,0.22147028207735597,0.22147028207735597,0.5223937345052394,0.911551759443664,0.22147028207735597,0.5223937345052394,0.5223937345052394,0.8531544478970294,1.6453768951716439,1.7517242749390416,0.0,0.8408916546087326
"UMDA(pop=50,elite=0.2)",1.2328072433381083,1.2328072433381083,1.2328072433381083,1.3155646329936252,0.08020468959670635,1.2328072433381083,1.3155646329936252,1.3155646329936252,0.10272574969070059,0.8824813907740737,0.9018188531288267,0.8408916546087326,0.0
