,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,0.41350047802347467,0.8709312840462513,0.8864598795832018,1.0407894004400973,0.4900471804202774,0.10818796335957992,0.78318246928869,0.6919199692515106,0.5982485086341599,1.0401404767751659
"DE(pop=40,F=0.8,CR=0.9)",0.41350047802347467,0.0,0.17761973643060824,0.18723403004694417,1.723468302393309,1.2434812159370447,0.523048766214899,1.57707965637196,1.5080125562228568,0.07143917428324498,1.7227269796256968
"ES_ML(mu=10,lam=40,sigma=0.3)",0.8709312840462513,0.17761973643060824,0.0,0.008609907245251791,1.925737926041518,1.686396615603469,1.0414565111017913,1.893465619333153,1.8615947677221472,0.06905620056462192,1.925125094591112
"ES_ML(mu=20,lam=80,sigma=0.2)",0.8864598795832018,0.18723403004694417,0.008609907245251791,0.0,1.9336269157957702,1.6998864980484432,1.057079221374768,1.9042300550119724,1.8755978623342122,0.07026040913913023,1.9330219215502684
HC_CONT(sigma=0.2),1.0407894004400973,1.723468302393309,1.925737926041518,1.9336269157957702,0.0,0.2710373618885086,0.8706948660750441,0.07840182040422194,0.10831848939969935,1.8365874135681195,0.00012077577330305012
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.4900471804202774,1.2434812159370447,1.686396615603469,1.6998864980484432,0.2710373618885086,0.0,0.3586960415446747,0.10811358790057213,0.0743290031778373,1.4708063425437636,0.2710346523539823
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.10818796335957992,0.523048766214899,1.0414565111017913,1.057079221374768,0.8706948660750441,0.3586960415446747,0.0,0.6546312184783315,0.5632889159316177,0.7525108542039389,0.8702387364879867
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.78318246928869,1.57707965637196,1.893465619333153,1.9042300550119724,0.07840182040422194,0.10811358790057213,0.6546312184783315,0.0,0.016588877461617413,1.7359828351082482,0.07851026656866655
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.6919199692515106,1.5080125562228568,1.8615947677221472,1.8755978623342122,0.10831848939969935,0.0743290031778373,0.5632889159316177,0.016588877461617413,0.0,1.6867613786842361,0.10841595088067912
RS_CONT,0.5982485086341599,0.07143917428324498,0.06905620056462192,0.07026040913913023,1.8365874135681195,1.4708063425437636,0.7525108542039389,1.7359828351082482,1.6867613786842361,0.0,1.8357895549635321
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1.0401404767751659,1.7227269796256968,1.925125094591112,1.9330219215502684,0.00012077577330305012,0.2710346523539823,0.8702387364879867,0.07851026656866655,0.10841595088067912,1.8357895549635321,0.0
