,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,0.35118362200127906,0.36345145151698044,0.36345145151698044,1.4186211914840676,1.2062478793707192,0.15999864842925882,1.5387820802726635,1.4341359166941274,0.36345145151698044,1.4186211914840676
"DE(pop=40,F=0.8,CR=0.9)",0.35118362200127906,0.0,0.015940343617859454,0.015940343617859343,0.9278572218917618,1.6771844906686817,0.39241919054274077,1.930402733105816,1.867361079921459,0.015940343617859343,0.9278572218917618
"ES_ML(mu=10,lam=40,sigma=0.3)",0.36345145151698044,0.015940343617859454,0.0,0.0,0.8915859099453848,1.7039953505232552,0.40886832586468147,1.9510641467706855,1.8918821941558364,1.1102230246251565e-16,0.8915859099453848
"ES_ML(mu=20,lam=80,sigma=0.2)",0.36345145151698044,0.015940343617859343,0.0,0.0,0.8915859099453847,1.7039953505232552,0.40886832586468147,1.9510641467706855,1.8918821941558364,1.1102230246251565e-16,0.8915859099453848
HC_CONT(sigma=0.2),1.4186211914840676,0.9278572218917618,0.8915859099453848,0.8915859099453847,0.0,1.6342749629373772,1.4989904153401654,1.2474232772358382,1.3203649625798892,0.8915859099453848,1.1102230246251565e-16
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1.2062478793707192,1.6771844906686817,1.7039953505232552,1.7039953505232552,1.6342749629373772,0.0,1.1117542244690912,0.21823527165784506,0.18481430808509047,1.7039953505232552,1.6342749629373774
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.15999864842925882,0.39241919054274077,0.40886832586468147,0.40886832586468147,1.4989904153401654,1.1117542244690912,0.0,1.4992402844993034,1.3789444687837211,0.40886832586468147,1.4989904153401654
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1.5387820802726635,1.930402733105816,1.9510641467706855,1.9510641467706855,1.2474232772358382,0.21823527165784506,1.4992402844993034,0.0,0.08786032780593489,1.9510641467706855,1.2474232772358382
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1.4341359166941274,1.867361079921459,1.8918821941558364,1.8918821941558364,1.3203649625798892,0.18481430808509047,1.3789444687837211,0.08786032780593489,0.0,1.8918821941558364,1.3203649625798892
RS_CONT,0.36345145151698044,0.015940343617859343,1.1102230246251565e-16,1.1102230246251565e-16,0.8915859099453848,1.7039953505232552,0.40886832586468147,1.9510641467706855,1.8918821941558364,0.0,0.8915859099453848
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1.4186211914840676,0.9278572218917618,0.8915859099453848,0.8915859099453848,1.1102230246251565e-16,1.6342749629373774,1.4989904153401654,1.2474232772358382,1.3203649625798892,0.8915859099453848,0.0
