domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
bin,800,ABS,"GA(pop=100,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3547489740642209,0.35031680969154233,0.3585644372241748,0.2905137428663845,0.28288255525996875,0.29936638061691545,0.3547372830693946,0.35031680969154233,0.35855300751585656
bin,800,ABS,"GA(pop=50,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.35265490623279694,0.34823977116277216,0.3567018216805645,0.2947162398483046,0.2865949323446235,0.30359169267735764,0.35262885391889826,0.3481685361598702,0.356703245974812
bin,800,ABS,"GA(pop=50,pc=0.9,pm=0.05)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3545906984012253,0.3500480328841917,0.3583913829721145,0.29080533627685656,0.28321532285275114,0.2999026423324611,0.3546039653219178,0.3500493247833473,0.35839247733669977
bin,800,ABS,HC(flips=1),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3104670222864902,0.3060530302654626,0.3154380785130195,0.3791971826144235,0.36912384297396106,0.3879426555908973,0.31033579509908676,0.3059974076352088,0.31543521897974364
bin,800,ABS,HC(flips=2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.32512439977312746,0.3221704186699153,0.32779789324310676,0.34987773390987165,0.344420729966382,0.3557478898546566,0.32499786631700095,0.32208395779823623,0.3277852646448586
bin,800,ABS,RS_BIN,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3547808537530923,0.35031680969154233,0.3585737309207237,0.2904265985632722,0.28284110775076965,0.29936638061691545,0.3547925476836356,0.35031680969154233,0.3585851613285067
bin,800,ABS,"SA(T0=1.0,alpha=0.995,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3104670222864902,0.30605303026546254,0.3154380785130195,0.3791971826144235,0.369123842973961,0.3879426555908973,0.31033579509908676,0.3059974076352088,0.31543521897974364
bin,800,ABS,"SA(T0=2.0,alpha=0.99,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.31046175299155265,0.3060417320848543,0.315437829544071,0.3792077059685927,0.36912434091185803,0.3879542133286936,0.3103305410398552,0.30599164051397487,0.31543521897974364
bin,800,ABS,"SA(T0=2.0,alpha=0.995,flips=2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3253068418233071,0.3224815267357639,0.3279161313067792,0.3495148392444055,0.3441677373864416,0.35503829930077124,0.3251783189322877,0.32243627725548646,0.3279161313067792
bin,800,ABS,TABU(tenure=12),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3096943787618398,0.3053909596261231,0.3146431581822895,0.3806207971147835,0.370713683635421,0.3892107926653356,0.3096848241233766,0.30539824770854135,0.3146431581822895
bin,800,ABS,TABU(tenure=7),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3102219846825081,0.30585155693005417,0.315332833247029,0.3795614767735315,0.36933433350594186,0.38828690624321016,0.3102165385439599,0.3058615368267357,0.315332833247029
bin,800,ABS,"UMDA(pop=100,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.32754867385645653,0.32520476682928223,0.3294554841048715,0.3450437896960484,0.3412666933341967,0.3495958113429424,0.3274075364474951,0.3250700518229773,0.32932960599315336
bin,800,ABS,"UMDA(pop=50,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3225577024946997,0.31910313970895704,0.32605520646118474,0.3550260780276379,0.34789962119716183,0.3617979563769892,0.3224162194776622,0.31909890391405366,0.3259472618161182
