domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
bin,800,REL,"GA(pop=100,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34002599054479526,0.3374928044441641,0.3433410977926647,0.3199480189104095,0.3133178044146707,0.32501439111167185,0.34002599054479526,0.337492804444164,0.34334109779266464
bin,800,REL,"GA(pop=50,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34002599054479526,0.337492804444164,0.34334109779266464,0.3199480189104095,0.31331780441467066,0.3250143911116719,0.34002599054479526,0.337492804444164,0.34334109779266464
bin,800,REL,"GA(pop=50,pc=0.9,pm=0.05)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34002599054479526,0.337492804444164,0.34334109779266464,0.3199480189104095,0.31331780441467066,0.3250143911116719,0.34002599054479526,0.337492804444164,0.34334109779266464
bin,800,REL,HC(flips=1),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.32649430440417887,0.3230158020236134,0.32912130274946144,0.34701139119164254,0.34175739450107717,0.35396839595277324,0.32649430440417887,0.3230158020236134,0.32912130274946144
bin,800,REL,HC(flips=2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.33549483535820535,0.33473935667669547,0.3364985523027376,0.32901032928358975,0.32700289539452476,0.3305212866466092,0.33549483535820535,0.33473935667669547,0.3364985523027376
bin,800,REL,RS_BIN,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34002599054479526,0.337492804444164,0.34334109779266464,0.3199480189104095,0.3133178044146707,0.32501439111167185,0.34002599054479526,0.3374928044441641,0.3433410977926647
bin,800,REL,"SA(T0=1.0,alpha=0.995,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.32649430440417887,0.3230158020236134,0.3291213027494614,0.34701139119164254,0.34175739450107706,0.35396839595277324,0.32649430440417887,0.3230158020236134,0.3291213027494614
bin,800,REL,"SA(T0=2.0,alpha=0.99,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.32649430440417887,0.3230158020236134,0.3291213027494614,0.34701139119164254,0.34175739450107706,0.35396839595277324,0.32649430440417887,0.3230158020236134,0.3291213027494614
bin,800,REL,"SA(T0=2.0,alpha=0.995,flips=2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3356187714028262,0.33480453632671375,0.33673228116560533,0.32876245719434816,0.3265354376687895,0.3303909273465726,0.3356187714028262,0.33480453632671375,0.33673228116560533
bin,800,REL,TABU(tenure=12),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3275636731294514,0.32418550727490547,0.3301681396978175,0.3448726537410976,0.339663720604365,0.3516289854501891,0.3275636731294514,0.32418550727490547,0.3301681396978175
