domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,Random_mean,Random_p05,Random_p95
cont,300,ABS,"DE(pop=20,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2699582972337952,0.2657989386916769,0.27381823403053435,0.2379320995783978,0.22798368197524588,0.24787848563055714,0.24930383463344835,0.24260858475043226,0.2564261094697561,0.24280576855435837,0.2285888805436315,0.2554124540093653
cont,300,ABS,"DE(pop=40,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2655887449458102,0.2590645200396135,0.27050905090861027,0.21981850407752193,0.21596629948776688,0.22368868519609864,0.23187095982076353,0.22591867785429287,0.23808692224753067,0.28272179115590435,0.276115903715239,0.289482849965309
cont,300,ABS,"ES_ML(mu=10,lam=40,sigma=0.3)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2580236099719136,0.24766611501981442,0.2669120468029651,0.2188542275849337,0.2153346708182419,0.2221394888152972,0.2264209107147155,0.22187261467546435,0.2309147064566381,0.2967012517284372,0.28939230597825105,0.303316957409594
cont,300,ABS,"ES_ML(mu=20,lam=80,sigma=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2578120661843568,0.24749982295066947,0.2665341049427951,0.21880915079458205,0.2151939204794668,0.22240109740786013,0.22626607238949248,0.22185385188467624,0.23063311270444334,0.2971127106315689,0.28991403700913027,0.30346024678127914
cont,300,ABS,HC_CONT(sigma=0.2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24006899615580615,0.23178017456352917,0.24999902890736322,0.2798032346042662,0.2748025592101036,0.2850881324423417,0.27118146109943997,0.2664358566764239,0.2761910389635272,0.2089463081404879,0.20413677344809494,0.21409836202787352
cont,300,ABS,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.250463245289103,0.24395746062753795,0.2576170746047829,0.26644784865007426,0.260804895831782,0.27152804833730754,0.2712132716792636,0.2670756454185436,0.2752702750312665,0.21187563438155937,0.20481150464659337,0.22090347042445155
cont,300,ABS,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.26578166917611346,0.26225948979807073,0.2702022513829334,0.24248877708424818,0.23280342856832725,0.25136034972064664,0.25429443383187045,0.24845555449842022,0.2591189855825424,0.2374351199077679,0.22507277239969486,0.2492547385027571
cont,300,ABS,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2439884506201341,0.23625011819925004,0.2528221839719959,0.276850069026821,0.273348873705182,0.2805184776672452,0.27197221229630064,0.2683634916543583,0.27530762796407116,0.20718926805674456,0.20308656469874964,0.21165058103098344
cont,300,ABS,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2461345242677173,0.23840108493705653,0.2547113979340114,0.27439693552395,0.27121178471678026,0.27770035343675514,0.271840290537055,0.26831205291142035,0.2753073762725364,0.2076282496712776,0.2030639203602209,0.2128898399646733
cont,300,ABS,RS_CONT,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2622246252468313,0.25290323143519294,0.26934876268605207,0.21826438639428125,0.2151723616254255,0.22136396042794354,0.22781852055403332,0.22254423998263873,0.23373000476471906,0.29169246780485397,0.28388559900762955,0.2988935032254382
cont,300,ABS,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24008486250597275,0.2317608171933017,0.25000342448781454,0.2797828125503564,0.2747518024640757,0.2850802619166156,0.2711670586381061,0.26643579320168503,0.2761839825431802,0.20896526630556483,0.2041441592912766,0.21413806395921373
