domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,Random_mean,Random_p05,Random_p95
cont,300,REL,"DE(pop=20,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.28304979955524384,0.2802023710961775,0.2859601242091996,0.21924534004914398,0.2137846943178721,0.2264977227314244,0.23150125493992868,0.22361388425973439,0.23881625553175645,0.26620360545568333,0.2556969746730927,0.2757670077585094
cont,300,REL,"DE(pop=40,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2754692762867244,0.2693963731204702,0.28097164828787735,0.21193185681974405,0.20980655843593415,0.2143628584426276,0.2209743512025124,0.21786653267604292,0.22430020408823972,0.2916245156910194,0.2882255004705533,0.2958268073838873
cont,300,REL,"ES_ML(mu=10,lam=40,sigma=0.3)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2753313340750664,0.26939637312047027,0.28082941418938245,0.2115276535512679,0.2095688203956472,0.21386378050597624,0.22032702182516242,0.21756555687986548,0.22386460528268923,0.29281399054850354,0.2898803724543045,0.29645119986098184
cont,300,REL,"ES_ML(mu=20,lam=80,sigma=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2753313340750664,0.26939637312047027,0.28082941418938245,0.2115276535512679,0.2095688203956472,0.21386378050597624,0.22032702182516242,0.21756555687986548,0.22386460528268923,0.29281399054850354,0.2898803724543045,0.29645119986098184
cont,300,REL,HC_CONT(sigma=0.2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2450378317774535,0.23623952923543026,0.2537008068175363,0.251318791103513,0.23863098388945672,0.26355503996150936,0.23590115447396653,0.22929377373140067,0.2413971312468993,0.2677422226450672,0.25722372995188564,0.27952903692817765
cont,300,REL,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2313661054720688,0.22382644966287313,0.23849266425395477,0.2728784775979739,0.267335906876751,0.2779123255003667,0.2828880290035275,0.2796774487583237,0.2857651376875186,0.21286738792642995,0.20901948637975803,0.21705287512466795
cont,300,REL,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2767180963295974,0.2708732679058872,0.28116266447055804,0.22165557804837102,0.21536530657554823,0.22959096114160052,0.236174610298269,0.22904323098567583,0.2438934186980247,0.2654517153237626,0.2562778871428262,0.2737683023548871
cont,300,REL,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.22376036187713652,0.218687401990322,0.22969951715809298,0.2888893493408577,0.2858280891054157,0.29164724161680544,0.27865570787606486,0.27577728764896026,0.281346916932102,0.2086945809059409,0.20620563286759383,0.21085686801761
cont,300,REL,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2268165560424098,0.22110087039954116,0.23376209054450606,0.28389549131860903,0.2799501027754348,0.2871930618062389,0.27923357155004186,0.27624248592636386,0.282081813948218,0.2100543810889391,0.20743635357900517,0.2124303532869044
cont,300,REL,RS_CONT,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2753313340750664,0.2693963731204702,0.2808294141893825,0.2115276535512679,0.2095688203956472,0.21386378050597618,0.22032702182516245,0.21756555687986548,0.22386460528268923,0.29281399054850354,0.28988037245430454,0.29645119986098184
