algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,RS_BIN,0.00021312357489211564
"GA(pop=100,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",0.001015592829441192
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",0.014563281780064719
"GA(pop=50,pc=0.9,pm=0.02)",2,"GA(pop=100,pc=0.9,pm=0.02)",0.016359720858453608
"GA(pop=50,pc=0.9,pm=0.05)",1,RS_BIN,0.000769656093415505
"GA(pop=50,pc=0.9,pm=0.05)",2,"GA(pop=100,pc=0.9,pm=0.02)",0.001015592829441192
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",2.220446049250313e-16
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",2.8534529722734625e-05
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.0003362351884974579
HC(flips=2),2,"UMDA(pop=100,elite=0.2)",0.006940604955456897
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",0.00021312357489211564
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.05)",0.000769656093415505
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),2.220446049250313e-16
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",2.853452972251258e-05
"SA(T0=2.0,alpha=0.99,flips=1)",1,"SA(T0=1.0,alpha=0.995,flips=1)",2.853452972251258e-05
"SA(T0=2.0,alpha=0.99,flips=1)",2,HC(flips=1),2.8534529722734625e-05
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.0003362351884974579
"SA(T0=2.0,alpha=0.995,flips=2)",2,"UMDA(pop=100,elite=0.2)",0.006172160988119124
TABU(tenure=12),1,TABU(tenure=7),0.0018291650706503404
TABU(tenure=12),2,"SA(T0=2.0,alpha=0.99,flips=1)",0.7181395603126055
TABU(tenure=7),1,TABU(tenure=12),0.0018291650706503404
TABU(tenure=7),2,"SA(T0=2.0,alpha=0.99,flips=1)",0.7468922114033621
"UMDA(pop=100,elite=0.2)",1,"SA(T0=2.0,alpha=0.995,flips=2)",0.006172160988119124
"UMDA(pop=100,elite=0.2)",2,HC(flips=2),0.006940604955456897
"UMDA(pop=50,elite=0.2)",1,HC(flips=2),0.00825550349204851
"UMDA(pop=50,elite=0.2)",2,"SA(T0=2.0,alpha=0.995,flips=2)",0.008613694600677957
