algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.02)",1.1102230246251565e-16
"GA(pop=100,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",1.1102230246251565e-16
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=100,pc=0.9,pm=0.02)",1.1102230246251565e-16
"GA(pop=50,pc=0.9,pm=0.02)",2,RS_BIN,1.1102230246251565e-16
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",1.1102230246251565e-16
"GA(pop=50,pc=0.9,pm=0.05)",2,RS_BIN,1.1102230246251565e-16
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",5.551115123125783e-16
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",5.551115123125783e-16
HC(flips=2),1,"UMDA(pop=50,elite=0.2)",0.08020468959670635
HC(flips=2),2,"SA(T0=2.0,alpha=0.995,flips=2)",0.10586694973338617
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",1.1102230246251565e-16
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.02)",1.1102230246251565e-16
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),5.551115123125783e-16
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",8.881784197001252e-16
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),5.551115123125783e-16
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",8.881784197001252e-16
"SA(T0=2.0,alpha=0.995,flips=2)",1,"UMDA(pop=50,elite=0.2)",0.10272574969070059
"SA(T0=2.0,alpha=0.995,flips=2)",2,HC(flips=2),0.10586694973338617
TABU(tenure=12),1,TABU(tenure=7),0.14452028436717668
TABU(tenure=12),2,"UMDA(pop=50,elite=0.2)",0.8824813907740737
TABU(tenure=7),1,TABU(tenure=12),0.14452028436717668
TABU(tenure=7),2,"UMDA(pop=50,elite=0.2)",0.9018188531288267
"UMDA(pop=100,elite=0.2)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.22147028207735597
"UMDA(pop=100,elite=0.2)",2,"GA(pop=50,pc=0.9,pm=0.02)",0.22147028207735597
"UMDA(pop=50,elite=0.2)",1,HC(flips=2),0.08020468959670635
"UMDA(pop=50,elite=0.2)",2,"SA(T0=2.0,alpha=0.995,flips=2)",0.10272574969070059
