algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.15999864842925882
"DE(pop=20,F=0.8,CR=0.9)",2,"DE(pop=40,F=0.8,CR=0.9)",0.35118362200127906
"DE(pop=40,F=0.8,CR=0.9)",1,"ES_ML(mu=20,lam=80,sigma=0.2)",0.015940343617859343
"DE(pop=40,F=0.8,CR=0.9)",2,RS_CONT,0.015940343617859343
"ES_ML(mu=10,lam=40,sigma=0.3)",1,"ES_ML(mu=20,lam=80,sigma=0.2)",0.0
"ES_ML(mu=10,lam=40,sigma=0.3)",2,RS_CONT,1.1102230246251565e-16
"ES_ML(mu=20,lam=80,sigma=0.2)",1,"ES_ML(mu=10,lam=40,sigma=0.3)",0.0
"ES_ML(mu=20,lam=80,sigma=0.2)",2,RS_CONT,1.1102230246251565e-16
HC_CONT(sigma=0.2),1,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1.1102230246251565e-16
HC_CONT(sigma=0.2),2,"ES_ML(mu=20,lam=80,sigma=0.2)",0.8915859099453847
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.18481430808509047
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.21823527165784506
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=20,F=0.8,CR=0.9)",0.15999864842925882
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=40,F=0.8,CR=0.9)",0.39241919054274077
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.08786032780593489
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.21823527165784506
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.08786032780593489
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.18481430808509047
RS_CONT,1,"ES_ML(mu=10,lam=40,sigma=0.3)",1.1102230246251565e-16
RS_CONT,2,"ES_ML(mu=20,lam=80,sigma=0.2)",1.1102230246251565e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1,HC_CONT(sigma=0.2),1.1102230246251565e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",2,"ES_ML(mu=10,lam=40,sigma=0.3)",0.8915859099453848
