algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.024289120988207014
"DE(pop=20,F=0.8,CR=0.9)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.030429858945272614
"DE(pop=40,F=0.8,CR=0.9)",1,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.17395779622795515
"DE(pop=40,F=0.8,CR=0.9)",2,"DE(pop=20,F=0.8,CR=0.9)",0.25828553024696754
"ES_ML(mu=10,lam=40,sigma=0.3)",1,RS_CONT,0.14250640112713286
"ES_ML(mu=10,lam=40,sigma=0.3)",2,"ES_ML(mu=20,lam=80,sigma=0.2)",0.25819068824767033
"ES_ML(mu=20,lam=80,sigma=0.2)",1,RS_CONT,0.1413104763195676
"ES_ML(mu=20,lam=80,sigma=0.2)",2,"ES_ML(mu=10,lam=40,sigma=0.3)",0.25819068824767033
HC_CONT(sigma=0.2),1,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",0.001242234967217093
HC_CONT(sigma=0.2),2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.07453754994205775
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.005514671356653733
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=20,F=0.8,CR=0.9)",0.03341154919380873
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.03739264166954115
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=20,F=0.8,CR=0.9)",0.03876950698096815
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.025245076358048735
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=20,F=0.8,CR=0.9)",0.030429858945272614
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.005514671356653733
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=20,F=0.8,CR=0.9)",0.024289120988207014
RS_CONT,1,"ES_ML(mu=20,lam=80,sigma=0.2)",0.1413104763195676
RS_CONT,2,"ES_ML(mu=10,lam=40,sigma=0.3)",0.14250640112713286
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1,HC_CONT(sigma=0.2),0.001242234967217093
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.06989026897019812
