instance_id,problem,domain,budget,target,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0,0.08106970544208494,39.53333333333333,38.5,20.0,69.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"GA(pop=50,pc=0.9,pm=0.02)",GA,8,30,0.26666666666666666,0.28125,0.15251237843162144,0.40998762156837854,24.6,23.0,0.0,74.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"GA(pop=50,pc=0.9,pm=0.05)",GA,5,30,0.16666666666666666,0.1875,0.0757409741174901,0.2992590258825099,22.9,24.0,0.0,41.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,HC(flips=1),HC,0,30,0.0,0.03125,0.0,0.08106970544208494,126.06666666666666,126.5,42.0,203.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,HC(flips=2),HC,21,30,0.7,0.6875,0.5547814436639183,0.8202185563360817,12.933333333333334,11.0,5.0,41.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0,0.08106970544208494,58.96666666666667,60.0,25.0,93.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,118.03333333333333,119.0,40.0,170.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,123.43333333333334,122.5,46.0,194.0
knapsack01_n20_cap114_i007,knapsack01,bin,500,12.8,"SA(T0=2.0,alpha=0.995,flips=2)",SA,23,30,0.7666666666666667,0.75,0.6260144928260626,0.8739855071739374,11.5,10.5,5.0,44.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,30,0.03333333333333333,0.0625,0.0,0.13181000556642797,25.766666666666666,25.5,3.0,55.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0,0.08106970544208494,15.433333333333334,12.0,4.0,36.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,30,0.06666666666666667,0.09375,0.010289701271523718,0.17721029872847627,14.833333333333334,13.0,3.0,38.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,HC(flips=1),HC,0,30,0.0,0.03125,0.0,0.08106970544208494,91.03333333333333,89.5,36.0,131.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,HC(flips=2),HC,25,30,0.8333333333333334,0.8125,0.7007409741174901,0.9242590258825099,2.8333333333333335,3.0,0.0,15.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0,0.08106970544208494,39.43333333333333,40.5,21.0,55.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,86.1,86.0,39.0,143.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,83.76666666666667,94.5,22.0,131.0
knapsack01_n20_cap114_i009,knapsack01,bin,500,3.0,"SA(T0=2.0,alpha=0.995,flips=2)",SA,24,30,0.8,0.78125,0.6628806308954045,0.8996193691045955,2.966666666666667,3.0,0.0,10.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0,0.08106970544208494,44.06666666666667,45.5,23.0,68.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"GA(pop=50,pc=0.9,pm=0.02)",GA,7,30,0.23333333333333334,0.25,0.12601449282606259,0.3739855071739374,30.733333333333334,29.0,0.0,59.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"GA(pop=50,pc=0.9,pm=0.05)",GA,7,30,0.23333333333333334,0.25,0.12601449282606259,0.3739855071739374,30.6,30.5,4.0,54.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,HC(flips=1),HC,0,30,0.0,0.03125,0.0,0.08106970544208494,110.8,112.0,26.0,205.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,HC(flips=2),HC,23,30,0.7666666666666667,0.75,0.6260144928260626,0.8739855071739374,19.233333333333334,20.5,1.0,49.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0,0.08106970544208494,60.46666666666667,60.0,29.0,86.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,110.53333333333333,112.5,40.0,169.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,105.46666666666667,101.0,36.0,188.0
knapsack01_n20_cap84_i011,knapsack01,bin,500,22.0,"SA(T0=2.0,alpha=0.995,flips=2)",SA,22,30,0.7333333333333333,0.71875,0.5900123784316215,0.8474876215683785,20.333333333333332,21.0,0.0,48.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,30,0.0,0.03125,0.0,0.08106970544208494,72.93333333333334,74.5,43.0,104.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,"GA(pop=50,pc=0.9,pm=0.02)",GA,5,30,0.16666666666666666,0.1875,0.0757409741174901,0.2992590258825099,51.2,52.0,17.0,92.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,"GA(pop=50,pc=0.9,pm=0.05)",GA,4,30,0.13333333333333333,0.15625,0.05228499165035805,0.26021500834964195,55.233333333333334,54.0,25.0,88.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,HC(flips=1),HC,0,30,0.0,0.03125,0.0,0.08106970544208494,158.8,156.0,73.0,267.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,HC(flips=2),HC,26,30,0.8666666666666667,0.84375,0.739784991650358,0.947715008349642,30.266666666666666,29.5,13.0,58.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,RS_BIN,RS_BIN,0,30,0.0,0.03125,0.0,0.08106970544208494,109.2,110.0,57.0,139.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,160.76666666666668,162.5,96.0,261.0
knapsack01_n30_cap159_i005,knapsack01,bin,500,33.2,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,30,0.0,0.03125,0.0,0.08106970544208494,155.56666666666666,150.5,82.0,237.0
