algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",0.03507767954873775
"GA(pop=100,pc=0.9,pm=0.02)",2,RS_BIN,0.40416355864012865
"GA(pop=50,pc=0.9,pm=0.02)",1,"SA(T0=2.0,alpha=0.995,flips=2)",0.830585312705032
"GA(pop=50,pc=0.9,pm=0.02)",2,HC(flips=2),0.8721284794508486
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.03507767954873775
"GA(pop=50,pc=0.9,pm=0.05)",2,RS_BIN,0.48106551127158026
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",3.3306690738754696e-16
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",3.3306690738754696e-16
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.03950730965129434
HC(flips=2),2,RS_BIN,0.6086783880349855
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",0.40416355864012865
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.05)",0.48106551127158026
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),3.3306690738754696e-16
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",3.3306690738754696e-16
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),3.3306690738754696e-16
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",3.3306690738754696e-16
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.03950730965129434
"SA(T0=2.0,alpha=0.995,flips=2)",2,RS_BIN,0.6017446173495036
