algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,RS_BIN,0.0008939316598142177
"GA(pop=100,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",0.02467065415224856
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",0.03905839440854031
"GA(pop=50,pc=0.9,pm=0.02)",2,RS_BIN,0.05023303476659324
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.02467065415224856
"GA(pop=50,pc=0.9,pm=0.05)",2,RS_BIN,0.026661399880490655
HC(flips=1),1,"SA(T0=2.0,alpha=0.99,flips=1)",0.016547207058829172
HC(flips=1),2,"SA(T0=1.0,alpha=0.995,flips=1)",0.016895279065698876
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.12118061164820859
HC(flips=2),2,"GA(pop=50,pc=0.9,pm=0.02)",0.3756130443186181
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",0.0008939316598142177
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.05)",0.026661399880490655
"SA(T0=1.0,alpha=0.995,flips=1)",1,"SA(T0=2.0,alpha=0.99,flips=1)",0.00100303572924354
"SA(T0=1.0,alpha=0.995,flips=1)",2,HC(flips=1),0.016895279065698876
"SA(T0=2.0,alpha=0.99,flips=1)",1,"SA(T0=1.0,alpha=0.995,flips=1)",0.00100303572924354
"SA(T0=2.0,alpha=0.99,flips=1)",2,HC(flips=1),0.016547207058829172
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.12118061164820859
"SA(T0=2.0,alpha=0.995,flips=2)",2,"GA(pop=50,pc=0.9,pm=0.05)",0.2091121488252169
